,Name,Team,Games,RunAtt,RunYards,RunTD,Targets,Rec,RecYards,RecTD,FFP,FFPPG,Season,Week
8570,AaronBrown,DET,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,2009.0,1
8668,AaronBrown,DET,1.0,4.0,10.0,0.0,2.0,1.0,3.0,0.0,1.8,1.8,2009.0,2
8750,AaronBrown,DET,1.0,5.0,6.0,0.0,1.0,1.0,9.0,0.0,2.0,2.0,2009.0,3
8851,AaronBrown,DET,1.0,1.0,3.0,0.0,1.0,1.0,14.0,0.0,2.2,2.2,2009.0,4
8974,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,5
9052,AaronBrown,DET,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,2009.0,6
9232,AaronBrown,DET,1.0,2.0,15.0,0.0,4.0,2.0,13.0,0.0,3.8,3.8,2009.0,8
9337,AaronBrown,DET,1.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,2009.0,9
9525,AaronBrown,DET,1.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,9.1,9.1,2009.0,11
9683,AaronBrown,DET,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2009.0,12
9780,AaronBrown,DET,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2009.0,13
9867,AaronBrown,DET,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,2009.0,14
9967,AaronBrown,DET,1.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.9,0.9,2009.0,15
10081,AaronBrown,DET,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2009.0,16
10132,AaronBrown,DET,1.0,3.0,21.0,0.0,3.0,3.0,19.0,0.0,5.5,5.5,2009.0,17
10283,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,1
10344,AaronBrown,DET,1.0,3.0,13.0,0.0,3.0,2.0,10.0,0.0,3.3,3.3,2010.0,2
10482,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,3
11237,AaronBrown,DET,1.0,1.0,9.0,0.0,2.0,2.0,6.0,0.0,2.5,2.5,2010.0,11
11316,AaronBrown,DET,1.0,13.0,36.0,0.0,8.0,4.0,29.0,0.0,8.5,8.5,2010.0,12
11474,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,13
13242,AaronBrown,DET,1.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,1.4,1.4,2011.0,14
126,AaronStecker,NO,1.0,15.0,41.0,0.0,7.0,6.0,19.0,0.0,9.0,9.0,2004.0,2
206,AaronStecker,NO,1.0,18.0,106.0,1.0,7.0,4.0,20.0,0.0,20.6,20.6,2004.0,3
325,AaronStecker,NO,1.0,8.0,23.0,0.0,9.0,6.0,71.0,0.0,10.4,10.4,2004.0,4
434,AaronStecker,NO,1.0,4.0,27.0,0.0,4.0,4.0,15.0,0.0,6.2,6.2,2004.0,5
555,AaronStecker,NO,1.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,1.7,1.7,2004.0,6
969,AaronStecker,NO,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.7,0.7,2004.0,10
1077,AaronStecker,NO,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.8,0.8,2004.0,11
1186,AaronStecker,NO,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2004.0,12
1288,AaronStecker,NO,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.4,0.4,2004.0,13
1360,AaronStecker,NO,1.0,1.0,3.0,0.0,2.0,2.0,10.0,0.0,2.3,2.3,2004.0,14
1443,AaronStecker,NO,1.0,1.0,9.0,0.0,3.0,3.0,26.0,0.0,5.0,5.0,2004.0,15
1566,AaronStecker,NO,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2004.0,16
1639,AaronStecker,NO,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,6.7,6.7,2004.0,17
1782,AaronStecker,NO,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2005.0,1
2225,AaronStecker,NO,1.0,16.0,86.0,0.0,3.0,2.0,0.0,0.0,9.6,9.6,2005.0,6
2327,AaronStecker,NO,1.0,12.0,33.0,0.0,7.0,3.0,32.0,0.0,8.0,8.0,2005.0,7
2437,AaronStecker,NO,1.0,4.0,23.0,0.0,4.0,3.0,16.0,0.0,5.4,5.4,2005.0,8
2550,AaronStecker,NO,1.0,13.0,29.0,0.0,3.0,2.0,17.0,0.0,3.6,3.6,2005.0,9
2720,AaronStecker,NO,1.0,7.0,25.0,0.0,9.0,6.0,72.0,0.0,12.7,12.7,2005.0,11
2834,AaronStecker,NO,1.0,11.0,54.0,0.0,1.0,1.0,6.0,0.0,6.5,6.5,2005.0,12
2931,AaronStecker,NO,1.0,5.0,5.0,0.0,4.0,4.0,55.0,0.0,8.0,8.0,2005.0,13
3037,AaronStecker,NO,1.0,7.0,35.0,0.0,2.0,2.0,12.0,0.0,5.7,5.7,2005.0,14
3114,AaronStecker,NO,1.0,9.0,59.0,0.0,7.0,6.0,42.0,0.0,13.1,13.1,2005.0,15
3282,AaronStecker,NO,1.0,7.0,5.0,0.0,3.0,2.0,13.0,0.0,0.8,0.8,2005.0,16
3350,AaronStecker,NO,1.0,2.0,10.0,0.0,4.0,4.0,16.0,0.0,4.6,4.6,2005.0,17
3552,AaronStecker,NO,1.0,0.0,0.0,0.0,3.0,3.0,21.0,0.0,3.6,3.6,2006.0,2
3748,AaronStecker,NO,1.0,0.0,0.0,0.0,3.0,3.0,15.0,0.0,3.0,3.0,2006.0,4
3937,AaronStecker,NO,1.0,3.0,9.0,0.0,4.0,2.0,14.0,0.0,3.3,3.3,2006.0,6
4166,AaronStecker,NO,1.0,1.0,2.0,0.0,2.0,1.0,5.0,0.0,1.2,1.2,2006.0,8
4330,AaronStecker,NO,1.0,0.0,0.0,0.0,3.0,3.0,78.0,0.0,9.3,9.3,2006.0,10
4426,AaronStecker,NO,1.0,0.0,0.0,0.0,7.0,5.0,53.0,0.0,7.8,7.8,2006.0,11
4960,AaronStecker,NO,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.4,1.4,2006.0,16
5142,AaronStecker,NO,1.0,2.0,21.0,0.0,2.0,2.0,20.0,0.0,5.1,5.1,2007.0,1
5357,AaronStecker,NO,1.0,3.0,6.0,0.0,3.0,2.0,14.0,0.0,3.0,3.0,2007.0,3
5549,AaronStecker,NO,1.0,4.0,12.0,0.0,4.0,3.0,-3.0,0.0,2.4,2.4,2007.0,5
5639,AaronStecker,NO,1.0,8.0,17.0,0.0,2.0,2.0,10.0,0.0,3.7,3.7,2007.0,6
5755,AaronStecker,NO,1.0,1.0,1.0,0.0,2.0,2.0,11.0,0.0,2.2,2.2,2007.0,7
5833,AaronStecker,NO,1.0,12.0,35.0,0.0,2.0,2.0,4.0,0.0,4.9,4.9,2007.0,8
5935,AaronStecker,NO,1.0,6.0,24.0,0.0,3.0,2.0,11.0,0.0,4.5,4.5,2007.0,9
6017,AaronStecker,NO,1.0,3.0,26.0,1.0,1.0,1.0,8.0,0.0,9.9,9.9,2007.0,10
6154,AaronStecker,NO,1.0,0.0,0.0,0.0,3.0,2.0,9.0,0.0,1.9,1.9,2007.0,11
6238,AaronStecker,NO,1.0,13.0,42.0,0.0,2.0,2.0,8.0,0.0,6.0,6.0,2007.0,12
6333,AaronStecker,NO,1.0,7.0,16.0,0.0,5.0,4.0,35.0,0.0,7.1,7.1,2007.0,13
