,Name,Team,Games,PassComp,PassAtt,PassYards,PassTD,INT,RunAtt,RunYards,RunTD,FFP,FFPPG,Season,Week
21,AJFeeley,MIA,1.0,21.0,31.0,168.0,1.0,1.0,0.0,0.0,0.0,12.4,12.4,2004.0,1
59,AJFeeley,MIA,1.0,21.0,39.0,218.0,1.0,2.0,1.0,3.0,0.0,15.2,15.2,2004.0,2
114,AJFeeley,MIA,1.0,13.0,27.0,137.0,0.0,2.0,4.0,1.0,0.0,7.0,7.0,2004.0,3
193,AJFeeley,MIA,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2004.0,5
337,AJFeeley,MIA,1.0,6.0,15.0,129.0,0.0,1.0,0.0,0.0,0.0,6.5,6.5,2004.0,9
396,AJFeeley,MIA,1.0,23.0,45.0,229.0,1.0,2.0,1.0,7.0,1.0,22.2,22.2,2004.0,11
445,AJFeeley,MIA,1.0,17.0,33.0,159.0,2.0,1.0,4.0,2.0,0.0,16.2,16.2,2004.0,12
480,AJFeeley,MIA,1.0,25.0,51.0,303.0,3.0,5.0,0.0,0.0,0.0,27.2,27.2,2004.0,13
534,AJFeeley,MIA,1.0,17.0,35.0,170.0,1.0,1.0,2.0,2.0,0.0,12.7,12.7,2004.0,14
584,AJFeeley,MIA,1.0,22.0,35.0,198.0,1.0,0.0,2.0,-2.0,0.0,13.7,13.7,2004.0,15
618,AJFeeley,MIA,1.0,25.0,43.0,176.0,1.0,0.0,0.0,0.0,0.0,12.8,12.8,2004.0,16
725,AJFeeley,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1
1297,AJFeeley,SD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,15
1855,AJFeeley,PHI,1.0,4.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,2006.0,12
2045,AJFeeley,PHI,1.0,22.0,33.0,321.0,3.0,0.0,1.0,3.0,0.0,28.4,28.4,2006.0,17
2534,AJFeeley,PHI,1.0,13.0,19.0,116.0,1.0,1.0,2.0,7.0,0.0,10.5,10.5,2007.0,11
2550,AJFeeley,PHI,1.0,27.0,42.0,345.0,3.0,3.0,1.0,2.0,0.0,29.5,29.5,2007.0,12
2607,AJFeeley,PHI,1.0,19.0,42.0,220.0,1.0,4.0,4.0,14.0,0.0,16.4,16.4,2007.0,13
2669,AJFeeley,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,14
4874,AJFeeley,STL,1.0,1.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,2011.0,1
5087,AJFeeley,STL,1.0,20.0,33.0,196.0,0.0,1.0,1.0,-1.0,0.0,9.7,9.7,2011.0,7
5124,AJFeeley,STL,1.0,20.0,37.0,175.0,1.0,0.0,2.0,5.0,0.0,13.3,13.3,2011.0,8
5205,AJFeeley,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,10
5314,AJFeeley,STL,1.0,12.0,22.0,156.0,0.0,1.0,0.0,0.0,0.0,7.8,7.8,2011.0,13
13,AaronBrooks,NO,1.0,18.0,37.0,223.0,1.0,1.0,2.0,16.0,0.0,16.8,16.8,2004.0,1
