,Name,Team,Games,Targets,Rec,RecYards,RecTD,FFP,FFPPG,Season,Week
2937,AaronHalterman,MIA,1.0,1.0,1.0,7.0,0.0,1.2,1.2,2007.0,8
5120,AaronHernandez,NE,1.0,2.0,1.0,45.0,0.0,5.0,5.0,2010.0,1
5155,AaronHernandez,NE,1.0,6.0,6.0,101.0,0.0,13.1,13.1,2010.0,2
5212,AaronHernandez,NE,1.0,7.0,6.0,65.0,0.0,10.8,10.8,2010.0,3
5271,AaronHernandez,NE,1.0,5.0,5.0,29.0,0.0,5.4,5.4,2010.0,4
5358,AaronHernandez,NE,1.0,6.0,4.0,61.0,0.0,9.9,9.9,2010.0,6
5410,AaronHernandez,NE,1.0,8.0,5.0,54.0,0.0,7.9,7.9,2010.0,7
5466,AaronHernandez,NE,1.0,3.0,2.0,33.0,0.0,4.3,4.3,2010.0,8
5501,AaronHernandez,NE,1.0,9.0,5.0,48.0,2.0,19.3,19.3,2010.0,9
5610,AaronHernandez,NE,1.0,1.0,1.0,8.0,1.0,7.3,7.3,2010.0,11
5685,AaronHernandez,NE,1.0,1.0,1.0,18.0,0.0,2.3,2.3,2010.0,12
5704,AaronHernandez,NE,1.0,5.0,3.0,51.0,1.0,12.6,12.6,2010.0,13
5776,AaronHernandez,NE,1.0,4.0,2.0,19.0,0.0,2.9,2.9,2010.0,14
5801,AaronHernandez,NE,1.0,5.0,4.0,31.0,2.0,18.7,18.7,2010.0,15
5951,AaronHernandez,NE,1.0,10.0,7.0,103.0,1.0,19.8,19.8,2011.0,1
6004,AaronHernandez,NE,1.0,8.0,7.0,62.0,1.0,15.7,15.7,2011.0,2
6163,AaronHernandez,NE,1.0,9.0,5.0,56.0,0.0,8.1,8.1,2011.0,5
6201,AaronHernandez,NE,1.0,14.0,8.0,68.0,1.0,14.8,14.8,2011.0,6
6310,AaronHernandez,NE,1.0,4.0,2.0,9.0,1.0,8.1,8.1,2011.0,8
6357,AaronHernandez,NE,1.0,5.0,4.0,35.0,1.0,11.5,11.5,2011.0,9
6416,AaronHernandez,NE,1.0,5.0,4.0,41.0,0.0,6.1,6.1,2011.0,10
6468,AaronHernandez,NE,1.0,7.0,4.0,44.0,0.0,6.4,6.4,2011.0,11
6509,AaronHernandez,NE,1.0,7.0,6.0,62.0,0.0,9.2,9.2,2011.0,12
6560,AaronHernandez,NE,1.0,9.0,7.0,43.0,0.0,7.8,7.8,2011.0,13
6608,AaronHernandez,NE,1.0,7.0,5.0,84.0,0.0,10.9,10.9,2011.0,14
6650,AaronHernandez,NE,1.0,11.0,9.0,129.0,1.0,25.0,25.0,2011.0,15
6722,AaronHernandez,NE,1.0,6.0,4.0,36.0,0.0,5.7,5.7,2011.0,16
6751,AaronHernandez,NE,1.0,11.0,7.0,138.0,1.0,25.9,25.9,2011.0,17
6802,AaronHernandez,NE,1.0,7.0,6.0,59.0,1.0,15.4,15.4,2012.0,1
7054,AaronHernandez,NE,1.0,9.0,6.0,30.0,1.0,12.0,12.0,2012.0,6
7108,AaronHernandez,NE,1.0,7.0,5.0,54.0,0.0,7.9,7.9,2012.0,7
7376,AaronHernandez,NE,1.0,3.0,2.0,36.0,0.0,4.6,4.6,2012.0,12
7398,AaronHernandez,NE,1.0,13.0,8.0,97.0,0.0,13.7,13.7,2012.0,13
7442,AaronHernandez,NE,1.0,11.0,8.0,58.0,2.0,21.8,21.8,2012.0,14
7493,AaronHernandez,NE,1.0,19.0,10.0,92.0,1.0,20.2,20.2,2012.0,15
7579,AaronHernandez,NE,1.0,5.0,1.0,13.0,0.0,1.8,1.8,2012.0,16
7603,AaronHernandez,NE,1.0,8.0,5.0,44.0,0.0,6.9,6.9,2012.0,17
158,AaronShea,CLE,1.0,5.0,2.0,28.0,1.0,9.8,9.8,2004.0,4
219,AaronShea,CLE,1.0,2.0,1.0,35.0,0.0,4.0,4.0,2004.0,5
258,AaronShea,CLE,1.0,4.0,3.0,25.0,1.0,10.0,10.0,2004.0,6
311,AaronShea,CLE,1.0,6.0,6.0,45.0,0.0,7.5,7.5,2004.0,7
421,AaronShea,CLE,1.0,4.0,2.0,20.0,0.0,3.0,3.0,2004.0,9
461,AaronShea,CLE,1.0,4.0,1.0,7.0,1.0,7.2,7.2,2004.0,10
512,AaronShea,CLE,1.0,3.0,2.0,7.0,1.0,7.7,7.7,2004.0,11
561,AaronShea,CLE,1.0,7.0,5.0,67.0,0.0,9.2,9.2,2004.0,12
693,AaronShea,CLE,1.0,4.0,1.0,5.0,0.0,1.0,1.0,2004.0,14
743,AaronShea,CLE,1.0,4.0,1.0,8.0,0.0,1.3,1.3,2004.0,15
845,AaronShea,CLE,1.0,3.0,2.0,5.0,0.0,1.5,1.5,2004.0,17
1062,AaronShea,CLE,1.0,7.0,6.0,65.0,0.0,9.5,9.5,2005.0,5
1120,AaronShea,CLE,1.0,4.0,3.0,17.0,0.0,3.2,3.2,2005.0,6
1184,AaronShea,CLE,1.0,3.0,1.0,9.0,0.0,1.4,1.4,2005.0,7
1210,AaronShea,CLE,1.0,1.0,1.0,8.0,1.0,7.3,7.3,2005.0,8
1481,AaronShea,CLE,1.0,2.0,1.0,13.0,0.0,1.8,1.8,2005.0,13
1540,AaronShea,CLE,1.0,2.0,1.0,14.0,0.0,1.9,1.9,2005.0,14
1615,AaronShea,CLE,1.0,8.0,5.0,27.0,0.0,5.2,5.2,2005.0,16
117,AaronWalker,SF,1.0,3.0,2.0,26.0,0.0,3.6,3.6,2004.0,3
218,AaronWalker,SF,1.0,3.0,3.0,41.0,0.0,5.6,5.6,2004.0,5
393,AaronWalker,SF,1.0,1.0,1.0,4.0,0.0,0.9,0.9,2004.0,8
437,AaronWalker,SF,1.0,1.0,1.0,3.0,0.0,0.8,0.8,2004.0,9
639,AaronWalker,SF,1.0,1.0,1.0,8.0,0.0,1.3,1.3,2004.0,13
670,AaronWalker,SF,1.0,2.0,1.0,30.0,0.0,3.5,3.5,2004.0,14
1829,AaronWalker,STL,1.0,1.0,1.0,16.0,0.0,2.1,2.1,2006.0,3
2397,AaronWalker,STL,1.0,1.0,1.0,6.0,0.0,1.1,1.1,2006.0,14
2439,AaronWalker,STL,1.0,1.0,1.0,9.0,0.0,1.4,1.4,2006.0,15
2491,AaronWalker,STL,1.0,1.0,1.0,11.0,0.0,1.6,1.6,2006.0,16
