,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline
1,PeytonManning,25.8579742323,23.8056965484,6.05750433207,3.83107932247
2,DrewBrees,24.2177091448,23.1185229262,4.41723924457,3.14390570027
3,AndrewLuck,23.3413869374,23.3527894013,3.54091703721,3.37817217536
4,BenRoethlisberger,21.3302884516,21.1580795075,1.52981855133,1.18346228158
5,AaronRodgers,21.3204082122,21.5888975223,1.51993831195,1.61428029643
6,PhilipRivers,21.2697770706,21.0460897966,1.46930717041,1.07147257072
7,MattRyan,20.6117273753,20.7268185984,0.811257475099,0.752201372478
8,RussellWilson,20.2669721899,21.7309236805,0.466502289706,1.75630645463
9,TonyRomo,20.2550000069,19.9746172259,0.45453010663,0.0
10,TomBrady,20.2106378927,20.2471852746,0.410167992424,0.27256804871
11,MatthewStafford,20.0223768505,19.9435222401,0.221906950279,-0.0310949857681
12,RyanTannehill,19.8004699002,20.3297580094,0.0,0.355140783498
13,AndyDalton,19.4320081356,19.4026442272,-0.368461764652,-0.571972998682
14,JayCutler,19.3931104883,19.6008931941,-0.407359411935,-0.373724031776
15,CamNewton,19.3489541327,20.5673381856,-0.45151576757,0.592720959677
16,EliManning,18.6610828974,18.7834714362,-1.13938700284,-1.19114578973
17,JoeFlacco,18.5522569165,18.7890267466,-1.24821298377,-1.18559047926
18,ColinKaepernick,18.0832092107,18.9592671422,-1.71726068954,-1.01535008369
19,AlexSmith,17.3210453083,17.3470774936,-2.47942459189,-2.62753973227
20,NickFoles,16.3978145953,15.2874465879,-3.40265530497,-4.68717063802
21,RyanFitzpatrick,15.5832395341,15.2809236434,-4.21723036613,-4.69369358253
22,JoshMcCown,14.8921362418,14.1048858481,-4.90833365845,-5.86973137774
23,KyleOrton,14.5812550775,14.1391860107,-5.21921482271,-5.83543121522
24,CarsonPalmer,14.3436669921,14.3647915047,-5.45680290814,-5.60982572116
25,GenoSmith,14.0752170635,14.3194889759,-5.7252528367,-5.65512825002
26,BrianHoyer,13.9140052414,13.2004257968,-5.88646465884,-6.77419142909
27,MikeGlennon,13.1802434895,12.1371328623,-6.62022641069,-7.83748436362
28,RobertGriffinIII,12.7477960675,12.1545250339,-7.05267383272,-7.82009219194
29,KirkCousins,11.8576166231,10.9362159127,-7.94285327712,-9.03840131321
30,EJManuel,11.5761230787,10.205905212,-8.2243468215,-9.76871201386
31,JakeLocker,11.1158584457,9.31504459193,-8.68461145449,-10.659572634
32,CaseKeenum,10.3374132355,8.707462313,-9.46305666477,-11.2671549129
33,ChadHenne,9.91367515683,8.87826064509,-9.88679474341,-11.0963565808
34,ShaunHill,9.88764999459,9.16219501659,-9.91281990564,-10.8124222093
35,MattCassel,9.78594222919,7.91630527061,-10.014527671,-12.0583119553
36,MichaelVick,9.1941342886,6.80945931368,-10.6063356116,-13.1651579122
37,CharlieWhitehurst,9.06914825194,8.11919691867,-10.7313216483,-11.8554203072
38,ChristianPonder,8.98257553565,7.19875484093,-10.8178943646,-12.775862385
39,ColtMcCoy,8.92215738281,8.13847192769,-10.8783125174,-11.8361452982
40,MattMcGloin,8.80135451794,7.10094795356,-10.9991153823,-12.8736692723
41,BrandonWeeden,8.71066101983,6.71396493777,-11.0898088804,-13.2606522881
42,JasonCampbell,7.89089399438,5.67483923582,-11.9095759059,-14.2997779901
43,DerekAnderson,7.70704491144,6.53122602414,-12.0934249888,-13.4433912018
44,MattSchaub,7.59109556942,5.97780863853,-12.2093743308,-13.9968085874
45,MattFlynn,7.30617415576,4.95056352441,-12.4942957445,-15.0240537015
46,BlaineGabbert,6.92835327253,5.50863933611,-12.8721166277,-14.4659778898
47,KellenClemens,6.9131459195,4.76061216406,-12.8873239807,-15.2140050618
48,MattHasselbeck,6.45041664591,5.16994961586,-13.3500532543,-14.80466761
49,ChaseDaniel,6.24149871711,4.61451132863,-13.5589711831,-15.3601058973
50,MattSimms,5.99651032204,4.595327522,-13.8039595782,-15.3792897039
51,TarvarisJackson,5.87037643437,4.45309414438,-13.9300934659,-15.5215230815
52,TJYates,5.83846733466,4.77227803298,-13.9620025656,-15.2023391929
53,BrockOsweiler,5.75508104607,4.53035953053,-14.0453888542,-15.4442576954
54,MattBarkley,5.53728664958,4.31841961298,-14.2631832507,-15.6561976129
55,MattMoore,5.4782963426,4.47989071208,-14.3221735576,-15.4947265138
56,TyrodTaylor,5.25071729196,3.99021009857,-14.5497526083,-15.9844071273
