,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline
1,LeVeonBell,19.0131594313,19.6377996432,10.2685498042,11.1480050967
2,DeMarcoMurray,18.7132610697,20.47761706,9.96865144265,11.9878225135
3,MattForte,17.4274151312,17.7842096679,8.6828055041,9.2944151214
4,MarshawnLynch,15.4311973553,13.9592887392,6.68658772826,5.46949419268
5,JamaalCharles,15.013924257,11.6401196343,6.26931462996,3.15032508779
6,ArianFoster,14.5409252528,16.7885560217,5.79631562571,8.29876147514
7,LeSeanMcCoy,14.4364672944,12.0329535447,5.69185766731,3.54315899814
8,EddieLacy,14.3403864625,13.1283675441,5.59577683545,4.63857299758
9,JoiqueBell,12.3733121517,12.2298505598,3.62870252465,3.74005601324
10,GiovaniBernard,11.911546301,11.7172056388,3.16693667395,3.22741109229
11,AndreEllington,11.8086720601,12.2636578398,3.06406243308,3.77386329324
12,LamarMiller,11.4527572012,12.19779676,2.70814757411,3.7080022135
13,JustinForsett,11.3872168544,14.6243770673,2.6426072273,6.13458252074
14,FredJackson,11.2638344717,11.2905494956,2.5192248446,2.80075494911
15,AlfredMorris,10.7895884445,10.1804352764,2.04497881746,1.69064072984
16,RashadJennings,10.5862267794,10.5901692161,1.8416171523,2.10037466958
17,MarkIngram,10.5163269609,12.1338589089,1.77171733382,3.64406436234
18,CJAnderson,10.4626429931,13.750997598,1.71803336607,5.26120305152
19,FrankGore,10.2392739995,8.97763972796,1.49466437246,0.487845181445
20,AhmadBradshaw,10.0921656083,10.2782086323,1.34755598127,1.78841408578
21,ReggieBush,9.64383226194,10.0062897102,0.899222634873,1.51649516364
22,DarrenSproles,9.43363481559,9.76087539024,0.689025188531,1.27108084372
23,RyanMathews,9.39797484227,9.67131055238,0.653365215206,1.18151600586
24,PierreThomas,9.32347050899,9.65134127078,0.57886088193,1.16154672426
25,ShaneVereen,9.11499245903,9.02405712735,0.370382831969,0.534262580829
26,MattAsiata,9.03748133806,9.8081245041,0.292871710997,1.31832995758
27,AdrianPeterson,8.98928865934,10.8656752916,0.244679032278,2.37588074511
28,JonathanStewart,8.88595738027,9.49041223176,0.141347753204,1.00061768524
29,KnowshonMoreno,8.75291103827,9.0780058044,0.00830141120358,0.588211257883
30,RoyHelu,8.74460962706,7.18736045392,0.0,-1.3024340926
31,RonnieHillman,8.60854574201,8.21761829191,-0.136063885059,-0.27217625461
32,ChrisJohnson,8.16151728013,6.90749485985,-0.583092346929,-1.58229968667
33,ChrisIvory,8.13265177068,8.48979454652,-0.611957856387,0.0
34,StevenJackson,8.05898126181,7.9665989789,-0.68562836525,-0.523195567616
35,BobbyRainey,7.78715406288,7.45472463454,-0.957455564179,-1.03506991198
36,TrentRichardson,7.73159879547,6.76193592128,-1.01301083159,-1.72785862523
