,Name,2015 Projection,Value Above Baseline,Group,Bye,MFL,FFC,RTS,Fantrax
0,PeytonManning,25.8579742323,6.05750433207,2,7.0,68.0,52.0,51.0,40.0
1,DrewBrees,24.2177091448,4.41723924457,2,11.0,79.0,61.0,50.0,43.0
2,AndrewLuck,23.3413869374,3.54091703721,2,10.0,21.0,19.0,19.0,14.0
3,BenRoethlisberger,21.3302884516,1.52981855133,2,11.0,78.0,59.0,64.0,39.0
4,AaronRodgers,21.3204082122,1.51993831195,2,7.0,28.0,25.0,26.0,7.0
5,PhilipRivers,21.2697770706,1.46930717041,2,10.0,121.0,113.0,112.0,100.0
6,MattRyan,20.6117273753,0.811257475099,2,10.0,91.0,76.0,74.0,63.0
7,RussellWilson,20.2669721899,0.466502289706,2,9.0,58.0,68.0,66.0,41.0
8,TonyRomo,20.2550000069,0.45453010663,2,6.0,103.0,81.0,89.0,70.0
9,TomBrady,20.2106378927,0.410167992424,2,4.0,107.0,86.0,88.0,75.0
10,MatthewStafford,20.0223768505,0.221906950279,2,9.0,111.0,97.0,81.0,68.0
11,RyanTannehill,19.8004699002,0.0,2,5.0,104.0,94.0,90.0,67.0
12,AndyDalton,19.4320081356,-0.368461764652,2,7.0,165.0,172.0,156.0,191.0
13,JayCutler,19.3931104883,-0.407359411935,2,7.0,153.0,166.0,153.0,183.0
14,CamNewton,19.3489541327,-0.45151576757,2,5.0,83.0,116.0,96.0,112.0
15,EliManning,18.6610828974,-1.13938700284,2,11.0,114.0,93.0,85.0,85.0
16,JoeFlacco,18.5522569165,-1.24821298377,2,9.0,143.0,156.0,137.0,157.0
17,ColinKaepernick,18.0832092107,-1.71726068954,2,10.0,137.0,148.0,154.0,131.0
18,AlexSmith,17.3210453083,-2.47942459189,2,9.0,181.0,,239.0,241.0
19,NickFoles,16.3978145953,-3.40265530497,0,6.0,211.0,,226.0,198.0
20,RyanFitzpatrick,15.5832395341,-4.21723036613,0,5.0,249.0,,281.0,98.0
21,JoshMcCown,14.8921362418,-4.90833365845,0,11.0,,,329.0,277.0
22,CarsonPalmer,14.3436669921,-5.45680290814,0,9.0,151.0,131.0,148.0,200.0
23,GenoSmith,14.0752170635,-5.7252528367,2,5.0,241.0,,,299.0
24,BrianHoyer,13.9140052414,-5.88646465884,0,9.0,,,326.0,99.0
25,MikeGlennon,13.1802434895,-6.62022641069,0,6.0,,,,369.0
26,RobertGriffinIII,12.7477960675,-7.05267383272,0,8.0,195.0,,230.0,214.0
27,KirkCousins,11.8576166231,-7.94285327712,0,8.0,,,,364.0
28,EJManuel,11.5761230787,-8.2243468215,0,8.0,,,,362.0
29,ChadHenne,9.91367515683,-9.88679474341,0,8.0,,,,373.0
30,ShaunHill,9.88764999459,-9.91281990564,1,5.0,,,,375.0
31,MattCassel,9.78594222919,-10.014527671,1,8.0,,,,104.0
32,ChristianPonder,8.98257553565,-10.8178943646,1,6.0,,,,371.0
33,ColtMcCoy,8.92215738281,-10.8783125174,1,8.0,,,,374.0
34,BrandonWeeden,8.71066101983,-11.0898088804,1,6.0,,,,110.0
35,DerekAnderson,7.70704491144,-12.0934249888,1,5.0,,,,365.0
36,BlaineGabbert,6.92835327253,-12.8721166277,1,10.0,,,,372.0
37,ChaseDaniel,6.24149871711,-13.5589711831,1,9.0,,,,366.0
38,BrockOsweiler,5.75508104607,-14.0453888542,1,7.0,,,,203.0
39,TyrodTaylor,5.25071729196,-14.5497526083,1,8.0,,,307.0,363.0
