,Name,2015 Projection,Value Above Baseline,Group,Bye,MFL,FFC,RTS,Fantrax
0,LeVeonBell,19.0131594313,10.2685498042,1,11.0,1.0,1.0,1.0,3.0
1,DeMarcoMurray,18.7132610697,9.96865144265,1,8.0,14.0,18.0,14.0,20.0
2,MattForte,17.4274151312,8.6828055041,1,7.0,13.0,13.0,13.0,13.0
3,MarshawnLynch,15.4311973553,6.68658772826,1,9.0,7.0,8.0,6.0,12.0
4,JamaalCharles,15.013924257,6.26931462996,1,9.0,3.0,5.0,5.0,2.0
5,ArianFoster,14.5409252528,5.79631562571,1,9.0,34.0,62.0,67.0,57.0
6,LeSeanMcCoy,14.4364672944,5.69185766731,1,8.0,17.0,23.0,16.0,24.0
7,EddieLacy,14.3403864625,5.59577683545,1,7.0,4.0,3.0,3.0,5.0
8,JoiqueBell,12.3733121517,3.62870252465,1,9.0,65.0,82.0,69.0,72.0
9,GiovaniBernard,11.911546301,3.16693667395,1,7.0,54.0,69.0,63.0,59.0
10,AndreEllington,11.8086720601,3.06406243308,1,9.0,39.0,43.0,39.0,46.0
11,LamarMiller,11.4527572012,2.70814757411,1,5.0,25.0,26.0,25.0,38.0
12,JustinForsett,11.3872168544,2.6426072273,2,9.0,20.0,21.0,21.0,29.0
13,FredJackson,11.2638344717,2.5192248446,1,8.0,183.0,149.0,164.0,236.0
14,AlfredMorris,10.7895884445,2.04497881746,2,8.0,38.0,38.0,38.0,35.0
15,RashadJennings,10.5862267794,1.8416171523,2,11.0,69.0,74.0,73.0,79.0
16,MarkIngram,10.5163269609,1.77171733382,2,11.0,31.0,34.0,36.0,33.0
17,CJAnderson,10.4626429931,1.71803336607,2,7.0,12.0,11.0,10.0,16.0
18,FrankGore,10.2392739995,1.49466437246,2,10.0,26.0,29.0,30.0,32.0
19,AhmadBradshaw,10.0921656083,1.34755598127,2,,,,173.0,
20,ReggieBush,9.64383226194,0.899222634873,1,10.0,117.0,123.0,132.0,132.0
21,DarrenSproles,9.43363481559,0.689025188531,1,8.0,133.0,119.0,122.0,133.0
22,RyanMathews,9.39797484227,0.653365215206,2,8.0,96.0,83.0,95.0,127.0
