ADP , Player Name , Position , Team , Bye Week ,MFL , FFC , RTS , Fantrax , 
1,Le'Veon Bell,RB,PIT,11,1.0,1.0,1.0,3.0,
2,Adrian Peterson,RB,MIN,5,2.0,2.0,2.0,1.0,
3,Jamaal Charles,RB,KC,9,3.0,5.0,5.0,2.0,
4,Eddie Lacy,RB,GB,7,4.0,3.0,3.0,5.0,
5,Antonio Brown,WR,PIT,11,5.0,4.0,4.0,4.0,
6,Dez Bryant,WR,DAL,6,8.0,7.0,9.0,6.0,
7,Marshawn Lynch,RB,SEA,9,7.0,8.0,6.0,12.0,
8,Julio Jones,WR,ATL,10,10.0,6.0,7.0,10.0,
9,Odell Beckham Jr.,WR,NYG,11,9.0,10.0,11.0,8.0,
10,Rob Gronkowski,TE,NE,4,6.0,14.0,8.0,11.0,
11,Demaryius Thomas,WR,DEN,7,11.0,9.0,12.0,9.0,
12,C.J. Anderson,RB,DEN,7,12.0,11.0,10.0,16.0,
13,Matt Forte,RB,CHI,7,13.0,13.0,13.0,13.0,
14,Calvin Johnson,WR,DET,9,15.0,12.0,15.0,15.0,
15,DeMarco Murray,RB,PHI,8,14.0,18.0,14.0,20.0,
16,Jeremy Hill,RB,CIN,7,16.0,16.0,17.0,18.0,
17,A.J. Green,WR,CIN,7,19.0,17.0,18.0,17.0,
18,Andrew Luck,QB,IND,10,21.0,19.0,19.0,14.0,
19,Randall Cobb,WR,GB,7,22.0,15.0,20.0,19.0,
20,LeSean McCoy,RB,BUF,8,17.0,23.0,16.0,24.0,
21,Aaron Rodgers,QB,GB,7,28.0,25.0,26.0,7.0,
22,Alshon Jeffery,WR,CHI,7,23.0,22.0,24.0,21.0,
23,Justin Forsett,RB,BAL,9,20.0,21.0,21.0,29.0,
24,T.Y. Hilton,WR,IND,10,27.0,24.0,23.0,23.0,
25,Mike Evans,WR,TB,6,24.0,28.0,27.0,22.0,
26,Brandin Cooks,WR,NO,11,33.0,20.0,28.0,30.0,
27,Lamar Miller,RB,MIA,5,25.0,26.0,25.0,38.0,
28,Frank Gore,RB,IND,10,26.0,29.0,30.0,32.0,
29,Jimmy Graham,TE,SEA,9,32.0,33.0,29.0,25.0,
30,DeAndre Hopkins,WR,HOU,9,30.0,30.0,37.0,27.0,
31,Emmanuel Sanders,WR,DEN,7,36.0,31.0,31.0,28.0,
32,Melvin Gordon,RB,SD,10,29.0,44.0,32.0,26.0,
33,Jordan Matthews,WR,PHI,8,37.0,27.0,33.0,36.0,
34,Mark Ingram,RB,NO,11,31.0,34.0,36.0,33.0,
35,Alfred Morris,RB,WAS,8,38.0,38.0,38.0,35.0,
36,Latavius Murray,RB,OAK,6,42.0,32.0,34.0,42.0,
37,Carlos Hyde,RB,SF,10,40.0,46.0,42.0,37.0,
38,Andre Ellington,RB,ARI,9,39.0,43.0,39.0,46.0,
39,Andre Johnson,WR,IND,10,50.0,35.0,45.0,47.0,
40,Joseph Randle,RB,DAL,6,48.0,37.0,40.0,53.0,
41,Julian Edelman,WR,NE,4,46.0,40.0,47.0,49.0,
42,Amari Cooper,WR,OAK,6,51.0,42.0,56.0,34.0,
43,Todd Gurley,RB,STL,6,44.0,64.0,48.0,31.0,
44,Golden Tate,WR,DET,9,53.0,45.0,43.0,48.0,
45,Ameer Abdullah,RB,DET,9,52.0,36.0,41.0,64.0,
46,Keenan Allen,WR,SD,10,49.0,47.0,52.0,45.0,
47,Jonathan Stewart,RB,CAR,5,43.0,49.0,46.0,56.0,
48,Travis Kelce,TE,KC,9,47.0,55.0,55.0,51.0,
49,Jarvis Landry,WR,MIA,5,59.0,39.0,59.0,52.0,
50,Peyton Manning,QB,DEN,7,68.0,52.0,51.0,40.0,
51,C.J. Spiller,RB,NO,11,35.0,53.0,44.0,81.0,
52,Sammy Watkins,WR,BUF,8,55.0,65.0,49.0,44.0,
53,T.J. Yeldon,RB,JAC,8,45.0,63.0,57.0,50.0,
54,Arian Foster,RB,HOU,9,34.0,62.0,67.0,57.0,
55,Brandon Marshall,WR,NYJ,5,57.0,50.0,62.0,58.0,
56,Greg Olsen,TE,CAR,5,61.0,51.0,54.0,61.0,
57,Martavis Bryant,WR,PIT,11,56.0,57.0,60.0,55.0,
58,Jeremy Maclin,WR,KC,9,62.0,54.0,53.0,60.0,
59,Russell Wilson,QB,SEA,9,58.0,68.0,66.0,41.0,
60,Drew Brees,QB,NO,11,79.0,61.0,50.0,43.0,
61,Ben Roethlisberger,QB,PIT,11,78.0,59.0,64.0,39.0,
62,Giovani Bernard,RB,CIN,7,54.0,69.0,63.0,59.0,
63,Allen Robinson,WR,JAC,8,60.0,56.0,70.0,66.0,
64,DeSean Jackson,WR,WAS,8,63.0,75.0,61.0,54.0,
65,Doug Martin,RB,TB,6,73.0,48.0,58.0,77.0,
66,Martellus Bennett,TE,CHI,7,77.0,67.0,68.0,62.0,
67,Nelson Agholor,WR,PHI,8,70.0,60.0,77.0,78.0,
68,Joique Bell,RB,DET,9,65.0,82.0,69.0,72.0,
69,Vincent Jackson,WR,TB,6,72.0,72.0,75.0,69.0,
70,Christopher Ivory,RB,NYJ,5,81.0,58.0,65.0,91.0,
71,Rashad Jennings,RB,NYG,11,69.0,74.0,73.0,79.0,
72,Tevin Coleman,RB,ATL,10,64.0,90.0,76.0,73.0,
73,Matt Ryan,QB,ATL,10,91.0,76.0,74.0,63.0,
74,Shane Vereen,RB,NYG,11,67.0,77.0,71.0,89.0,
75,LeGarrette Blount,RB,NE,4,66.0,71.0,78.0,93.0,
76,Charles Johnson,WR,MIN,5,76.0,66.0,82.0,90.0,
77,Mike Wallace,WR,MIN,5,74.0,91.0,79.0,71.0,
78,Davante Adams,WR,GB,7,99.0,41.0,99.0,83.0,
79,Roddy White,WR,ATL,10,75.0,92.0,84.0,84.0,
80,Victor Cruz,WR,NYG,11,106.0,70.0,92.0,74.0,
81,Tony Romo,QB,DAL,6,103.0,81.0,89.0,70.0,
82,Tre Mason,RB,STL,6,80.0,88.0,87.0,88.0,
83,Julius Thomas,TE,JAC,8,88.0,89.0,103.0,65.0,
84,Isaiah Crowell,RB,CLE,11,71.0,99.0,102.0,82.0,
85,Ryan Tannehill,QB,MIA,5,104.0,94.0,90.0,67.0,
86,Tom Brady,QB,NE,4,107.0,86.0,88.0,75.0,
87,Matthew Stafford,QB,DET,9,111.0,97.0,81.0,68.0,
88,Jordan Cameron,TE,MIA,5,101.0,80.0,98.0,92.0,
89,Larry Fitzgerald,WR,ARI,9,85.0,84.0,86.0,119.0,
90,Devonta Freeman,RB,ATL,10,84.0,102.0,94.0,96.0,
91,Eli Manning,QB,NYG,11,114.0,93.0,85.0,85.0,
92,Brandon LaFell,WR,NE,4,87.0,106.0,80.0,107.0,
93,John Brown,WR,ARI,9,94.0,73.0,106.0,111.0,
94,Eric Decker,WR,NYJ,5,86.0,118.0,97.0,86.0,
95,Bishop Sankey,RB,TEN,4,97.0,103.0,91.0,103.0,
96,Duke Johnson,RB,CLE,11,82.0,101.0,101.0,113.0,
97,Ryan Mathews,RB,PHI,8,96.0,83.0,95.0,127.0,
98,Jason Witten,TE,DAL,6,118.0,100.0,110.0,76.0,
99,Cam Newton,QB,CAR,5,83.0,116.0,96.0,112.0,
100,Michael Floyd,WR,ARI,9,93.0,139.0,83.0,95.0,
101,Anquan Boldin,WR,SF,10,98.0,98.0,116.0,102.0,
102,Steve Smith,WR,BAL,9,100.0,87.0,113.0,115.0,
103,Torrey Smith,WR,SF,10,89.0,130.0,105.0,94.0,
104,Alfred Blue,RB,HOU,9,147.0,79.0,72.0,129.0,
105,Seattle Seahawks,DST,SEA,9,128.0,105.0,117.0,80.0,
106,Zach Ertz,TE,PHI,8,95.0,133.0,93.0,117.0,
107,Devin Funchess,WR,CAR,5,138.0,96.0,109.0,97.0,
108,Danny Woodhead,RB,SD,10,102.0,78.0,100.0,164.0,
109,Philip Rivers,QB,SD,10,121.0,113.0,112.0,100.0,
110,Pierre Garcon,WR,WAS,8,110.0,111.0,120.0,105.0,
111,Kendall Wright,WR,TEN,4,105.0,109.0,108.0,125.0,
112,Marques Colston,WR,NO,11,113.0,107.0,119.0,108.0,
113,Darren McFadden,RB,DAL,6,116.0,110.0,104.0,122.0,
114,Breshad Perriman,WR,BAL,9,92.0,129.0,126.0,120.0,
115,Delanie Walker,TE,TEN,4,119.0,115.0,111.0,124.0,
116,David Cobb,RB,TEN,4,115.0,104.0,115.0,146.0,
117,Terrance Williams,WR,DAL,6,127.0,126.0,107.0,130.0,
118,Buffalo Bills,DST,BUF,8,141.0,120.0,129.0,101.0,
119,Devante Parker,WR,MIA,5,108.0,128.0,133.0,123.0,
120,David Johnson,RB,ARI,9,109.0,124.0,135.0,136.0,
121,Reggie Bush,RB,SF,10,117.0,123.0,132.0,132.0,
122,Darren Sproles,RB,PHI,8,133.0,119.0,122.0,133.0,
123,Houston Texans,DST,HOU,9,150.0,122.0,131.0,106.0,
124,Tyler Eifert,TE,CIN,7,123.0,108.0,124.0,156.0,
125,Eddie Royal,WR,CHI,7,152.0,85.0,114.0,162.0,
126,Sam Bradford,QB,PHI,8,140.0,117.0,127.0,135.0,
127,Knile Davis,RB,KC,9,124.0,125.0,123.0,149.0,
128,Teddy Bridgewater,QB,MIN,5,129.0,132.0,140.0,121.0,
129,St. Louis Rams,DST,STL,6,160.0,135.0,141.0,87.0,
130,Charles Sims,RB,TB,6,112.0,152.0,146.0,116.0,
131,Kenny Stills,WR,MIA,5,120.0,145.0,134.0,139.0,
132,Markus Wheaton,WR,PIT,11,175.0,112.0,121.0,153.0,
133,Owen Daniels,TE,DEN,7,146.0,95.0,142.0,180.0,
134,Kyle Rudolph,TE,MIN,5,135.0,127.0,128.0,179.0,
135,Colin Kaepernick,QB,SF,10,137.0,148.0,154.0,131.0,
136,Michael Crabtree,WR,OAK,6,155.0,138.0,147.0,137.0,
137,Steve Johnson,WR,SD,10,142.0,114.0,150.0,173.0,
138,Antonio Gates,TE,SD,10,132.0,146.0,143.0,161.0,
139,Austin Seferian-Jenkins,TE,TB,6,126.0,178.0,139.0,140.0,
140,Andre Williams,RB,NYG,11,157.0,159.0,130.0,143.0,
141,Dwayne Allen,TE,IND,10,136.0,163.0,165.0,128.0,
142,Joe Flacco,QB,BAL,9,143.0,156.0,137.0,157.0,
143,Roy Helu,RB,OAK,6,131.0,143.0,144.0,189.0,
144,Kevin White,WR,CHI,7,90.0,,118.0,220.0,
145,Brian Quick,WR,STL,6,125.0,121.0,163.0,227.0,
146,DeAngelo Williams,RB,PIT,11,166.0,136.0,159.0,151.0,
147,Stephen Gostkowski,K,NE,4,,154.0,136.0,126.0,
148,Coby Fleener,TE,IND,10,162.0,,125.0,134.0,
149,New York Jets,DST,NYJ,5,167.0,141.0,168.0,150.0,
150,Percy Harvin,WR,BUF,8,148.0,175.0,158.0,147.0,
151,Carson Palmer,QB,ARI,9,151.0,131.0,148.0,200.0,
152,Josh Hill,TE,NO,11,134.0,155.0,162.0,190.0,
153,Dorial Green-Beckham,WR,TEN,4,139.0,147.0,171.0,188.0,
154,Phillip Dorsett,WR,IND,10,169.0,153.0,179.0,148.0,
155,Arizona Cardinals,DST,ARI,9,180.0,160.0,172.0,138.0,
156,Jameis Winston,QB,TB,6,156.0,185.0,196.0,118.0,
157,Jay Cutler,QB,CHI,7,153.0,166.0,153.0,183.0,
158,Doug Baldwin,WR,SEA,9,164.0,168.0,180.0,145.0,
159,Miami Dolphins,DST,MIA,5,177.0,134.0,185.0,163.0,
160,Eric Ebron,TE,DET,9,159.0,,160.0,141.0,
161,Cody Latimer,WR,DEN,7,144.0,151.0,175.0,194.0,
162,Montee Ball,RB,DEN,7,154.0,157.0,157.0,196.0,
163,Rueben Randle,WR,NYG,11,130.0,171.0,193.0,181.0,
164,Vernon Davis,TE,SF,10,168.0,170.0,138.0,217.0,
165,Jonas Gray,RB,NE,4,187.0,140.0,149.0,212.0,
166,Andy Dalton,QB,CIN,7,165.0,172.0,156.0,191.0,
167,Matt Jones,RB,WAS,8,170.0,164.0,183.0,170.0,
168,Marvin Jones,WR,CIN,7,145.0,144.0,205.0,206.0,
169,Ronnie Hillman,RB,DEN,7,210.0,137.0,155.0,278.0,
170,Jay Ajayi,RB,MIA,5,122.0,,204.0,172.0,
171,Fred Jackson,RB,BUF,8,183.0,149.0,164.0,236.0,
