,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline,Group,Bye,MFL,FFC,RTS,Fantrax,ADP Rank,Proj Rank,Diff
1,DeMarcoMurray,18.7132610697,20.47761706,9.96865144265,11.9878225135,1.0,8.0,14.0,18.0,14.0,20.0,8,1,7
0,LeVeonBell,19.0131594313,19.6377996432,10.2685498042,11.1480050967,1.0,11.0,1.0,1.0,1.0,3.0,1,2,-1
2,MattForte,17.4274151312,17.7842096679,8.6828055041,9.2944151214,1.0,7.0,13.0,13.0,13.0,13.0,7,3,4
5,ArianFoster,14.5409252528,16.7885560217,5.79631562571,8.29876147514,1.0,9.0,34.0,62.0,67.0,57.0,14,4,10
12,JustinForsett,11.3872168544,14.6243770673,2.6426072273,6.13458252074,2.0,9.0,20.0,21.0,21.0,29.0,10,5,5
3,MarshawnLynch,15.4311973553,13.9592887392,6.68658772826,5.46949419268,1.0,9.0,7.0,8.0,6.0,12.0,5,6,-1
17,CJAnderson,10.4626429931,13.750997598,1.71803336607,5.26120305152,2.0,7.0,12.0,11.0,10.0,16.0,6,7,-1
7,EddieLacy,14.3403864625,13.1283675441,5.59577683545,4.63857299758,1.0,7.0,4.0,3.0,3.0,5.0,4,8,-4
10,AndreEllington,11.8086720601,12.2636578398,3.06406243308,3.77386329324,1.0,9.0,39.0,43.0,39.0,46.0,17,9,8
8,JoiqueBell,12.3733121517,12.2298505598,3.62870252465,3.74005601324,1.0,9.0,65.0,82.0,69.0,72.0,21,10,11
11,LamarMiller,11.4527572012,12.19779676,2.70814757411,3.7080022135,1.0,5.0,25.0,26.0,25.0,38.0,11,11,0
16,MarkIngram,10.5163269609,12.1338589089,1.77171733382,3.64406436234,2.0,11.0,31.0,34.0,36.0,33.0,13,12,1
6,LeSeanMcCoy,14.4364672944,12.0329535447,5.69185766731,3.54315899814,1.0,8.0,17.0,23.0,16.0,24.0,9,13,-4
9,GiovaniBernard,11.911546301,11.7172056388,3.16693667395,3.22741109229,1.0,7.0,54.0,69.0,63.0,59.0,20,14,6
4,JamaalCharles,15.013924257,11.6401196343,6.26931462996,3.15032508779,1.0,9.0,3.0,5.0,5.0,2.0,3,15,-12
13,FredJackson,11.2638344717,11.2905494956,2.5192248446,2.80075494911,1.0,8.0,183.0,149.0,164.0,236.0,35,16,19
26,AdrianPeterson,8.98928865934,10.8656752916,0.244679032278,2.37588074511,2.0,5.0,2.0,2.0,2.0,1.0,2,17,-15
15,RashadJennings,10.5862267794,10.5901692161,1.8416171523,2.10037466958,2.0,11.0,69.0,74.0,73.0,79.0,24,18,6
19,AhmadBradshaw,10.0921656083,10.2782086323,1.34755598127,1.78841408578,2.0,,,,173.0,,49,19,30
14,AlfredMorris,10.7895884445,10.1804352764,2.04497881746,1.69064072984,2.0,8.0,38.0,38.0,38.0,35.0,16,20,-4
20,ReggieBush,9.64383226194,10.0062897102,0.899222634873,1.51649516364,1.0,10.0,117.0,123.0,132.0,132.0,29,21,8
25,MattAsiata,9.03748133806,9.8081245041,0.292871710997,1.31832995758,2.0,5.0,,,211.0,403.0,50,22,28
21,DarrenSproles,9.43363481559,9.76087539024,0.689025188531,1.27108084372,1.0,8.0,133.0,119.0,122.0,133.0,32,23,9
22,RyanMathews,9.39797484227,9.67131055238,0.653365215206,1.18151600586,2.0,8.0,96.0,83.0,95.0,127.0,26,24,2
23,PierreThomas,9.32347050899,9.65134127078,0.57886088193,1.16154672426,1.0,,215.0,,305.0,245.0,42,25,17
27,JonathanStewart,8.88595738027,9.49041223176,0.141347753204,1.00061768524,2.0,5.0,43.0,49.0,46.0,56.0,18,26,-8
28,KnowshonMoreno,8.75291103827,9.0780058044,0.00830141120358,0.588211257883,,,,,,,51,27,24
24,ShaneVereen,9.11499245903,9.02405712735,0.370382831969,0.534262580829,1.0,11.0,67.0,77.0,71.0,89.0,23,28,-5
18,FrankGore,10.2392739995,8.97763972796,1.49466437246,0.487845181445,2.0,10.0,26.0,29.0,30.0,32.0,12,29,-17
32,ChrisIvory,8.13265177068,8.48979454652,-0.611957856387,0.0,,,,,,,52,30,22
30,RonnieHillman,8.60854574201,8.21761829191,-0.136063885059,-0.27217625461,2.0,7.0,210.0,137.0,155.0,278.0,41,31,10
33,StevenJackson,8.05898126181,7.9665989789,-0.68562836525,-0.523195567616,,,,,,,53,32,21
34,BobbyRainey,7.78715406288,7.45472463454,-0.957455564179,-1.03506991198,2.0,6.0,,,,316.0,54,33,21
37,StevanRidley,7.24997739193,7.40717401763,-1.49463223514,-1.08262052889,2.0,5.0,208.0,,224.0,271.0,40,34,6
36,ZacStacy,7.33558931331,7.38281956723,-1.40902031375,-1.10697497928,2.0,5.0,,,250.0,341.0,55,35,20
29,RoyHelu,8.74460962706,7.18736045392,0.0,-1.3024340926,2.0,6.0,131.0,143.0,144.0,189.0,31,36,-5
38,CJSpiller,7.22855182283,7.14525239567,-1.51605780424,-1.34454215084,2.0,11.0,35.0,53.0,44.0,81.0,15,37,-22
31,ChrisJohnson,8.16151728013,6.90749485985,-0.583092346929,-1.58229968667,1.0,9.0,217.0,,169.0,234.0,43,38,5
35,TrentRichardson,7.73159879547,6.76193592128,-1.01301083159,-1.72785862523,2.0,6.0,248.0,,313.0,231.0,47,39,8
40,LeGarretteBlount,6.77094226932,6.73029642079,-1.97366735774,-1.75949812573,2.0,4.0,66.0,71.0,78.0,93.0,22,40,-18
47,DenardRobinson,6.46102401265,6.61118249465,-2.28358561441,-1.87861205187,0.0,8.0,202.0,,145.0,246.0,39,41,-2
39,DeAngeloWilliams,7.03267808668,6.2348777697,-1.71193154038,-2.25491677682,2.0,11.0,166.0,136.0,159.0,151.0,34,42,-8
