,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline,Group,Bye,MFL,FFC,RTS,Fantrax,ADP Rank,Proj Rank,Diff
0,JimmyGraham,15.0464831163,16.3922675455,6.46015967954,7.86735871732,0.0,9.0,32.0,33.0,29.0,25.0,2,1,1
1,RobGronkowski,14.0619217019,15.5043102925,5.47559826516,6.9794014643,0.0,4.0,6.0,14.0,8.0,11.0,1,2,-1
2,GregOlsen,12.5141601264,12.9574568653,3.92783668973,4.43254803712,0.0,5.0,61.0,51.0,54.0,61.0,3,3,0
3,MartellusBennett,11.4576127014,12.1437131811,2.87128926467,3.61880435286,0.0,7.0,77.0,67.0,68.0,62.0,4,4,0
4,JuliusThomas,11.3529584087,11.645589435,2.766634972,3.1206806068,0.0,8.0,88.0,89.0,103.0,65.0,5,5,0
5,AntonioGates,11.2941425284,11.433261908,2.70781909171,2.90835307977,0.0,10.0,132.0,146.0,143.0,161.0,11,6,5
6,DelanieWalker,11.0871860646,11.0963438764,2.50086262783,2.57143504823,0.0,4.0,119.0,115.0,111.0,124.0,9,7,2
7,JasonWitten,10.4880862585,10.5493479006,1.90176282175,2.02443907245,0.0,6.0,118.0,100.0,110.0,76.0,8,8,0
8,CobyFleener,9.70287146679,9.49468966747,1.11654803007,0.969780839273,0.0,10.0,162.0,,125.0,134.0,15,9,6
9,CharlesClay,9.2816766413,9.18830446277,0.695353204585,0.663395634569,0.0,8.0,176.0,,206.0,208.0,20,10,10
10,HeathMiller,8.92424230294,8.81438611563,0.337918866228,0.289477287429,0.0,11.0,171.0,,200.0,235.0,17,11,6
12,ZachErtz,8.53104314983,8.5249088282,-0.0552802868901,0.0,1.0,8.0,95.0,133.0,93.0,117.0,6,12,-6
13,JaredCook,8.27169369017,8.16457019796,-0.314629746544,-0.360338630238,0.0,6.0,232.0,,270.0,202.0,21,13,8
14,OwenDaniels,7.91369443537,8.0506719323,-0.672629001346,-0.474236895904,1.0,7.0,146.0,95.0,142.0,180.0,14,14,0
11,JordanCameron,8.58632343672,7.80336519108,0.0,-0.72154363712,0.0,5.0,101.0,80.0,98.0,92.0,7,15,-8
15,JordanReed,7.87700967708,7.79956506582,-0.709313759641,-0.725343762378,1.0,8.0,174.0,,181.0,197.0,19,16,3
17,JermaineGresham,7.51901358843,7.47399130363,-1.06730984829,-1.05091752457,1.0,9.0,,,318.0,,24,17,7
16,VernonDavis,7.5195928308,7.31983818284,-1.06673060592,-1.20507064536,1.0,10.0,168.0,170.0,138.0,217.0,16,18,-2
19,MychalRivera,7.14099952282,7.22561098717,-1.44532391389,-1.29929784103,1.0,6.0,245.0,,216.0,356.0,23,19,4
18,DwayneAllen,7.27588182059,6.90061532234,-1.31044161612,-1.62429350586,1.0,10.0,136.0,163.0,165.0,128.0,13,20,-7
20,ScottChandler,6.73878181193,6.35278596125,-1.84754162479,-2.17212286695,1.0,4.0,,,280.0,355.0,25,21,4
22,KyleRudolph,6.5430617949,5.82973074449,-2.04326164182,-2.69517808371,1.0,5.0,135.0,127.0,128.0,179.0,12,22,-10
21,TimWright,6.65192100778,5.7664997204,-1.93440242893,-2.7584091078,,,,,,,26,23,3
24,DennisPitta,6.10921013792,5.56651900558,-2.4771132988,-2.95838982261,2.0,9.0,,,,353.0,28,24,4
23,NilesPaul,6.40150251167,5.52584440205,-2.18482092505,-2.99906442615,,,,,,,27,25,2
27,BrentCelek,5.68586076983,5.24845276454,-2.90046266688,-3.27645606365,1.0,8.0,,,,349.0,31,26,5
25,MarcedesLewis,5.83683676116,4.96376751391,-2.74948667556,-3.56114131429,1.0,8.0,,,,404.0,29,27,2
26,GarrettGraham,5.81258986277,4.81717654611,-2.77373357394,-3.70773228209,1.0,9.0,,,330.0,359.0,30,28,2
29,ClayHarbor,5.5186631169,4.77182534292,-3.06766031982,-3.75308348528,,,,,,,33,29,4
28,LukeWillson,5.52025794376,4.64527476755,-3.06606549296,-3.87963406065,1.0,9.0,,,,354.0,32,30,2
30,AndrewQuarless,5.25148766961,4.43640879313,-3.33483576711,-4.08850003507,1.0,7.0,,,,290.0,34,31,3
31,LanceKendricks,5.18948827389,4.36078470746,-3.39683516283,-4.16412412074,1.0,6.0,,,,358.0,35,32,3
34,JeffCumberland,4.97996320978,4.25630350017,-3.60636022694,-4.26860532803,1.0,5.0,,,,308.0,38,33,5
32,AnthonyFasano,5.16065106586,4.25505779076,-3.42567237086,-4.26985103744,1.0,4.0,,,,400.0,36,34,2
36,JohnCarlson,4.86157083615,4.23143765412,-3.72475260057,-4.29347117408,,,,,,,40,35,5
38,LadariusGreen,4.7971665991,4.01662136477,-3.78915683762,-4.50828746343,2.0,10.0,173.0,,212.0,152.0,18,36,-18
35,BrandonMyers,4.86972499461,3.98343688573,-3.7165984421,-4.54147194247,1.0,6.0,,,,361.0,39,37,2
33,ZachMiller,5.0171479967,3.93975164476,-3.56917544001,-4.58515718344,,,,,,,37,38,-1
37,JosephFauria,4.84088523152,3.7807344446,-3.7454382052,-4.7441743836,,,,,,,41,39,2
39,DionSims,4.77224603273,3.72142576892,-3.81407740399,-4.80348305928,2.0,5.0,,,,408.0,42,40,2
44,LevineToilolo,4.26202040511,3.60516453131,-4.32430303161,-4.91974429689,2.0,10.0,,,,395.0,46,41,5
40,TylerEifert,4.60982711747,3.57246135356,-3.97649631924,-4.95244747464,2.0,7.0,123.0,108.0,124.0,156.0,10,42,-32
46,JimDray,4.20299939854,3.28134861395,-4.38332403818,-5.24356021425,,,,,,,48,43,5
43,RhettEllison,4.27120177554,3.12412768793,-4.31512166118,-5.40078114027,,,,,,,45,44,1
41,JamesCasey,4.59480865639,3.09785379619,-3.99151478033,-5.42705503201,2.0,7.0,,,,405.0,43,45,-2
42,MattSpaeth,4.38801008751,3.03073360091,-4.19831334921,-5.49417522729,,,,,,,44,46,-2
49,ChrisGragg,3.94517548237,3.02551116411,-4.64114795435,-5.49939766409,,,,,,,51,47,4
48,RyanGriffin,3.95012417904,2.92040468094,-4.63619925767,-5.60450414726,,,,,,,50,48,2
47,GavinEscobar,4.09299431997,2.87391914711,-4.49332911675,-5.65098968109,2.0,6.0,,,,339.0,49,49,0
45,JohnPhillips,4.23545978875,2.86525958696,-4.35086364796,-5.65964924123,,,,,,,47,50,-3
54,GaryBarnidge,3.70810372376,2.77933892156,-4.87821971295,-5.74556990664,,,,,,,56,51,5
50,BrandonBostick,3.92933349307,2.71428162143,-4.65698994365,-5.81062720677,,,,,,,52,52,0
51,JackDoyle,3.90110346817,2.6131686134,-4.68521996855,-5.9117402148,,,,,,,53,53,0
62,BenWatson,3.35856614934,2.60688878267,-5.22775728737,-5.91802004553,,,,,,,63,54,9
58,LoganPaulsen,3.57789327873,2.53903447647,-5.00843015798,-5.98587435173,,,,,,,60,55,5
55,JacobTamme,3.61319232921,2.5346745661,-4.97313110751,-5.9902342621,2.0,10.0,,,311.0,307.0,57,56,1
57,BrandonPettigrew,3.58269880153,2.49765300222,-5.00362463518,-6.02725582598,2.0,9.0,,,,360.0,59,57,2
53,CraigStevens,3.7487919989,2.34982254516,-4.83753143782,-6.17508628304,,,,,,,55,58,-3
60,RobertHousler,3.40145157838,2.30722173803,-5.18487185834,-6.21768709017,,,,,,,61,59,2
59,VirgilGreen,3.49714172262,2.23761776797,-5.0891817141,-6.28729106023,2.0,7.0,235.0,,235.0,326.0,22,60,-38
52,MichaelPalmer,3.83038068836,2.22126448757,-4.75594274835,-6.30364434063,,,,,,,54,61,-7
56,ZachSudfeld,3.59076314451,2.18541881723,-4.99556029221,-6.33949001097,,,,,,,58,62,-4
64,EdDickson,3.18009380294,2.10880933832,-5.40622963378,-6.41609948988,,,,,,,65,63,2
61,DanteRosario,3.37328597171,2.00065406276,-5.21303746501,-6.52425476544,,,,,,,62,64,-2
63,TaylorThompson,3.35278544881,1.93107351403,-5.23353798791,-6.59383531417,,,,,,,64,65,-1
65,LeeSmith,3.17683166424,1.89700840316,-5.40949177248,-6.62790042504,,,,,,,66,66,0
66,KevinBrock,3.13703135699,1.72632075885,-5.44929207973,-6.79858806934,,,,,,,67,67,0
67,JamesHanna,2.96710233797,1.68247703588,-5.61922109874,-6.84243179231,,,,,,,68,68,0
68,MichaelHoomanawanui,2.8083835702,1.63605135847,-5.77793986651,-6.88885746973,,,,,,,69,69,0
69,BearPascoe,2.75448082396,1.58756853531,-5.83184261276,-6.93734029289,,,,,,,70,70,0
70,VanceMcDonald,2.53414397246,1.40025058842,-6.05217946425,-7.12465823978,,,,,,,71,71,0
