,Name,2015 Projection,Value Above Baseline,Group,Bye,MFL,FFC,RTS,Fantrax
0,JimmyGraham,15.0464831163,6.46015967954,0,9.0,32.0,33.0,29.0,25.0
1,RobGronkowski,14.0619217019,5.47559826516,0,4.0,6.0,14.0,8.0,11.0
2,GregOlsen,12.5141601264,3.92783668973,0,5.0,61.0,51.0,54.0,61.0
3,MartellusBennett,11.4576127014,2.87128926467,0,7.0,77.0,67.0,68.0,62.0
4,JuliusThomas,11.3529584087,2.766634972,0,8.0,88.0,89.0,103.0,65.0
5,AntonioGates,11.2941425284,2.70781909171,0,10.0,132.0,146.0,143.0,161.0
6,DelanieWalker,11.0871860646,2.50086262783,0,4.0,119.0,115.0,111.0,124.0
7,JasonWitten,10.4880862585,1.90176282175,0,6.0,118.0,100.0,110.0,76.0
8,CobyFleener,9.70287146679,1.11654803007,0,10.0,162.0,,125.0,134.0
9,CharlesClay,9.2816766413,0.695353204585,0,8.0,176.0,,206.0,208.0
10,HeathMiller,8.92424230294,0.337918866228,0,11.0,171.0,,200.0,235.0
11,JordanCameron,8.58632343672,0.0,0,5.0,101.0,80.0,98.0,92.0
12,ZachErtz,8.53104314983,-0.0552802868901,1,8.0,95.0,133.0,93.0,117.0
13,JaredCook,8.27169369017,-0.314629746544,0,6.0,232.0,,270.0,202.0
14,OwenDaniels,7.91369443537,-0.672629001346,1,7.0,146.0,95.0,142.0,180.0
15,JordanReed,7.87700967708,-0.709313759641,1,8.0,174.0,,181.0,197.0
16,VernonDavis,7.5195928308,-1.06673060592,1,10.0,168.0,170.0,138.0,217.0
17,JermaineGresham,7.51901358843,-1.06730984829,1,9.0,,,318.0,
18,DwayneAllen,7.27588182059,-1.31044161612,1,10.0,136.0,163.0,165.0,128.0
19,MychalRivera,7.14099952282,-1.44532391389,1,6.0,245.0,,216.0,356.0
20,ScottChandler,6.73878181193,-1.84754162479,1,4.0,,,280.0,355.0
21,KyleRudolph,6.5430617949,-2.04326164182,1,5.0,135.0,127.0,128.0,179.0
22,DennisPitta,6.10921013792,-2.4771132988,2,9.0,,,,353.0
23,MarcedesLewis,5.83683676116,-2.74948667556,1,8.0,,,,404.0
24,GarrettGraham,5.81258986277,-2.77373357394,1,9.0,,,330.0,359.0
25,BrentCelek,5.68586076983,-2.90046266688,1,8.0,,,,349.0
26,LukeWillson,5.52025794376,-3.06606549296,1,9.0,,,,354.0
27,AndrewQuarless,5.25148766961,-3.33483576711,1,7.0,,,,290.0
28,LanceKendricks,5.18948827389,-3.39683516283,1,6.0,,,,358.0
29,AnthonyFasano,5.16065106586,-3.42567237086,1,4.0,,,,400.0
30,JeffCumberland,4.97996320978,-3.60636022694,1,5.0,,,,308.0
31,BrandonMyers,4.86972499461,-3.7165984421,1,6.0,,,,361.0
32,LadariusGreen,4.7971665991,-3.78915683762,2,10.0,173.0,,212.0,152.0
33,DionSims,4.77224603273,-3.81407740399,2,5.0,,,,408.0
34,TylerEifert,4.60982711747,-3.97649631924,2,7.0,123.0,108.0,124.0,156.0
35,JamesCasey,4.59480865639,-3.99151478033,2,7.0,,,,405.0
36,LevineToilolo,4.26202040511,-4.32430303161,2,10.0,,,,395.0
37,GavinEscobar,4.09299431997,-4.49332911675,2,6.0,,,,339.0
38,JacobTamme,3.61319232921,-4.97313110751,2,10.0,,,311.0,307.0
39,BrandonPettigrew,3.58269880153,-5.00362463519,2,9.0,,,,360.0
40,VirgilGreen,3.49714172262,-5.0891817141,2,7.0,235.0,,235.0,326.0
