,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline,Group,Bye,MFL,FFC,RTS,Fantrax,ADP Rank,Proj Rank,Diff
0,PeytonManning,25.8579742323,23.8056965484,6.05750433207,3.83107932247,2.0,7.0,68.0,52.0,51.0,40.0,4,1,3
2,AndrewLuck,23.3413869374,23.3527894013,3.54091703721,3.37817217536,2.0,10.0,21.0,19.0,19.0,14.0,1,2,-1
1,DrewBrees,24.2177091448,23.1185229262,4.41723924457,3.14390570027,2.0,11.0,79.0,61.0,50.0,43.0,6,3,3
7,RussellWilson,20.2669721899,21.7309236805,0.466502289706,1.75630645463,2.0,9.0,58.0,68.0,66.0,41.0,3,4,-1
4,AaronRodgers,21.3204082122,21.5888975223,1.51993831195,1.61428029643,2.0,7.0,28.0,25.0,26.0,7.0,2,5,-3
3,BenRoethlisberger,21.3302884516,21.1580795075,1.52981855133,1.18346228158,2.0,11.0,78.0,59.0,64.0,39.0,5,6,-1
5,PhilipRivers,21.2697770706,21.0460897966,1.46930717041,1.07147257072,2.0,10.0,121.0,113.0,112.0,100.0,14,7,7
6,MattRyan,20.6117273753,20.7268185984,0.811257475099,0.752201372478,2.0,10.0,91.0,76.0,74.0,63.0,8,8,0
14,CamNewton,19.3489541327,20.5673381856,-0.45151576757,0.592720959677,2.0,5.0,83.0,116.0,96.0,112.0,7,9,-2
11,RyanTannehill,19.8004699002,20.3297580094,0.0,0.355140783498,2.0,5.0,104.0,94.0,90.0,67.0,10,10,0
9,TomBrady,20.2106378927,20.2471852746,0.410167992424,0.27256804871,2.0,4.0,107.0,86.0,88.0,75.0,11,11,0
8,TonyRomo,20.2550000069,19.9746172259,0.45453010663,0.0,2.0,6.0,103.0,81.0,89.0,70.0,9,12,-3
10,MatthewStafford,20.0223768505,19.9435222401,0.221906950279,-0.0310949857681,2.0,9.0,111.0,97.0,81.0,68.0,12,13,-1
13,JayCutler,19.3931104883,19.6008931941,-0.407359411935,-0.373724031776,2.0,7.0,153.0,166.0,153.0,183.0,18,14,4
12,AndyDalton,19.4320081356,19.4026442272,-0.368461764652,-0.571972998682,2.0,7.0,165.0,172.0,156.0,191.0,19,15,4
17,ColinKaepernick,18.0832092107,18.9592671422,-1.71726068954,-1.01535008369,2.0,10.0,137.0,148.0,154.0,131.0,15,16,-1
16,JoeFlacco,18.5522569165,18.7890267466,-1.24821298377,-1.18559047926,2.0,9.0,143.0,156.0,137.0,157.0,16,17,-1
15,EliManning,18.6610828974,18.7834714362,-1.13938700284,-1.19114578973,2.0,11.0,114.0,93.0,85.0,85.0,13,18,-5
18,AlexSmith,17.3210453083,17.3470774936,-2.47942459189,-2.62753973227,2.0,9.0,181.0,,239.0,241.0,20,19,1
