,Name,Projection,Salary,Position,DPP
0,AaronRodgers,19.2645,9300,QB,482.753250798
1,MattRyan,17.6955,8700,QB,491.650419598
2,NickFoles,17.669,6500,QB,367.875940913
3,BenRoethlisberger,17.626,8400,QB,476.568705322
4,DrewBrees,17.1085,8900,QB,520.209252711
5,RussellWilson,16.8855,8500,QB,503.390482959
6,RyanTannehill,16.6515,8000,QB,480.43719785
7,EliManning,16.061,8000,QB,498.100989976
8,TonyRomo,15.9875,8500,QB,531.665363565
9,TomBrady,15.8255,8300,QB,524.470000948
10,PhilipRivers,15.521,8200,QB,528.316474454
11,CarsonPalmer,15.42,7800,QB,505.836575875
12,CamNewton,15.395,7700,QB,500.162390386
13,ColinKaepernick,15.384,7800,QB,507.020280811
14,JayCutler,15.366,7200,QB,468.566966029
15,SamBradford,15.0125,7500,QB,499.583680266
16,MarkSanchez,14.53,6400,QB,440.467997247
17,RobertGriffinIII,13.8155,7100,QB,513.915529659
18,ShaunHill,13.7545,5100,QB,370.787742193
19,MatthewStafford,13.503,7700,QB,570.243649559
20,AndyDalton,13.4505,6900,QB,512.992082079
21,JoeFlacco,13.198,8100,QB,613.729352932
22,DrewStanton,12.396,5200,QB,419.490158116
23,BrianHoyer,11.001,6300,QB,572.675211344
24,DerekAnderson,9.808,5200,QB,530.179445351
25,ColtMcCoy,8.7005,4800,QB,551.692431469
26,JoshMcCown,6.619,5900,QB,891.373319233
27,BrandonWeeden,6.1575,5500,QB,893.219650832
28,TarvarisJackson,0.811,5200,QB,6411.83723798
