,Name,Projection,Salary,Position,DPP
0,DemaryiusThomas,18.9605,8400,WR,443.026291501
1,AntonioBrown,16.4175,9300,WR,566.468707172
2,JulianEdelman,16.3945,7700,WR,469.669706304
3,JulioJones,15.3195,9000,WR,587.486536767
4,AJGreen,15.05,8000,WR,531.561461794
5,EmmanuelSanders,14.8225,8100,WR,546.466520492
6,TYHilton,14.7365,7600,WR,515.726257931
7,CalvinJohnson,14.367,8200,WR,570.752418737
8,RandallCobb,14.099,8200,WR,581.601532024
9,RoddyWhite,12.723,6100,WR,479.446671383
10,KeenanAllen,12.6835,7600,WR,599.203689833
11,GoldenTate,12.641,6800,WR,537.932125623
12,AnquanBoldin,12.2535,6600,WR,538.621618313
13,JeremyMaclin,12.1415,6500,WR,535.353951324
14,DeAndreHopkins,11.8055,7800,WR,660.708991572
15,PercyHarvin,11.5155,5600,WR,486.301072468
16,TorreySmith,11.203,6400,WR,571.275551192
17,AlshonJeffery,11.1435,7500,WR,673.038093956
18,EricDecker,10.9545,6000,WR,547.720115021
19,KendallWright,10.8545,5900,WR,543.553364964
20,EddieRoyal,10.743,4700,WR,437.494182258
21,LarryFitzgerald,10.633,6700,WR,630.113796671
22,SteveSmith,10.2885,7100,WR,690.090878165
23,BrandonMarshall,10.166,7400,WR,727.916584694
24,MikeWallace,10.144,5800,WR,571.766561514
25,DougBaldwin,10.09,6000,WR,594.648166501
26,AndreJohnson,9.9795,6800,WR,681.39686357
27,CecilShorts,9.281,5200,WR,560.284452106
28,VincentJackson,8.954,7200,WR,804.109895019
29,MarvinJones,8.7565,5000,WR,571.004396734
30,GregJennings,8.562,4600,WR,537.257650082
31,RishardMatthews,8.314,5700,WR,685.590570123
32,MichaelCrabtree,8.2945,6000,WR,723.370908433
33,NateWashington,8.28,5300,WR,640.096618357
34,MichaelFloyd,8.077,5200,WR,643.803392349
35,MarquesColston,8.071,5300,WR,656.672035683
36,HarryDouglas,8.0345,4800,WR,597.423610679
37,JamesJones,7.999,5700,WR,712.589073634
38,SteveJohnson,7.5785,5900,WR,778.51817642
39,AndreHolmes,7.569,5200,WR,687.012815431
40,JariusWright,7.549,5100,WR,675.586170354
41,LeonardHankerson,7.5405,5700,WR,755.91804257
42,RobertWoods,7.372,5300,WR,718.936516549
43,KennyBritt,7.351,5400,WR,734.593932798
44,AndrewHawkins,7.2865,4500,WR,617.58045701
45,KennyStills,7.2765,5200,WR,714.629286058
46,CordarrellePatterson,7.225,4700,WR,650.519031142
47,TerranceWilliams,7.1355,6500,WR,910.938266414
48,TravisBenjamin,7.1005,5600,WR,788.676853743
49,MohamedSanu,7.068,4800,WR,679.117147708
50,TavonAustin,7.042,5300,WR,752.627094575
51,DannyAmendola,6.983,4600,WR,658.742660748
52,LouisMurphy,6.94,5100,WR,734.870317003
53,BrianHartline,6.9205,4500,WR,650.242034535
54,TedGinnJr,6.9115,5200,WR,752.369239673
55,HakeemNicks,6.777,4800,WR,708.277999115
56,JustinHunter,6.773,4500,WR,664.402775727
57,JermaineKearse,6.639,5400,WR,813.37550836
58,MalcomFloyd,6.5485,5300,WR,809.345651676
59,DarriusHeywardBey,6.5245,5300,WR,812.322783355
60,DevinHester,6.414,4600,WR,717.181166199
61,DwayneBowe,6.345,5200,WR,819.542947203
62,RileyCooper,6.14,4700,WR,765.472312704
63,MilesAustin,6.0965,4800,WR,787.336996637
64,JeremyKerley,5.518,4500,WR,815.512866981
65,JacobyJones,5.314,4500,WR,846.81972149
66,ColeBeasley,5.1435,5400,WR,1049.8687664
67,MarlonBrown,4.878,4500,WR,922.509225092
68,LanceMoore,4.775,4500,WR,942.408376963
69,JerrichoCotchery,4.6705,4700,WR,1006.31624023
70,JasonAvant,4.5745,4500,WR,983.714067111
71,KrisDurham,4.4895,4500,WR,1002.33879051
72,ChrisGivens,4.4305,4500,WR,1015.68671707
73,BrandonTate,4.418,4500,WR,1018.56043459
74,VincentBrown,3.9815,4500,WR,1130.22730127
75,EricWeems,3.5245,4500,WR,1276.77684778
76,KeshawnMartin,3.1205,4500,WR,1442.07659029
