,Name,Projection,Salary,Position,DPP
0,CJAnderson,16.242,5900,RB,363.25575668
1,MattForte,15.9315,7100,RB,445.657973198
2,ArianFoster,15.7355,7000,RB,444.853992565
3,MarkIngram,13.785,6000,RB,435.255712731
4,AdrianPeterson,13.768,7800,RB,566.531086578
5,JamaalCharles,13.652,7600,RB,556.694989745
6,DeMarcoMurray,13.651,6500,RB,476.155592997
7,AndreEllington,13.23,5400,RB,408.163265306
8,LataviusMurray,12.913,6300,RB,487.880430574
9,LeSeanMcCoy,12.6125,5600,RB,444.003964321
10,GiovaniBernard,12.34,5000,RB,405.186385737
11,JeremyHill,11.647,6500,RB,558.083626685
12,JonathanStewart,11.484,4700,RB,409.265064437
13,FrankGore,10.5845,4700,RB,444.045538287
14,EddieLacy,10.4975,6900,RB,657.29935699
15,TreMason,10.3095,4000,RB,387.991658179
16,RashadJennings,10.2175,4200,RB,411.059456814
17,AlfredMorris,9.9145,4100,RB,413.535730496
18,RonnieHillman,9.912,4700,RB,474.172719935
19,BennyCunningham,9.712,3400,RB,350.082372323
20,DannyWoodhead,9.6345,4600,RB,477.450827754
21,CarlosHyde,9.629,5100,RB,529.650015578
22,DougMartin,9.2495,4400,RB,475.701389264
23,DarrenSproles,8.7895,4500,RB,511.974515046
24,IsaiahCrowell,8.559,4100,RB,479.027923823
25,MattAsiata,8.346,3000,RB,359.453630482
26,JamesStarks,8.231,3800,RB,461.669298992
27,ChrisPolk,8.0855,3300,RB,408.138024859
28,ShaneVereen,8.0515,4300,RB,534.061976029
29,DevontaFreeman,8.0075,5200,RB,649.391195754
30,RyanMathews,7.8655,3800,RB,483.12249698
31,ChrisJohnson,7.6955,4500,RB,584.75732571
32,JosephRandle,7.4545,5500,RB,737.809376886
33,DenardRobinson,7.0095,3000,RB,427.990584207
34,DonaldBrown,6.9035,3000,RB,434.562178605
35,KhiryRobinson,6.843,3000,RB,438.40420868
36,LanceDunbar,6.697,3600,RB,537.554128714
37,RobertTurbin,6.6525,3000,RB,450.958286359
38,ReggieBush,6.4645,3800,RB,587.825817929
39,DarrenMcFadden,6.3145,3600,RB,570.116398765
40,AlfredBlue,6.2495,3900,RB,624.049923994
41,AndreWilliams,6.0955,3100,RB,508.571897301
42,StepfanTaylor,5.513,3000,RB,544.168329403
43,KnileDavis,5.3915,3000,RB,556.431419828
44,MarcelReece,5.294,3000,RB,566.679259539
45,JerickMcKinnon,4.8215,3000,RB,622.213004252
46,BrandenOliver,4.799,3000,RB,625.130235466
47,BobbyRainey,4.201,3000,RB,714.115686741
48,IsaiahPead,4.1765,3000,RB,718.30480067
49,JonathanGrimes,4.112,3100,RB,753.891050584
50,TobyGerhart,4.054,3000,RB,740.009866798
51,MikeTolbert,3.9845,3000,RB,752.917555528
52,CJSpiller,3.903,3900,RB,999.231360492
53,FozzyWhittaker,3.764,3000,RB,797.024442083
54,ChristineMichael,3.273,3000,RB,916.590284143
55,BruceMiller,3.22,3000,RB,931.677018634
56,TaiwanJones,3.2145,3000,RB,933.271115259
57,ShaunDraughn,3.056,3000,RB,981.67539267
58,JacquizzRodgers,2.9115,3000,RB,1030.39670273
59,JohnKuhn,2.0685,3000,RB,1450.32632342
60,BernardPierce,2.001,3000,RB,1499.25037481
61,JorvorskieLane,1.541,3000,RB,1946.78780013
62,AnthonySherman,1.4765,3000,RB,2031.83203522
63,DarrelYoung,1.3615,3000,RB,2203.45207492
64,JeromeFelton,1.0945,3000,RB,2740.97761535
