,Name,Projection,Salary,Position,DPP
0,GregOlsen,10.4585,5400,TE,516.326433045
1,MartellusBennett,10.3335,4500,TE,435.476847148
2,CobyFleener,10.109,3200,TE,316.549609259
3,ZachErtz,9.6665,3200,TE,331.040190348
4,JordanReed,8.8425,4500,TE,508.905852417
5,TravisKelce,8.836,5300,TE,599.818922589
6,KyleRudolph,8.775,3200,TE,364.672364672
7,JaredCook,8.7485,3000,TE,342.915928445
8,TylerEifert,8.662,4600,TE,531.05518356
9,CharlesClay,8.549,3300,TE,386.010059656
10,GarrettGraham,8.4995,2500,TE,294.134949115
11,JasonWitten,8.1005,4400,TE,543.176347139
12,DwayneAllen,7.258,3100,TE,427.114907688
13,JermaineGresham,7.2555,2500,TE,344.566191165
14,AustinSeferianJenkins,6.945,3900,TE,561.555075594
15,MychalRivera,6.6095,2500,TE,378.243437476
16,LadariusGreen,6.308,3200,TE,507.292327204
17,JacobTamme,6.014,2600,TE,432.324575989
18,LarryDonnell,5.8525,2900,TE,495.514737292
19,ZachMiller,5.435,2500,TE,459.981600736
20,LanceKendricks,5.325,2500,TE,469.483568075
21,RichardRodgers,5.3125,2500,TE,470.588235294
22,VernonDavis,5.094,3000,TE,588.928150766
23,BrentCelek,4.9935,2500,TE,500.6508461
24,BrandonMyers,4.9725,2500,TE,502.765208648
25,OwenDaniels,4.9435,2700,TE,546.17174067
26,GaryBarnidge,4.8165,3100,TE,643.620886536
27,DanielFells,4.0265,2500,TE,620.886626102
28,LevineToilolo,3.9415,2500,TE,634.276290752
29,JackDoyle,3.8045,2500,TE,657.11657248
30,LeeSmith,3.7865,2500,TE,660.240327479
31,GavinEscobar,3.7775,2500,TE,661.81336863
32,VirgilGreen,3.7,2500,TE,675.675675676
33,EdDickson,3.4475,2500,TE,725.163161711
34,MatthewMulligan,3.172,2500,TE,788.14627995
35,RhettEllison,3.146,2500,TE,794.659885569
36,JimDray,3.065,2500,TE,815.660685155
37,JamesHanna,2.6435,2500,TE,945.715906942
38,VanceMcDonald,2.51,2500,TE,996.015936255
