,Name,Projection,Salary,Position,DPP
0,OdellBeckhamJr,16.435,9000.0,WR,547.611804077
1,JulianEdelman,16.041,7000.0,WR,436.38177171
2,DemaryiusThomas,15.6405,8100.0,WR,517.886256833
3,KeenanAllen,15.5445,7200.0,WR,463.186336003
4,RandallCobb,15.102,7500.0,WR,496.622963846
5,JulioJones,14.961,9200.0,WR,614.932156941
6,AntonioBrown,14.738,8700.0,WR,590.310761297
7,CalvinJohnson,14.221,7400.0,WR,520.357218198
8,AJGreen,13.9315,7700.0,WR,552.704303198
9,TYHilton,13.7755,,,
10,DezBryant,13.5565,8200.0,WR,604.875889795
11,EmmanuelSanders,13.157,7400.0,WR,562.438245801
12,JordanMatthews,12.347,6400.0,WR,518.344537135
13,AlshonJeffery,12.2525,6500.0,WR,530.50397878
14,LarryFitzgerald,11.925,6800.0,WR,570.230607966
15,DeAndreHopkins,11.764,,,
16,DonteMoncrief,11.7275,,,
17,PercyHarvin,11.564,4600.0,WR,397.786233137
18,RuebenRandle,11.34,4400.0,WR,388.007054674
19,AndreJohnson,11.319,,,
20,BrandonMarshall,11.007,,,
21,BrandinCooks,10.9665,5900.0,WR,538.002097296
22,JarvisLandry,10.85,,,
23,TorreySmith,10.833,4200.0,WR,387.704237053
24,RoddyWhite,10.8105,3500.0,WR,323.75930808
25,SteveSmith,10.4525,,,
26,GoldenTate,10.347,5200.0,WR,502.56112883
27,JeremyMaclin,10.2685,6000.0,WR,584.311243122
28,EricDecker,10.1795,,,
29,AllenRobinson,10.167,5500.0,WR,540.965869971
30,DougBaldwin,9.9765,4200.0,WR,420.989324914
31,AnquanBoldin,9.8635,4400.0,WR,446.089116439
32,SammyWatkins,9.684,5500.0,WR,567.947129285
33,DavanteAdams,9.289,4500.0,WR,484.443965981
34,VincentJackson,9.152,5000.0,WR,546.328671329
35,EddieRoyal,9.1445,3700.0,WR,404.614795779
36,MikeWallace,9.1125,,,
37,KennyStills,9.013,,,
38,PhillyBrown,8.911,,,
39,TravisBenjamin,8.827,4500.0,WR,509.799478872
40,TavonAustin,8.8055,4300.0,WR,488.331156663
41,MarquesColston,8.768,4300.0,WR,490.419708029
42,JohnBrown,8.5325,5100.0,WR,597.714620568
43,StedmanBailey,8.441,3000.0,WR,355.408126999
44,NateWashington,8.4275,,,
45,CecilShorts,8.399,,,
46,AndreHolmes,8.3925,3000.0,WR,357.46201966
47,KendallWright,8.3825,5400.0,WR,644.199224575
48,PierreGarcon,8.365,5300.0,WR,633.592349074
49,LeonardHankerson,8.077,4000.0,WR,495.23337873
50,MichaelFloyd,8.0625,3000.0,WR,372.093023256
51,ColeBeasley,8.04,3100.0,WR,385.572139303
52,HarryDouglas,7.9755,3000.0,WR,376.151965394
53,RobertWoods,7.8755,3100.0,WR,393.625801536
54,GregJennings,7.8065,,,
55,JariusWright,7.771,,,
56,MichaelCrabtree,7.7305,4600.0,WR,595.045598603
57,SteveJohnson,7.726,,,
58,JamesJones,7.6895,5700.0,WR,741.270563756
59,KennyBritt,7.4615,4000.0,WR,536.085237553
60,JermaineKearse,7.3855,3500.0,WR,473.901563875
61,TedGinnJr,7.148,,,
62,BrianHartline,7.1075,3200.0,WR,450.228631727
63,MarvinJones,7.069,3700.0,WR,523.412080917
64,TerranceWilliams,7.0515,4300.0,WR,609.799333475
65,MilesAustin,6.949,3300.0,WR,474.888473162
66,TaylorGabriel,6.8495,3000.0,WR,437.988174319
67,JustinHunter,6.7875,3200.0,WR,471.454880295
68,AndrewHawkins,6.7805,3000.0,WR,442.445247401
69,AaronDobson,6.773,3000.0,WR,442.935183818
