,Name,Projection,Salary,Position,DPP
0,AaronRodgers,18.995,,,
1,DrewBrees,18.8165,7000.0,QB,372.01392395
2,MattRyan,18.809,7200.0,QB,382.795470254
3,BenRoethlisberger,18.808,6800.0,QB,361.548277329
4,AndyDalton,18.565,,,
5,CamNewton,18.452,6600.0,QB,357.684803815
6,TomBrady,18.4355,8500.0,QB,461.066963196
7,EliManning,17.505,6800.0,QB,388.460439874
8,CarsonPalmer,17.4985,6700.0,QB,382.889961997
9,ColinKaepernick,17.34,,,
10,RyanFitzpatrick,17.3315,5200.0,QB,300.031734126
11,AlexSmith,17.308,5100.0,QB,294.661428241
12,RussellWilson,17.256,,,
13,AndrewLuck,17.1975,7600.0,QB,441.924698357
14,JoeFlacco,17.1085,5700.0,QB,333.167723646
15,PhilipRivers,16.9725,6500.0,QB,382.972455443
16,TyrodTaylor,16.7375,,,
17,RyanTannehill,16.713,5700.0,QB,341.051875785
18,JayCutler,16.5115,,,
19,MatthewStafford,16.1795,5700.0,QB,352.29766062
20,PeytonManning,15.336,,,
21,EJManuel,15.22,,,
22,BlakeBortles,15.1705,,,
23,DerekCarr,15.0745,5300.0,QB,351.587117317
24,TeddyBridgewater,14.699,5100.0,QB,346.962378393
25,JoshMcCown,14.0365,5200.0,QB,370.462722189
26,BrianHoyer,13.9915,5300.0,QB,378.801415145
27,SamBradford,13.9325,6100.0,QB,437.825228782
28,KirkCousins,13.6,5000.0,QB,367.647058824
29,NickFoles,12.9195,5100.0,QB,394.75211889
30,BrandonWeeden,12.107,5000.0,QB,412.984224003
31,MattHasselbeck,10.6175,5000.0,QB,470.92064987
32,DanOrlovsky,10.048,5000.0,QB,497.611464968
33,MichaelVick,9.739,,,
34,RyanMallett,9.002,5000.0,QB,555.432126194
35,JimmyClausen,8.087,,,
36,KellenClemens,7.185,5000.0,QB,695.894224078
37,LukeMcCown,6.9855,5000.0,QB,715.768377353
38,DrewStanton,5.5565,5000.0,QB,899.847026006
39,MarcusMariota,,5400.0,QB,
40,LandryJones,,5100.0,QB,
41,JameisWinston,,5100.0,QB,
42,MikeVick,,5000.0,QB,
43,MattCassel,,5000.0,QB,
44,CharlieWhitehurst,,5000.0,QB,
45,DerekAnderson,,5000.0,QB,
46,ShaunHill,,5000.0,QB,
47,MattMoore,,5000.0,QB,
48,MattSchaub,,5000.0,QB,
49,JoeWebb,,5000.0,QB,
50,MarkSanchez,,5000.0,QB,
51,ChaseDaniel,,5000.0,QB,
52,ColtMcCoy,,5000.0,QB,
53,ThaddeusLewis,,5000.0,QB,
54,CaseKeenum,,5000.0,QB,
55,KellenMoore,,5000.0,QB,
56,AustinDavis,,5000.0,QB,
57,RobertGriffinIII,,5000.0,QB,
58,SeanRenfree,,5000.0,QB,
59,MikeGlennon,,5000.0,QB,
60,RyanNassib,,5000.0,QB,
61,RyanGriffin,,5000.0,QB,
62,MattMcGloin,,5000.0,QB,
63,MattBarkley,,5000.0,QB,
64,ZachMettenberger,,5000.0,QB,
65,AaronMurray,,5000.0,QB,
66,BrycePetty,,5000.0,QB,
67,GenoSmith,,5000.0,QB,
68,GarrettGrayson,,5000.0,QB,
69,JimmyGaroppolo,,5000.0,QB,
70,SeanMannion,,5000.0,QB,
71,JohnnyManziel,,5000.0,QB,
72,TaylorHeinicke,,5000.0,QB,
