,Name,Projection,Salary,Position,DPP
0,AntonioBrown,15.6965,9200,WR,586.117924378
1,JulioJones,15.3605,8800,WR,572.898017643
2,JulianEdelman,14.758,7600,WR,514.974928852
3,CalvinJohnson,14.555,8100,WR,556.50979045
4,AJGreen,14.037,8100,WR,577.046377431
5,KeenanAllen,12.9565,8200,WR,632.886967931
6,RandallCobb,12.719,8200,WR,644.704772388
7,DarriusHeywardBey,12.5805,4500,WR,357.696434959
8,GoldenTate,12.3565,6700,WR,542.224740015
9,DeAndreHopkins,11.982,8100,WR,676.014021032
10,RoddyWhite,11.8015,7400,WR,627.038935729
11,SteveSmith,11.7295,6700,WR,571.209343962
12,AlshonJeffery,11.505,8100,WR,704.041720991
13,DeSeanJackson,11.322,6900,WR,609.432962374
14,AnquanBoldin,11.2605,6400,WR,568.358421029
15,VincentJackson,11.168,7200,WR,644.699140401
16,PercyHarvin,11.069,5700,WR,514.951666817
17,MarquesColston,10.9025,5300,WR,486.127035084
18,TorreySmith,10.543,5900,WR,559.613013374
19,MarvinJones,10.1895,4500,WR,441.631090829
20,KendallWright,9.9005,6100,WR,616.13049846
21,CecilShorts,9.896,5200,WR,525.464834276
22,MikeWallace,9.8955,6200,WR,626.547420545
23,LarryFitzgerald,9.871,5900,WR,597.710464998
24,PierreGarcon,9.8345,5400,WR,549.087396411
25,EddieRoyal,9.4225,4800,WR,509.418944017
26,RuebenRandle,9.28,5400,WR,581.896551724
27,AndreHolmes,9.043,5000,WR,552.913856021
28,NateWashington,8.927,4900,WR,548.896605803
29,HarryDouglas,8.888,4800,WR,540.054005401
30,DougBaldwin,8.835,6000,WR,679.117147708
31,GregJennings,8.7245,4700,WR,538.712820219
32,MichaelFloyd,8.6405,5600,WR,648.110641745
33,RobertWoods,8.4005,5100,WR,607.106719838
34,KennyBritt,8.2565,5200,WR,629.80681887
35,MichaelCrabtree,8.23,5500,WR,668.286755772
36,JariusWright,8.2005,5100,WR,621.91329797
37,JamesJones,7.913,5400,WR,682.421331985
38,TerranceWilliams,7.829,6300,WR,804.700472602
39,AndrewHawkins,7.7735,4500,WR,578.889817971
40,CordarrellePatterson,7.754,4700,WR,606.138767088
41,KennyStills,7.6955,5200,WR,675.719576376
42,LouisMurphy,7.566,4800,WR,634.417129262
43,MohamedSanu,7.5595,5000,WR,661.419406045
44,KevinOgletree,7.527,4500,WR,597.847748107
45,ReggieWayne,7.4185,5400,WR,727.909954843
46,SteveJohnson,7.343,5700,WR,776.24948931
47,DannyAmendola,7.305,4600,WR,629.70568104
48,JermaineKearse,7.238,5400,WR,746.06244819
49,HakeemNicks,7.2205,4800,WR,664.773907624
50,TavonAustin,7.216,4900,WR,679.046563193
51,DwayneBowe,6.836,5200,WR,760.678759508
52,BrianHartline,6.574,4500,WR,684.514755096
53,TedGinnJr,6.5425,4700,WR,718.379824226
54,RishardMatthews,6.468,4900,WR,757.575757576
55,JerrichoCotchery,6.2795,5000,WR,796.241738992
56,ColeBeasley,6.2755,5700,WR,908.294159828
57,MalcomFloyd,6.2315,5100,WR,818.422530691
58,JustinHunter,6.121,4500,WR,735.173991178
59,MilesAustin,6.024,4800,WR,796.812749004
60,DevinHester,5.9735,4600,WR,770.067799448
61,RileyCooper,5.688,4700,WR,826.300984529
62,JacobyJones,5.6475,4500,WR,796.812749004
63,PrestonParker,5.468,4500,WR,822.970007315
64,MarlonBrown,5.4505,4500,WR,825.612329144
65,AndreRoberts,5.3685,4500,WR,838.222967309
66,TravisBenjamin,5.294,5000,WR,944.465432565
67,LeonardHankerson,4.6225,4500,WR,973.499188751
68,BrandonTate,4.5635,4500,WR,986.085241591
69,KrisDurham,4.5125,4500,WR,997.229916898
70,ChrisGivens,4.4785,4500,WR,1004.80071452
71,LanceMoore,4.3485,4500,WR,1034.83959986
72,EricWeems,4.179,4500,WR,1076.8126346
73,KeshawnMartin,2.9895,4500,WR,1505.26843954
