,Name,Projection,Salary,Position,DPP
0,PeytonManning,18.3055,8200,QB,447.952801071
1,MattRyan,18.011,8300,QB,460.829493088
2,CamNewton,17.6655,7900,QB,447.199343353
3,AaronRodgers,17.5625,9100,QB,518.149466192
4,RussellWilson,17.1765,8400,QB,489.040258493
5,DrewBrees,16.98,8400,QB,494.699646643
6,BenRoethlisberger,16.6135,8500,QB,511.632106419
7,SamBradford,16.57,7200,QB,434.52021726
8,AndrewLuck,16.4345,9000,QB,547.628464511
9,NickFoles,16.37,6500,QB,397.067806964
10,PhilipRivers,16.312,7700,QB,472.045120157
11,RyanTannehill,16.1975,8000,QB,493.903380151
12,AndyDalton,15.99,7100,QB,444.027517198
13,ColinKaepernick,15.8345,7900,QB,498.910606587
14,AlexSmith,15.5835,6500,QB,417.107838419
15,TomBrady,14.9455,8700,QB,582.115017898
16,RyanFitzpatrick,14.8405,6800,QB,458.205586065
17,JoeFlacco,14.793,8100,QB,547.556276617
18,CarsonPalmer,14.297,8100,QB,566.552423585
19,MatthewStafford,14.267,7400,QB,518.679470106
20,JayCutler,13.908,7200,QB,517.687661777
21,MarkSanchez,13.4085,6100,QB,454.935302234
22,ShaunHill,12.949,5100,QB,393.852807167
23,DrewStanton,11.739,5200,QB,442.967884828
24,DerekAnderson,10.1105,5200,QB,514.316799367
25,BrianHoyer,10.0525,6300,QB,626.709773688
26,ChaseDaniel,9.573,5400,QB,564.086493262
27,MattHasselbeck,8.743,4800,QB,549.010637081
28,BrandonWeeden,7.5745,6500,QB,858.142451647
29,JoshMcCown,6.7945,6000,QB,883.067186695
30,MichaelVick,5.943,6000,QB,1009.5911156
31,MattFlynn,5.7555,5700,QB,990.357049778
32,TarvarisJackson,0.68,5200,QB,7647.05882353
