,Name,Projection,Salary,Position,DPP
0,ArianFoster,15.3265,8000,RB,521.971748279
1,MattForte,15.2295,8300,RB,544.994911192
2,CJAnderson,14.366,6900,RB,480.30071001
3,MarkIngram,14.235,8100,RB,569.020021075
4,DeMarcoMurray,13.8655,7600,RB,548.123039198
5,AdrianPeterson,13.2715,9000,RB,678.14489696
6,LeSeanMcCoy,13.204,7300,RB,552.862768858
7,AndreEllington,13.089,7000,RB,534.80021392
8,JamaalCharles,12.6395,8700,RB,688.318367024
9,LataviusMurray,12.5565,7500,RB,597.300203082
10,GiovaniBernard,12.147,6700,RB,551.576520952
11,JeremyHill,12.014,6700,RB,557.682703513
12,EddieLacy,11.322,7800,RB,688.924218336
13,JonathanStewart,11.241,6300,RB,560.448358687
14,DannyWoodhead,11.0825,6100,RB,550.417324611
15,FrankGore,10.4825,7300,RB,696.398759838
16,AlfredMorris,10.2645,6200,RB,604.023576404
17,RashadJennings,10.0705,6000,RB,595.79961273
18,CarlosHyde,9.6355,7400,RB,767.993357895
19,TreMason,9.4025,6000,RB,638.128157405
20,DarrenSproles,9.293,6000,RB,645.64726138
21,ShaneVereen,8.8625,5800,RB,654.442877292
22,DougMartin,8.852,6400,RB,723.000451875
23,RonnieHillman,8.835,6300,RB,713.073005093
24,BennyCunningham,8.559,5400,RB,630.914826498
25,ChrisJohnson,8.4625,6700,RB,791.728212703
26,DevontaFreeman,8.2505,7200,RB,872.674383371
27,RoyHelu,8.1235,5400,RB,664.738105496
28,JosephRandle,8.12,7400,RB,911.330049261
29,JamesStarks,8.016,6400,RB,798.403193613
30,IsaiahCrowell,8.0105,6400,RB,798.951376319
31,ChrisPolk,7.7575,5100,RB,657.428295198
32,MattAsiata,7.413,4700,RB,634.021313908
33,KhiryRobinson,7.278,4800,RB,659.521846661
34,DonaldBrown,6.952,4500,RB,647.295742232
35,AlfredBlue,6.844,6400,RB,935.12565751
36,RyanMathews,6.8075,5900,RB,866.691149467
37,DarrenMcFadden,6.547,6000,RB,916.450282572
38,ReggieBush,6.4625,5300,RB,820.116054159
39,RobertTurbin,6.3415,4700,RB,741.149570291
40,AnthonyDixon,6.005,4500,RB,749.3755204
41,AndreWilliams,5.9795,5400,RB,903.085542269
42,LanceDunbar,5.9045,5600,RB,948.429164197
43,JerickMcKinnon,5.904,5000,RB,846.883468835
44,MikeTolbert,5.2205,4800,RB,919.452159755
45,BrandenOliver,5.176,4700,RB,908.037094281
46,KnileDavis,5.098,5400,RB,1059.23891722
47,MarcelReece,5.097,4800,RB,941.730429665
48,CJSpiller,5.0515,5500,RB,1088.78550925
49,StepfanTaylor,4.813,4500,RB,934.967795554
50,TobyGerhart,4.3745,4900,RB,1120.12801463
51,IsaiahPead,4.134,4900,RB,1185.29269473
52,BobbyRainey,3.972,4600,RB,1158.10674723
53,JonathanGrimes,3.952,4500,RB,1138.66396761
54,BruceMiller,3.477,4500,RB,1294.21915444
55,ShaunDraughn,3.1185,4500,RB,1443.001443
56,JohnConner,2.7995,4500,RB,1607.4298982
57,JacquizzRodgers,2.776,4500,RB,1621.03746398
58,ChristineMichael,2.6355,4500,RB,1707.45589072
59,BernardPierce,2.1465,4500,RB,2096.4360587
60,JohnKuhn,1.9855,4500,RB,2266.43162931
61,DarrelYoung,1.821,4500,RB,2471.16968699
62,JorvorskieLane,1.369,4500,RB,3287.07085464
