,Name,Projection,Salary,Position,DPP
0,RobGronkowski,14.3355,8400.0,TE,585.957936591
1,GregOlsen,10.5895,,,
2,JimmyGraham,10.5305,6600.0,TE,626.750866531
3,MartellusBennett,10.2035,5900.0,TE,578.232959279
4,TravisKelce,9.555,6500.0,TE,680.272108844
5,CobyFleener,9.2465,,,
6,ZachErtz,9.1185,5000.0,TE,548.335800844
7,KyleRudolph,8.8995,,,
8,JaredCook,8.733,5200.0,TE,595.442574144
9,TylerEifert,8.6885,5600.0,TE,644.530126029
10,HeathMiller,8.174,5500.0,TE,672.865182285
11,JordanReed,8.049,5700.0,TE,708.162504659
12,DelanieWalker,7.971,5400.0,TE,677.455777192
13,JasonWitten,7.9255,5700.0,TE,719.19752697
14,DwayneAllen,7.899,,,
15,JermaineGresham,7.849,4800.0,TE,611.542871703
16,CharlesClay,7.827,5700.0,TE,728.248371023
17,JordanCameron,7.6165,,,
18,GarrettGraham,7.3845,,,
19,LadariusGreen,7.093,5100.0,TE,719.018750881
20,LukeWillson,7.05,4500.0,TE,638.29787234
21,MychalRivera,6.9335,4900.0,TE,706.713780919
22,AustinSeferianJenkins,6.281,5200.0,TE,827.893647508
23,JacobTamme,6.264,4700.0,TE,750.319284802
24,AnthonyFasano,6.1495,5000.0,TE,813.074233678
25,EricEbron,6.1455,5100.0,TE,829.875518672
26,ScottChandler,6.02,4900.0,TE,813.953488372
27,LarryDonnell,5.7865,5200.0,TE,898.643394107
28,ZachMiller,5.5755,,,
29,RichardRodgers,5.5205,5100.0,TE,923.829363282
30,OwenDaniels,5.479,4900.0,TE,894.323781712
31,BrentCelek,5.2325,4700.0,TE,898.23220258
32,VernonDavis,4.9985,4900.0,TE,980.294088226
33,RyanGriffin,4.8905,,,
34,LanceKendricks,4.6935,4600.0,TE,980.078832428
35,GaryBarnidge,4.5505,5400.0,TE,1186.68278211
36,CraigStevens,4.4465,4500.0,TE,1012.03193523
37,LevineToilolo,4.3055,4500.0,TE,1045.17477645
38,GavinEscobar,4.1925,4500.0,TE,1073.34525939
39,DanielFells,4.1565,4500.0,TE,1082.64164562
40,EdDickson,3.929,,,
41,LeeSmith,3.8915,,,
42,JimDray,3.7665,4500.0,TE,1194.74313023
43,VirgilGreen,3.531,4600.0,TE,1302.74709714
44,BenWatson,3.2895,,,
45,MatthewMulligan,3.2335,,,
46,RhettEllison,2.864,,,
47,VanceMcDonald,2.249,4600.0,TE,2045.35349044
48,AntonioGates,,5500.0,TE,
49,JuliusThomas,,5200.0,TE,
50,CrockettGillmore,,5100.0,TE,
51,MaxxWilliams,,4800.0,TE,
52,JoshHill,,4800.0,TE,
53,AndrewQuarless,,4800.0,TE,
54,MarcedesLewis,,4700.0,TE,
55,ClayHarbor,,4700.0,TE,
56,DarrenFells,,4600.0,TE,
57,JosephFauria,,4600.0,TE,
58,BenjaminWatson,,4600.0,TE,
59,MichaelHoomanawanui,,4600.0,TE,
60,DavidJohnson,,4500.0,TE,
61,RoryAnderson,,4500.0,TE,
62,JoeDonDuncan,,4500.0,TE,
63,JusticeCunningham,,4500.0,TE,
64,CoryHarkey,,4500.0,TE,
65,MattSpaeth,,4500.0,TE,
66,MarQueisGray,,4500.0,TE,
67,DerekCarrier,,4500.0,TE,
68,CooperHelfet,,4500.0,TE,
69,RobHousler,,4500.0,TE,
70,LukeStocker,,4500.0,TE,
71,CameronBrate,,4500.0,TE,
72,BrandonPettigrew,,4500.0,TE,
73,BlakeBell,,4500.0,TE,
74,JeffHeuerman,,4500.0,TE,
75,AlexBayer,,4500.0,TE,
76,LoganPaulsen,,4500.0,TE,
77,DeonButler,,4500.0,TE,
78,TreyBurton,,4500.0,TE,
79,GarrettCelek,,4500.0,TE,
80,BlakeAnnen,,4500.0,TE,
81,EricFrohnapfel,,4500.0,TE,
82,CliveWalford,,4500.0,TE,
83,JamesOShaughnessy,,4500.0,TE,
84,NickBoyle,,4500.0,TE,
85,CJUzomah,,4500.0,TE,
86,JamesCasey,,4500.0,TE,
87,ChrisGragg,,4500.0,TE,
88,KyleMiller,,4500.0,TE,
89,BrianParker,,4500.0,TE,
90,BrianLeonhardt,,4500.0,TE,
91,ErnstBrunJr,,4500.0,TE,
92,BrandonBostick,,4500.0,TE,
93,TylerKroft,,4500.0,TE,
94,JohnPhillips,,4500.0,TE,
95,TimWright,,4500.0,TE,
96,DavidPaulson,,4500.0,TE,
97,TaylorSloat,,4500.0,TE,
98,AnthonyEzeakunne,,4500.0,TE,
99,DanLight,,4500.0,TE,
100,BrandonMyers,,4500.0,TE,
101,JamesHanna,,4500.0,TE,
102,ChaseCoffman,,4500.0,TE,
103,EvanRodriguez,,4500.0,TE,
104,RichardGordon,,4500.0,TE,
105,TroyNiklas,,4500.0,TE,
106,JesseJames,,4500.0,TE,
107,AdrienRobinson,,4500.0,TE,
