,Name,2015 Projection,Value Above Baseline,Group,Bye,MFL,FFC,RTS,Fantrax
0,AntonioBrown,19.5701778629,10.3946657449,0,11.0,5.0,4.0,4.0,4.0
1,DemaryiusThomas,18.1633684051,8.98785628704,0,7.0,11.0,9.0,12.0,9.0
2,DezBryant,17.3073983542,8.13188623618,0,6.0,8.0,7.0,9.0,6.0
3,AlshonJeffery,15.7621666378,6.58665451975,0,7.0,23.0,22.0,24.0,21.0
4,RandallCobb,15.7291868025,6.5536746844,0,7.0,22.0,15.0,20.0,19.0
5,JulioJones,15.4384479026,6.26293578454,0,10.0,10.0,6.0,7.0,10.0
6,EmmanuelSanders,15.1993283704,6.02381625235,0,7.0,36.0,31.0,31.0,28.0
7,CalvinJohnson,14.987152974,5.81164085598,0,9.0,15.0,12.0,15.0,15.0
8,AJGreen,14.4455728511,5.27006073306,0,7.0,19.0,17.0,18.0,17.0
9,TYHilton,14.2259564477,5.05044432959,0,10.0,27.0,24.0,23.0,23.0
10,JulianEdelman,13.7920983526,4.61658623456,0,4.0,46.0,40.0,47.0,49.0
11,GoldenTate,13.4818607131,4.30634859507,0,9.0,53.0,45.0,43.0,48.0
12,BrandonMarshall,13.0343980102,3.8588858921,0,5.0,57.0,50.0,62.0,58.0
13,DeSeanJackson,12.8388738075,3.66336168948,0,8.0,63.0,75.0,61.0,54.0
14,AnquanBoldin,12.6492039952,3.47369187717,0,10.0,98.0,98.0,116.0,102.0
15,EricDecker,12.5841492815,3.40863716346,0,5.0,86.0,118.0,97.0,86.0
16,MikeWallace,12.4540093289,3.27849721084,0,5.0,74.0,91.0,79.0,71.0
17,AndreJohnson,12.4319145921,3.25640247406,0,10.0,50.0,35.0,45.0,47.0
18,RoddyWhite,12.1551213517,2.97960923362,0,10.0,75.0,92.0,84.0,84.0
19,DeAndreHopkins,11.7186006918,2.5430885737,0,9.0,30.0,30.0,37.0,27.0
20,SteveSmith,11.7037071241,2.52819500605,0,9.0,100.0,87.0,113.0,115.0
21,BrandonLaFell,11.6400823067,2.46457018867,0,4.0,87.0,106.0,80.0,107.0
22,TorreySmith,11.5595091172,2.38399699911,0,10.0,89.0,130.0,105.0,94.0
23,KeenanAllen,11.4475020966,2.27198997857,0,10.0,49.0,47.0,52.0,45.0
24,KendallWright,11.1395448043,1.96403268625,0,4.0,105.0,109.0,108.0,125.0
25,VincentJackson,11.0510487788,1.8755366607,0,6.0,72.0,72.0,75.0,69.0
26,JoshGordon,11.000899255,1.82538713691,0,11.0,228.0,,,342.0
27,PierreGarcon,10.9452187983,1.76970668026,0,8.0,110.0,111.0,120.0,105.0
28,MarquesColston,10.8301861135,1.65467399549,0,11.0,113.0,107.0,119.0,108.0
29,LarryFitzgerald,10.550147256,1.37463513789,0,9.0,85.0,84.0,86.0,119.0
30,EddieRoyal,10.5294047948,1.35389267675,0,7.0,152.0,85.0,114.0,162.0
31,MichaelFloyd,10.1122489764,0.936736858305,0,9.0,93.0,139.0,83.0,95.0
32,JamesJones,10.0568559664,0.881343848342,0,11.0,,,310.0,297.0
33,GregJennings,9.90684254716,0.7313304291,0,5.0,,,291.0,258.0
34,RuebenRandle,9.74294134,0.567429221934,2,11.0,130.0,171.0,193.0,181.0
35,KennyStills,9.4537131324,0.278201014333,2,5.0,120.0,145.0,134.0,139.0
36,DougBaldwin,9.4295329587,0.254020840634,2,9.0,164.0,168.0,180.0,145.0
37,MohamedSanu,9.34284720914,0.167335091078,2,7.0,234.0,,228.0,144.0
38,ReggieWayne,9.25269379301,0.0771816749454,2,4.0,204.0,161.0,194.0,
39,HarryDouglas,9.19290165697,0.017389538911,2,4.0,244.0,,284.0,328.0
40,RobertWoods,9.17551211806,0.0,2,8.0,,,255.0,253.0
41,TerranceWilliams,9.10360941643,-0.07190270163,2,6.0,127.0,126.0,107.0,130.0
42,MalcomFloyd,9.02188972787,-0.153622390195,2,10.0,197.0,,219.0,259.0
43,VictorCruz,8.82594306391,-0.349569054155,2,11.0,106.0,70.0,92.0,74.0
44,MichaelCrabtree,8.77774913963,-0.397762978434,2,6.0,155.0,138.0,147.0,137.0
45,WesWelker,8.64972136464,-0.525790753419,2,,,,297.0,
46,CecilShorts,8.54907004544,-0.626442072623,2,9.0,240.0,181.0,187.0,286.0
47,RileyCooper,8.53022406864,-0.645288049425,2,8.0,,,294.0,158.0
48,DwayneBowe,8.36670335632,-0.80880876174,2,11.0,161.0,,220.0,201.0
49,AndrewHawkins,8.19428827323,-0.981223844829,2,11.0,,,237.0,329.0
50,AndreHolmes,8.05921452095,-1.11629759712,2,6.0,,,,288.0
51,PercyHarvin,7.80751761977,-1.3679944983,2,8.0,148.0,175.0,158.0,147.0
52,JerrichoCotchery,7.6871328802,-1.48837923786,2,5.0,,,198.0,388.0
53,NateWashington,7.59105389126,-1.58445822681,2,9.0,,,241.0,393.0
54,BrianQuick,7.52998213377,-1.64552998429,1,6.0,125.0,121.0,163.0,227.0
55,SteveJohnson,7.52912025829,-1.64639185978,2,10.0,142.0,114.0,150.0,173.0
56,RodStreater,7.42853971331,-1.74697240476,2,6.0,,,,387.0
57,BrianHartline,7.41149964332,-1.76401247474,2,11.0,,,244.0,383.0
58,HakeemNicks,7.21804477383,-1.95746734423,2,4.0,,,221.0,334.0
59,JariusWright,7.14334164584,-2.03217047222,2,5.0,,,,332.0
60,KennyBritt,7.02472063297,-2.15079148509,2,6.0,190.0,,197.0,165.0
61,JustinHunter,6.90841548283,-2.26709663523,2,4.0,238.0,,288.0,276.0
62,MarkusWheaton,6.75584354356,-2.4196685745,1,11.0,175.0,112.0,121.0,153.0
63,JeremyKerley,6.64614080781,-2.52937131025,2,5.0,,,,385.0
64,ColeBeasley,6.5350032421,-2.64050887597,2,6.0,206.0,,266.0,262.0
65,JermaineKearse,6.210805907,-2.96470621106,2,9.0,,,289.0,382.0
66,AndreRoberts,6.14908880908,-3.02642330898,2,8.0,,,,384.0
67,LouisMurphy,5.93319296165,-3.24231915641,1,6.0,,,,386.0
68,TavonAustin,5.88794039917,-3.2875717189,3,6.0,,,217.0,223.0
69,NickToon,5.72408644446,-3.4514256736,1,11.0,224.0,,242.0,275.0
70,DannyAmendola,5.46958899327,-3.70592312479,2,4.0,,,296.0,294.0
71,MarlonBrown,5.46116197424,-3.71435014382,2,9.0,,,328.0,306.0
72,JasonAvant,5.44844540093,-3.72706671713,2,9.0,,,,410.0
73,DevinHester,5.44641089119,-3.72910122687,1,10.0,,,,389.0
74,AaronDobson,5.17047363889,-4.00503847918,1,4.0,,,,335.0
75,GriffWhalen,5.11422481183,-4.06128730623,1,10.0,,,,192.0
76,MarquessWilson,4.94519478899,-4.23031732908,1,7.0,237.0,,238.0,413.0
77,LeonardHankerson,4.82340989313,-4.35210222493,1,10.0,,,282.0,221.0
78,StedmanBailey,4.79839685484,-4.37711526322,1,6.0,,,188.0,218.0
79,QuintonPatton,4.77875623427,-4.39675588379,1,10.0,,,,310.0
80,JarrettBoykin,4.77592347124,-4.39958864683,1,5.0,,,177.0,414.0
81,JeffMaehl,4.26083373304,-4.91467838502,1,8.0,,,,186.0
82,CordarrellePatterson,2.93739534011,-6.23811677796,3,5.0,194.0,,223.0,215.0
