"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9300,"Hou@Atl 01:00PM ET",37.000,"Atl"
"WR","Odell Beckham Jr.",9100,"NYG@Buf 01:00PM ET",20.300,"NYG"
"WR","Dez Bryant",8200,"Dal@NO 08:30PM ET",9.800,"Dal"
"WR","Demaryius Thomas",8100,"Min@Den 04:25PM ET",19.600,"Den"
"QB","Aaron Rodgers",7900,"GB@SF 04:25PM ET",27.747,"GB"
"RB","Adrian Peterson",7800,"Min@Den 04:25PM ET",19.667,"Min"
"QB","Andrew Luck",7800,"Jax@Ind 01:00PM ET",16.873,"Ind"
"WR","Emmanuel Sanders",7700,"Min@Den 04:25PM ET",19.300,"Den"
"RB","Jamaal Charles",7600,"KC@Cin 01:00PM ET",25.400,"KC"
"WR","A.J. Green",7600,"KC@Cin 01:00PM ET",24.167,"Cin"
"QB","Drew Brees",7400,"Dal@NO 08:30PM ET",16.800,"NO"
"WR","Randall Cobb",7400,"GB@SF 04:25PM ET",24.233,"GB"
"WR","DeAndre Hopkins",7300,"Hou@Atl 01:00PM ET",23.400,"Hou"
"QB","Peyton Manning",7200,"Min@Den 04:25PM ET",16.667,"Den"
"RB","Matt Forte",7100,"Oak@Chi 01:00PM ET",17.500,"Chi"
"QB","Eli Manning",7000,"NYG@Buf 01:00PM ET",16.220,"NYG"
"RB","Arian Foster",7000,"Hou@Atl 01:00PM ET",0,"Hou"
"QB","Cam Newton",7000,"Car@TB 01:00PM ET",24.933,"Car"
"WR","Keenan Allen",7000,"Cle@SD 04:05PM ET",25.833,"SD"
"QB","Matt Ryan",6900,"Hou@Atl 01:00PM ET",21.047,"Atl"
"RB","Eddie Lacy",6900,"GB@SF 04:25PM ET",10.167,"GB"
"QB","Carson Palmer",6800,"StL@Ari 04:25PM ET",24.473,"Ari"
"WR","T.Y. Hilton",6700,"Jax@Ind 01:00PM ET",12.567,"Ind"
"WR","Alshon Jeffery",6600,"Oak@Chi 01:00PM ET",12.800,"Chi"
"WR","Jordan Matthews",6600,"Phi@Was 01:00PM ET",18.033,"Phi"
"WR","Larry Fitzgerald",6500,"StL@Ari 04:25PM ET",30.767,"Ari"
"RB","DeMarco Murray",6500,"Phi@Was 01:00PM ET",14.250,"Phi"
"RB","Jeremy Hill",6500,"KC@Cin 01:00PM ET",7.833,"Cin"
"WR","Mike Evans",6400,"Car@TB 01:00PM ET",10.050,"TB"
"RB","Latavius Murray",6300,"Oak@Chi 01:00PM ET",19.200,"Oak"
"WR","Amari Cooper",6300,"Oak@Chi 01:00PM ET",20.000,"Oak"
"QB","Philip Rivers",6100,"Cle@SD 04:05PM ET",17.633,"SD"
"WR","Brandin Cooks",6100,"Dal@NO 08:30PM ET",11.667,"NO"
