"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"11612","WR","Antonio","Brown","27.9","2","9300","PIT@STL","PIT","STL","","","",""
"6894","QB","Aaron","Rodgers","21.7","2","9100","KC@GB","GB","KC","","","",""
"21939","QB","Andrew","Luck","14.6","2","9000","IND@TEN","IND","TEN","","","",""
"14190","WR","Julio","Jones","25.3","2","9000","ATL@DAL","ATL","DAL","P","Hamstring","",""
"6703","RB","Adrian","Peterson","12.5","2","8900","SD@MIN","MIN","SD","","","",""
"28181","RB","Le'Veon","Bell","20.6","16","8800","PIT@STL","PIT","STL","","","",""
"6498","QB","Tom","Brady","27.9","2","8700","JAC@NE","NE","JAC","","","",""
"9371","RB","Marshawn","Lynch","11.3","2","8700","CHI@SEA","SEA","CHI","Q","Calf","",""
"6728","RB","Jamaal","Charles","17.8","2","8700","KC@GB","KC","GB","","","",""
"6589","QB","Ben","Roethlisberger","21.8","2","8500","PIT@STL","PIT","STL","","","",""
"22015","QB","Russell","Wilson","19.6","2","8400","CHI@SEA","SEA","CHI","","","",""
"6504","QB","Drew","Brees","15.3","2","8400","NO@CAR","NO","CAR","NA","Shoulder","",""
"11432","WR","Demaryius","Thomas","12.6","2","8400","DEN@DET","DEN","DET","","","",""
"11460","TE","Rob","Gronkowski","25.4","2","8400","JAC@NE","NE","JAC","","","",""
"6899","RB","Matt","Forte","18.8","2","8400","CHI@SEA","CHI","SEA","P","Knee","",""
"6616","QB","Matt","Ryan","18.5","2","8300","ATL@DAL","ATL","DAL","","","",""
"6655","WR","Calvin","Johnson","12.1","2","8200","DEN@DET","DET","DEN","","","",""
"14257","WR","Randall","Cobb","14","2","8200","KC@GB","GB","KC","P","Shoulder","",""
"10777","RB","Arian","Foster","19.6","13","8200","TB@HOU","HOU","TB","O","Groin","",""
"6661","QB","Peyton","Manning","13.6","2","8200","DEN@DET","DEN","DET","P","Not injury related","",""
"11505","WR","Emmanuel","Sanders","17.6","2","8100","DEN@DET","DEN","DET","","","",""
"6714","QB","Joe","Flacco","12.6","2","8100","CIN@BAL","BAL","CIN","","","",""
"6748","QB","Carson","Palmer","23.9","2","8100","SF@ARI","ARI","SF","","","",""
"21948","QB","Ryan","Tannehill","17.9","2","8000","BUF@MIA","MIA","BUF","P","Ankle","",""
"14187","WR","A.J.","Green","10.4","2","8000","CIN@BAL","CIN","BAL","P","Knee","",""
"14185","QB","Cam","Newton","20.9","2","7900","NO@CAR","CAR","NO","","","",""
"14231","QB","Colin","Kaepernick","17.6","2","7900","SF@ARI","SF","ARI","","","",""
"14211","RB","Mark","Ingram","13.8","2","7900","NO@CAR","NO","CAR","","","",""
"16606","WR","DeAndre","Hopkins","18.1","2","7800","TB@HOU","HOU","TB","P","Concussion","",""
"14254","RB","DeMarco","Murray","12","2","7800","PHI@NYJ","PHI","NYJ","NA","Hamstring","",""
"28473","RB","Carlos","Hyde","19.7","2","7800","SF@ARI","SF","ARI","P","Leg","",""
"7968","QB","Philip","Rivers","18.5","2","7700","SD@MIN","SD","MIN","","","",""
"7859","WR","Julian","Edelman","22.3","2","7700","JAC@NE","NE","JAC","","","",""
"30968","RB","Eddie","Lacy","8.9","2","7700","KC@GB","GB","KC","Q","Ankle","",""
"29253","WR","Keenan","Allen","12.4","2","7600","SD@MIN","SD","MIN","","","",""
"31394","WR","Jarvis","Landry","16.2","2","7600","BUF@MIA","MIA","BUF","","","",""
"31397","RB","Jeremy","Hill","9.5","2","7600","CIN@BAL","CIN","BAL","","","",""
"22031","WR","T.Y.","Hilton","9.4","2","7600","IND@TEN","IND","TEN","","","",""
"21980","WR","Alshon","Jeffery","10.3","1","7500","CHI@SEA","CHI","SEA","O","Hamstring","",""
"6779","RB","LeSean","McCoy","11.7","2","7500","BUF@MIA","BUF","MIA","P","Hamstring","",""
"6654","QB","Matthew","Stafford","18.1","2","7400","DEN@DET","DET","DEN","P","Ribs","",""
"32384","WR","Mike","Evans","0","1","7400","TB@HOU","TB","HOU","P","Hamstring","",""
"6759","WR","Brandon","Marshall","17.4","2","7400","PHI@NYJ","NYJ","PHI","","","",""
"29358","QB","Marcus","Mariota","20.6","2","7300","IND@TEN","TEN","IND","","","",""
"29249","RB","C.J.","Anderson","5.1","2","7300","DEN@DET","DEN","DET","P","Toe","",""
"25290","RB","Giovani","Bernard","13.6","2","7200","CIN@BAL","CIN","BAL","","","",""
"11414","QB","Sam","Bradford","12.6","2","7200","PHI@NYJ","PHI","NYJ","","","",""
