,Name,Salary,Position
4,AaronRodgers,7900,QB
6,AndrewLuck,7800,QB
10,DrewBrees,7400,QB
13,PeytonManning,7200,QB
15,EliManning,7000,QB
17,CamNewton,7000,QB
19,MattRyan,6900,QB
21,CarsonPalmer,6800,QB
31,PhilipRivers,6100,QB
33,SamBradford,6000,QB
35,AndyDalton,5900,QB
39,TyrodTaylor,5800,QB
40,TeddyBridgewater,5700,QB
41,AlexSmith,5600,QB
44,JayCutler,5500,QB
45,ColinKaepernick,5500,QB
49,KirkCousins,5400,QB
54,RobertGriffinIII,5300,QB
55,DerekCarr,5300,QB
57,JoshMcCown,5100,QB
58,BrandonWeeden,5100,QB
59,NickFoles,5100,QB
62,BlakeBortles,5100,QB
63,JameisWinston,5100,QB
64,MattHasselbeck,5000,QB
65,MattCassel,5000,QB
66,DerekAnderson,5000,QB
67,KellenClemens,5000,QB
68,ShaunHill,5000,QB
69,DrewStanton,5000,QB
70,LukeMcCown,5000,QB
71,BrianHoyer,5000,QB
72,ChadHenne,5000,QB
73,JoeWebb,5000,QB
74,MarkSanchez,5000,QB
75,ChaseDaniel,5000,QB
76,ColtMcCoy,5000,QB
77,ScottTolzien,5000,QB
78,ThaddeusLewis,5000,QB
79,CaseKeenum,5000,QB
80,JimmyClausen,5000,QB
81,RyanMallett,5000,QB
82,KellenMoore,5000,QB
83,AustinDavis,5000,QB
84,EJManuel,5000,QB
85,BlaineGabbert,5000,QB
86,SeanRenfree,5000,QB
87,MikeGlennon,5000,QB
88,RyanNassib,5000,QB
89,RyanGriffin,5000,QB
90,MattMcGloin,5000,QB
91,MattBarkley,5000,QB
92,AaronMurray,5000,QB
93,BrockOsweiler,5000,QB
94,AJMcCarron,5000,QB
95,DavidFales,5000,QB
96,GarrettGrayson,5000,QB
98,TrevorSiemian,5000,QB
99,SeanMannion,5000,QB
100,BrettHundley,5000,QB
101,JohnnyManziel,5000,QB
102,TaylorHeinicke,5000,QB
