,Name,Salary,Position
3,LeVeonBell,8500,RB
8,JamaalCharles,7800,RB
17,MarshawnLynch,7100,RB
19,MattForte,7000,RB
25,EddieLacy,6700,RB
30,LataviusMurray,6300,RB
31,DevontaFreeman,6300,RB
34,DeMarcoMurray,6200,RB
36,MarkIngram,6100,RB
38,JeremyHill,6100,RB
41,JosephRandle,6000,RB
44,JustinForsett,5800,RB
49,KarlosWilliams,5700,RB
52,LeSeanMcCoy,5500,RB
61,AndreEllington,5300,RB
62,CJAnderson,5300,RB
114,RonnieHillman,4900,RB
115,CarlosHyde,4900,RB
116,MelvinGordon,4900,RB
117,DionLewis,4800,RB
118,GiovaniBernard,4800,RB
119,DougMartin,4700,RB
122,DannyWoodhead,4600,RB
124,DukeJohnsonJr,4600,RB
126,DeAngeloWilliams,4500,RB
128,RashadJennings,4500,RB
129,LeGarretteBlount,4500,RB
137,ChrisJohnson,4400,RB
139,TJYeldon,4400,RB
143,DavidJohnson,4300,RB
144,ToddGurley,4300,RB
145,DarrenSproles,4200,RB
149,ShaneVereen,4200,RB
150,BishopSankey,4200,RB
152,TevinColeman,4200,RB
154,AmeerAbdullah,4100,RB
155,IsaiahCrowell,4100,RB
159,AlfredMorris,4000,RB
161,MattJones,4000,RB
162,LanceDunbar,3900,RB
166,CJSpiller,3800,RB
169,ThomasRawls,3800,RB
172,TreMason,3700,RB
175,ReggieBush,3600,RB
177,CharlesSims,3600,RB
182,JamesStarks,3500,RB
183,RyanMathews,3500,RB
185,TreyWatts,3500,RB
186,JoiqueBell,3500,RB
187,AntonioAndrews,3500,RB
190,DarrenMcFadden,3400,RB
203,BennyCunningham,3300,RB
204,ChrisThompson,3300,RB
206,JamesWhite,3300,RB
207,TerranceWest,3300,RB
217,TerronWard,3200,RB
224,AndreWilliams,3100,RB
234,TylerClutts,3000,RB
238,JeromeFelton,3000,RB
240,CedricPeerman,3000,RB
242,JohnKuhn,3000,RB
246,DarrelYoung,3000,RB
249,JorvorskieLane,3000,RB
251,ShaunDraughn,3000,RB
252,MarcelReece,3000,RB
253,BruceMiller,3000,RB
258,FredJackson,3000,RB
259,BoobieDixon,3000,RB
260,TobyGerhart,3000,RB
261,ChaseReynolds,3000,RB
263,DexterMcCluster,3000,RB
265,TaiwanJones,3000,RB
267,AnthonySherman,3000,RB
268,WillTukuafu,3000,RB
269,RobertTurbin,3000,RB
270,WillJohnson,3000,RB
271,BobbyRainey,3000,RB
272,RoyHeluJr,3000,RB
273,PatrickDiMarco,3000,RB
274,AustinJohnson,3000,RB
276,JacquizzRodgers,3000,RB
277,JarrydHayne,3000,RB
278,KenjonBarner,3000,RB
280,DerrickColeman,3000,RB
286,JordanTodman,3000,RB
287,BrandonBolden,3000,RB
289,KnileDavis,3000,RB
291,RexBurkhead,3000,RB
292,NikitaWhitlock,3000,RB
293,KyleJuszczyk,3000,RB
294,StepfanTaylor,3000,RB
296,BrandenOliver,3000,RB
299,TheoRiddick,3000,RB
300,CierreWood,3000,RB
302,ChristineMichael,3000,RB
303,DenardRobinson,3000,RB
311,BernardPierce,3000,RB
313,JalstonFowler,3000,RB
315,OrleansDarkwa,3000,RB
316,RooseveltNix,3000,RB
318,MarcusMurphy,3000,RB
319,MalcolmJohnson,3000,RB
321,JuwanThompson,3000,RB
322,MichaelBurton,3000,RB
324,CoreyGrant,3000,RB
326,JeremyLangford,3000,RB
332,JamizeOlawale,3000,RB
334,ZachZenner,3000,RB
338,KaDeemCarey,3000,RB
340,JavoriusAllen,3000,RB
343,AlonzoHarris,3000,RB
345,AaronRipkowski,3000,RB
350,MikeDavis,3000,RB
351,LorenzoTaliaferro,3000,RB
353,KhiryRobinson,3000,RB
356,CharcandrickWest,3000,RB
