,Name,Salary,Position
6,RobGronkowski,8100,TE
34,GregOlsen,6100,TE
72,AntonioGates,5000,TE
105,GaryBarnidge,4900,TE
107,TravisKelce,4900,TE
108,JasonWitten,4800,TE
128,JordanReed,4200,TE
137,DelanieWalker,3900,TE
159,BenjaminWatson,3300,TE
164,JordanCameron,3300,TE
165,LarryDonnell,3300,TE
177,ZachErtz,3200,TE
179,AustinSeferianJenkins,3200,TE
186,KyleRudolph,3100,TE
224,CobyFleener,3000,TE
309,EricEbron,3000,TE
327,JacobTamme,2900,TE
328,LadariusGreen,2900,TE
330,JaredCook,2800,TE
334,HeathMiller,2700,TE
335,DwayneAllen,2700,TE
341,MaxxWilliams,2600,TE
344,MikeLeach,2500,TE
345,CraigStevens,2500,TE
346,ScottChandler,2500,TE
347,MattSpaeth,2500,TE
348,AnthonyFasano,2500,TE
349,BrentCelek,2500,TE
350,BrandonPettigrew,2500,TE
351,KellenDavis,2500,TE
352,BrandonMyers,2500,TE
353,DarrenFells,2500,TE
354,TonyMoeaki,2500,TE
355,DavidJohnson,2500,TE
356,EdDickson,2500,TE
357,ChaseCoffman,2500,TE
358,GarrettGraham,2500,TE
359,AndrewDePaola,2500,TE
360,RichieBrockel,2500,TE
361,AnthonyMcCoy,2500,TE
362,JimDray,2500,TE
363,JohnPhillips,2500,TE
364,RobHousler,2500,TE
365,LanceKendricks,2500,TE
366,JermaineGresham,2500,TE
367,JeffCumberland,2500,TE
368,MichaelHoomanawanui,2500,TE
369,LeeSmith,2500,TE
370,LukeStocker,2500,TE
371,RhettEllison,2500,TE
372,JamesHanna,2500,TE
373,JakeStoneburner,2500,TE
374,MychalRivera,2500,TE
375,CoryHarkey,2500,TE
376,BeauBrinkley,2500,TE
377,KevinMcDermott,2500,TE
378,TimWright,2500,TE
379,MichaelWilliams,2500,TE
380,JoshHill,2500,TE
381,JamesWinchester,2500,TE
382,JackDoyle,2500,TE
383,LevineToilolo,2500,TE
384,JusticeCunningham,2500,TE
385,GavinEscobar,2500,TE
386,DionSims,2500,TE
387,JeromeCunningham,2500,TE
388,CrockettGillmore,2500,TE
389,TreyBurton,2500,TE
390,JamesOShaughnessy,2500,TE
391,MyColePruitt,2500,TE
392,CameronBrate,2500,TE
393,WillTye,2500,TE
394,ChaseFord,2500,TE
395,CliveWalford,2500,TE
396,CJFiedorowicz,2500,TE
397,BrianParker,2500,TE
398,DemetriusHarris,2500,TE
399,NickBoyle,2500,TE
400,TroyNiklas,2500,TE
401,PhillipSupernaw,2500,TE
402,JesseJames,2500,TE
403,DerekCarrier,2500,TE
404,GeoffSwaim,2500,TE
405,EJBibbs,2500,TE
