,Name,Salary,Position
0,JulioJones,9300,WR
1,OdellBeckhamJr,9100,WR
2,DezBryant,8200,WR
3,DemaryiusThomas,8100,WR
7,EmmanuelSanders,7700,WR
9,AJGreen,7600,WR
11,RandallCobb,7400,WR
12,DeAndreHopkins,7300,WR
18,KeenanAllen,7000,WR
22,TYHilton,6700,WR
23,AlshonJeffery,6600,WR
24,JordanMatthews,6600,WR
25,LarryFitzgerald,6500,WR
28,MikeEvans,6400,WR
30,AmariCooper,6300,WR
32,BrandinCooks,6100,WR
37,DeSeanJackson,5800,WR
38,JeremyMaclin,5800,WR
43,SammyWatkins,5600,WR
47,AllenRobinson,5500,WR
51,JamesJones,5300,WR
52,PierreGarcon,5300,WR
60,JohnBrown,5100,WR
103,DonteMoncrief,5000,WR
104,VincentJackson,4900,WR
106,AnquanBoldin,4800,WR
110,DavanteAdams,4700,WR
111,VictorCruz,4600,WR
112,MichaelCrabtree,4600,WR
113,PercyHarvin,4600,WR
115,TorreySmith,4600,WR
117,MarquesColston,4500,WR
119,AndreJohnson,4500,WR
122,TerranceWilliams,4500,WR
123,TravisBenjamin,4500,WR
124,RuebenRandle,4500,WR
127,NelsonAgholor,4500,WR
130,StevieJohnson,4400,WR
131,MikeWallace,4400,WR
138,KennyBritt,4200,WR
142,RoddyWhite,4000,WR
146,AllenHurns,3900,WR
151,MarvinJones,3800,WR
152,EddieRoyal,3700,WR
153,MalcomFloyd,3700,WR
154,LeonardHankerson,3700,WR
155,TavonAustin,3700,WR
157,CharlesJohnson,3600,WR
160,NateWashington,3500,WR
162,CecilShortsIII,3500,WR
164,TedGinnJr,3400,WR
169,DwayneBowe,3300,WR
171,MichaelFloyd,3300,WR
173,ColeBeasley,3300,WR
174,PhillipDorsett,3300,WR
175,LouisMurphy,3200,WR
176,BrianHartline,3200,WR
177,BrianQuick,3200,WR
182,BrandonColeman,3200,WR
183,ChrisHogan,3200,WR
184,CoreyBrown,3200,WR
185,JamisonCrowder,3200,WR
187,JerrichoCotchery,3100,WR
191,MohamedSanu,3100,WR
193,RobertWoods,3100,WR
195,DevinFunchess,3100,WR
198,JasonAvant,3000,WR
200,DevinHester,3000,WR
201,MilesAustin,3000,WR
202,AndreCaldwell,3000,WR
204,EricWeems,3000,WR
206,MarcusThigpen,3000,WR
209,AndrewHawkins,3000,WR
211,SeyiAjirotutu,3000,WR
212,MarlonMoore,3000,WR
213,BrandonTate,3000,WR
218,JordanNorwood,3000,WR
221,DwayneHarris,3000,WR
223,MarcMariani,3000,WR
224,BryanWalters,3000,WR
225,AndreRoberts,3000,WR
226,JacobyJones,3000,WR
227,RileyCooper,3000,WR
231,JosephMorgan,3000,WR
233,MarcusEasley,3000,WR
236,DontrelleInman,3000,WR
237,GregLittle,3000,WR
248,BriceButler,3000,WR
250,GriffWhalen,3000,WR
251,BrentonBersin,3000,WR
252,FrankieHammondJr,3000,WR
253,JaronBrown,3000,WR
254,ChrisGivens,3000,WR
255,JariusWright,3000,WR
256,RussellShepard,3000,WR
259,RyanGrant,3000,WR
263,TonyWashington,3000,WR
265,MarquiseGoodwin,3000,WR
267,KevinNorwood,3000,WR
270,BennieFowler,3000,WR
271,NickWilliams,3000,WR
272,DevinStreet,3000,WR
274,StedmanBailey,3000,WR
277,RodStreater,3000,WR
279,JoshuaBellamy,3000,WR
281,JoshHuff,3000,WR
283,AlbertWilson,3000,WR
285,DeAndrewWhite,3000,WR
286,KeithMumphery,3000,WR
288,JustinHardy,3000,WR
289,JJNelson,3000,WR
290,AndreHolmes,3000,WR
291,GeremyDavis,3000,WR
293,MarquessWilson,3000,WR
294,CameronMeredith,3000,WR
297,WillieSnead,3000,WR
298,ChrisConley,3000,WR
299,QuintonPatton,3000,WR
301,RashadRoss,3000,WR
302,TyMontgomery,3000,WR
303,MarqiseLee,3000,WR
304,AdamHumphries,3000,WR
306,BruceEllington,3000,WR
308,BradleyMarquez,3000,WR
309,DeAnthonyThomas,3000,WR
310,CodyLatimer,3000,WR
311,ChandlerWorthy,3000,WR
312,BrittanGolden,3000,WR
314,CordarrellePatterson,3000,WR
316,StefonDiggs,3000,WR
317,SethRoberts,3000,WR
319,LuckyWhitehead,3000,WR
320,JaelenStrong,3000,WR
321,AdamThielen,3000,WR
323,MarioAlford,3000,WR
324,TaylorGabriel,3000,WR
326,JeffJanis,3000,WR
