,Name,Salary,Position
2,TomBrady,9000,QB
5,AndrewLuck,8900,QB
9,BenRoethlisberger,8400,QB
11,DrewBrees,8400,QB
14,CarsonPalmer,8200,QB
16,CamNewton,8100,QB
17,MattRyan,8100,QB
20,PhilipRivers,8000,QB
23,EliManning,7800,QB
25,RyanTannehill,7700,QB
26,SamBradford,7700,QB
31,JoeFlacco,7500,QB
32,MatthewStafford,7400,QB
36,RyanFitzpatrick,7100,QB
40,MarcusMariota,7000,QB
46,JoshMcCown,6900,QB
47,BrianHoyer,6900,QB
51,AlexSmith,6800,QB
54,DerekCarr,6700,QB
59,TeddyBridgewater,6600,QB
63,JohnnyManziel,6500,QB
66,MichaelVick,6500,QB
68,JameisWinston,6500,QB
69,BrandonWeeden,6400,QB
72,MattCassel,6400,QB
73,NickFoles,6400,QB
74,RyanMallett,6300,QB
76,KirkCousins,6300,QB
78,MattHasselbeck,6100,QB
79,MarkSanchez,6100,QB
83,LandryJones,6000,QB
88,ZachMettenberger,5900,QB
93,LukeMcCown,5800,QB
102,MattFlynn,5700,QB
103,DanOrlovsky,5700,QB
106,RobertGriffinIII,5600,QB
117,RyanNassib,5500,QB
122,MattMcGloin,5500,QB
123,ChaseDaniel,5400,QB
126,AustinDavis,5400,QB
135,MattMoore,5400,QB
149,MattSchaub,5300,QB
154,ChristianPonder,5200,QB
158,DerekAnderson,5200,QB
166,KellenClemens,5200,QB
168,DrewStanton,5200,QB
177,MikeGlennon,5100,QB
182,ShaunHill,5100,QB
186,TJYates,5100,QB
197,JimmyGaroppolo,5000,QB
200,TimTebow,5000,QB
203,ThaddeusLewis,5000,QB
206,RyanLindley,5000,QB
237,RyanGriffin,4800,QB
238,LoganThomas,4800,QB
239,MattBarkley,4800,QB
240,GarrettGrayson,4800,QB
241,SeanMannion,4800,QB
243,CaseKeenum,4800,QB
245,AaronMurray,4800,QB
249,SeanRenfree,4800,QB
251,ColtMcCoy,4800,QB
255,BrycePetty,4800,QB
258,TylerBray,4800,QB
261,ChandlerHarnish,4800,QB
264,JoeWebb,4800,QB
