,Name,Salary,Position
2,AdrianPeterson,9000,RB
4,MattForte,8900,RB
10,MarshawnLynch,8500,RB
12,JeremyHill,8400,RB
13,DeMarcoMurray,8300,RB
17,ArianFoster,8200,RB
25,EddieLacy,8100,RB
27,LeSeanMcCoy,8100,RB
29,MarkIngram,8000,RB
32,JustinForsett,7800,RB
36,AndreEllington,7700,RB
42,DeAngeloWilliams,7400,RB
43,AlfredMorris,7300,RB
44,LamarMiller,7300,RB
45,TreMason,7200,RB
51,GiovaniBernard,7000,RB
53,CarlosHyde,7000,RB
58,LataviusMurray,6800,RB
59,JonathanStewart,6800,RB
60,DougMartin,6700,RB
61,JosephRandle,6700,RB
66,DavidJohnson,6600,RB
70,TJYeldon,6500,RB
71,TevinColeman,6500,RB
72,BishopSankey,6500,RB
73,MelvinGordon,6500,RB
75,AmeerAbdullah,6400,RB
76,LeGarretteBlount,6400,RB
79,RashadJennings,6400,RB
81,DarrenMcFadden,6400,RB
83,ToddGurley,6300,RB
86,DevontaFreeman,6300,RB
89,ShaneVereen,6200,RB
91,DannyWoodhead,6200,RB
97,CJSpiller,6100,RB
98,JoiqueBell,6100,RB
100,FredJackson,6000,RB
105,CharlesSims,6000,RB
111,IsaiahCrowell,5800,RB
112,BennyCunningham,5800,RB
113,ChrisJohnson,5700,RB
117,AlfredBlue,5700,RB
118,RyanMathews,5700,RB
124,DarrenSproles,5600,RB
129,JerickMcKinnon,5500,RB
130,DukeJohnson,5500,RB
137,RoyHelu,5400,RB
144,DenardRobinson,5400,RB
148,ReggieBush,5300,RB
149,CameronArtisPayne,5300,RB
150,DamienWilliams,5300,RB
151,LorenzoTaliaferro,5300,RB
152,MattJones,5300,RB
153,TerranceWest,5300,RB
156,JoshHarris,5300,RB
157,AndreWilliams,5300,RB
160,JavoriusAllen,5200,RB
162,DavidCobb,5200,RB
169,JayAjayi,5200,RB
172,TerrenceFranks,5200,RB
181,JamesStarks,5200,RB
182,DionLewis,5200,RB
185,DriArcher,5100,RB
186,MichaelDyer,5100,RB
187,BrandonBolden,5100,RB
194,KaDeemCarey,5100,RB
207,DexterMcCluster,5000,RB
212,JamesWhite,5000,RB
213,BryceBrown,5000,RB
223,IsaiahPead,4900,RB
226,StormJohnson,4900,RB
227,FoswhittWhittaker,4900,RB
234,MattAsiata,4900,RB
237,KhiryRobinson,4900,RB
246,BobbyRainey,4800,RB
248,BrandenOliver,4800,RB
255,JonasGray,4800,RB
256,TobyGerhart,4800,RB
259,MarcelReece,4800,RB
260,LanceDunbar,4800,RB
261,MikeTolbert,4800,RB
274,ChrisThompson,4800,RB
282,ChrisPolk,4700,RB
289,KarlosWilliams,4700,RB
293,JordanTodman,4700,RB
294,RobertTurbin,4700,RB
300,KendallHunter,4600,RB
317,LaMichaelJames,4500,RB
318,AntonioAndrews,4500,RB
320,JeremyLangford,4500,RB
325,TerrellWatson,4500,RB
326,SilasRedd,4500,RB
327,DerrickColeman,4500,RB
328,MikeDavis,4500,RB
332,MarcusMurphy,4500,RB
342,RyanWilliams,4500,RB
344,ChaseReynolds,4500,RB
345,TreyMillard,4500,RB
349,TerronWard,4500,RB
352,RexBurkhead,4500,RB
355,DominiqueBrown,4500,RB
367,JonathanGrimes,4500,RB
370,BraylonHeard,4500,RB
378,ShaunDraughn,4500,RB
380,BronsonHill,4500,RB
385,HenryHynoski,4500,RB
386,KenjonBarner,4500,RB
390,TreyWilliams,4500,RB
394,JohnKuhn,4500,RB
395,ChristineMichael,4500,RB
396,TonyCreecy,4500,RB
402,JoeyIosefa,4500,RB
407,GusJohnson,4500,RB
414,MikeJames,4500,RB
416,ZachZenner,4500,RB
417,DreamiusSmith,4500,RB
420,ChrisOgbonnaya,4500,RB
428,JarrydHayne,4500,RB
433,KyleJuszczyk,4500,RB
436,OrleansDarkwa,4500,RB
439,PatrickDiMarco,4500,RB
440,KendallGaskins,4500,RB
442,MalcolmBrown,4500,RB
444,JawonChisholm,4500,RB
452,MarkWeisman,4500,RB
456,ZachLaskey,4500,RB
458,DarrelYoung,4500,RB
459,ErikLorig,4500,RB
466,TimHightower,4500,RB
467,TravarisCadet,4500,RB
468,JorvorskieLane,4500,RB
478,BradSmelley,4500,RB
484,RickySeale,4500,RB
485,DonaldBrown,4500,RB
490,TheoRiddick,4500,RB
494,AlonzoHarris,4500,RB
495,JohnConner,4500,RB
496,BruceMiller,4500,RB
499,StepfanTaylor,4500,RB
500,BernardPierce,4500,RB
501,AnthonyDixon,4500,RB
504,GlennWinston,4500,RB
515,JacquizzRodgers,4500,RB
517,CedricPeerman,4500,RB
