,Name,Salary,Position
15,RobGronkowski,8300,TE
50,JimmyGraham,7100,TE
95,MartellusBennett,6100,TE
101,JasonWitten,6000,TE
103,GregOlsen,6000,TE
107,TylerEifert,5900,TE
125,LadariusGreen,5600,TE
128,JordanCameron,5500,TE
133,HeathMiller,5400,TE
138,JuliusThomas,5400,TE
154,JermaineGresham,5300,TE
158,LarryDonnell,5300,TE
178,DelanieWalker,5200,TE
179,JaredCook,5200,TE
183,ZachErtz,5200,TE
188,KyleRudolph,5100,TE
197,VernonDavis,5100,TE
205,JordanReed,5000,TE
211,JoshHill,5000,TE
216,AndrewQuarless,5000,TE
230,ScottChandler,4900,TE
231,DarrenFells,4900,TE
235,MychalRivera,4900,TE
242,EricEbron,4800,TE
273,CharlesClay,4800,TE
277,RobHousler,4700,TE
278,RichardRodgers,4700,TE
286,MarcedesLewis,4700,TE
290,JacobTamme,4700,TE
298,MaxxWilliams,4600,TE
299,LanceKendricks,4600,TE
304,ChaseFord,4600,TE
305,JosephFauria,4600,TE
310,GarrettGraham,4600,TE
313,MichaelHoomanawanui,4600,TE
314,AnthonyFasano,4600,TE
315,DionSims,4600,TE
319,DavidJohnson,4500,TE
321,RoryAnderson,4500,TE
331,RyanGriffin,4500,TE
334,JusticeCunningham,4500,TE
336,CoryHarkey,4500,TE
337,CraigStevens,4500,TE
338,MattSpaeth,4500,TE
346,MarQueisGray,4500,TE
347,DerekCarrier,4500,TE
350,GaryBarnidge,4500,TE
356,CooperHelfet,4500,TE
363,CrockettGillmore,4500,TE
368,LukeStocker,4500,TE
371,CameronBrate,4500,TE
372,BrandonPettigrew,4500,TE
381,GavinEscobar,4500,TE
388,BlakeBell,4500,TE
392,AlexBayer,4500,TE
397,LoganPaulsen,4500,TE
399,DeonButler,4500,TE
400,TreyBurton,4500,TE
401,GarrettCelek,4500,TE
403,BlakeAnnen,4500,TE
404,EricFrohnapfel,4500,TE
405,VanceMcDonald,4500,TE
409,BrandonWilliams,4500,TE
411,CliveWalford,4500,TE
412,LukeWillson,4500,TE
423,EdDickson,4500,TE
426,NickBoyle,4500,TE
427,MyColePruitt,4500,TE
429,CJUzomah,4500,TE
437,AustinSeferianJenkins,4500,TE
438,ChrisGragg,4500,TE
447,KyleMiller,4500,TE
449,BrianLeonhardt,4500,TE
451,ErnstBrunJr,4500,TE
454,JimDray,4500,TE
457,CJFiedorowicz,4500,TE
462,BrandonBostick,4500,TE
463,TylerKroft,4500,TE
469,JohnPhillips,4500,TE
473,TimWright,4500,TE
474,DanielFells,4500,TE
476,DavidPaulson,4500,TE
477,BenjaminWatson,4500,TE
480,TaylorSloat,4500,TE
483,AnthonyEzeakunne,4500,TE
489,ClayHarbor,4500,TE
491,BrandonMyers,4500,TE
492,JamesHanna,4500,TE
497,LevineToilolo,4500,TE
502,BrentCelek,4500,TE
503,ChaseCoffman,4500,TE
505,EvanRodriguez,4500,TE
512,TroyNiklas,4500,TE
513,JesseJames,4500,TE
518,AdrienRobinson,4500,TE
519,RhettEllison,4500,TE
