,Name,Salary,Position
0,DeAndreHopkins,9200,WR
1,JulioJones,9100,WR
3,OdellBeckhamJr,9000,WR
10,CalvinJohnson,8400,WR
12,DezBryant,8300,WR
13,AntonioBrown,8300,WR
15,BrandonMarshall,8200,WR
18,KeenanAllen,8100,WR
21,JulianEdelman,8000,WR
24,LarryFitzgerald,7800,WR
27,TYHilton,7700,WR
30,MikeEvans,7500,WR
34,AmariCooper,7300,WR
37,JarvisLandry,7100,WR
44,JeremyMaclin,6900,WR
45,MartavisBryant,6900,WR
48,SteveSmith,6900,WR
52,VincentJackson,6800,WR
53,BrandinCooks,6700,WR
55,JohnBrown,6700,WR
56,GoldenTate,6700,WR
60,JordanMatthews,6600,WR
61,TravisBenjamin,6600,WR
62,DonteMoncrief,6500,WR
64,WillieSnead,6500,WR
65,BrandonLaFell,6500,WR
71,RishardMatthews,6400,WR
77,EricDecker,6200,WR
80,PierreGarcon,6100,WR
89,MichaelCrabtree,5900,WR
90,TerranceWilliams,5900,WR
91,TavonAustin,5800,WR
92,JamisonCrowder,5800,WR
95,StefonDiggs,5800,WR
96,RuebenRandle,5700,WR
98,KendallWright,5700,WR
99,SteveJohnson,5700,WR
100,LeonardHankerson,5700,WR
105,AndreJohnson,5700,WR
111,KamarAiken,5600,WR
115,DeSeanJackson,5600,WR
116,RoddyWhite,5500,WR
125,MikeWallace,5400,WR
127,CecilShorts,5400,WR
131,DannyAmendola,5400,WR
134,MalcomFloyd,5400,WR
137,LanceMoore,5400,WR
138,TedGinnJr,5300,WR
141,JoshHuff,5300,WR
150,RileyCooper,5300,WR
153,KennyBritt,5200,WR
157,MilesAustin,5200,WR
161,PhillipDorsett,5200,WR
164,ColeBeasley,5200,WR
175,MarquesColston,5100,WR
176,SethRoberts,5100,WR
178,AndreHolmes,5100,WR
180,DontrelleInman,5100,WR
184,DorialGreenBeckham,5100,WR
188,NelsonAgholor,5000,WR
191,DeVanteParker,5000,WR
192,KennyStills,5000,WR
193,JaelenStrong,5000,WR
194,AaronDobson,5000,WR
202,BrianHartline,5000,WR
205,LouisMurphy,5000,WR
207,DwayneHarris,5000,WR
211,MichaelFloyd,4900,WR
213,NateWashington,4900,WR
215,RannellHall,4900,WR
216,ChandlerWorthy,4900,WR
219,DwayneBowe,4900,WR
221,TaylorGabriel,4900,WR
222,StedmanBailey,4900,WR
223,MalcomeKennedy,4900,WR
231,DarriusHeywardBey,4900,WR
233,JariusWright,4900,WR
235,JeremyKerley,4900,WR
236,BrianQuick,4800,WR
242,MarkusWheaton,4800,WR
244,QuincyEnunwa,4800,WR
246,AndrewHawkins,4800,WR
247,ChrisConley,4800,WR
248,RashadRoss,4800,WR
259,JustinHunter,4800,WR
262,BrandonColeman,4800,WR
265,KeithMumphery,4800,WR
270,HarryDouglas,4700,WR
272,CoreyPhillyBrown,4700,WR
273,DevinSmith,4700,WR
275,ChrisOwusu,4700,WR
277,AndreRoberts,4700,WR
278,CharlesJohnson,4700,WR
279,BriceButler,4700,WR
285,DevinStreet,4700,WR
295,LuckyWhitehead,4600,WR
301,RyanGrant,4600,WR
302,LTSmith,4600,WR
312,DevinFunchess,4600,WR
313,JerrichoCotchery,4600,WR
317,RyanBroyles,4500,WR
318,KenbrellThompkins,4500,WR
319,GeremyDavis,4500,WR
321,JamarcusNelson,4500,WR
322,CoreyFuller,4500,WR
324,AviusCapers,4500,WR
328,JustinHardy,4500,WR
330,EricWeems,4500,WR
332,TrentSteelman,4500,WR
333,BradleyMarquez,4500,WR
334,JeretSmith,4500,WR
338,RodStreater,4500,WR
339,TylerMcDonald,4500,WR
341,GregSalas,4500,WR
342,KaiDeLaCruz,4500,WR
343,KrisDurham,4500,WR
345,VincentBrown,4500,WR
346,SeyiAjirotutu,4500,WR
348,ArthurWilliams,4500,WR
350,JarrodWest,4500,WR
354,MichaelCampanaro,4500,WR
355,MarlonBrown,4500,WR
356,RussellShepard,4500,WR
358,JasonAvant,4500,WR
361,SammieCoates,4500,WR
364,DeAnthonyThomas,4500,WR
365,SeantaviusJones,4500,WR
367,FrankieHammond,4500,WR
368,AdamDrake,4500,WR
370,MattHazel,4500,WR
377,DeAndreCarter,4500,WR
379,JeremyRoss,4500,WR
382,TJJones,4500,WR
383,JosephMorgan,4500,WR
388,KevinNorwood,4500,WR
389,AlbertWilson,4500,WR
392,GriffWhalen,4500,WR
402,JaronBrown,4500,WR
410,DaRickRogers,4500,WR
411,KenzelDoe,4500,WR
422,TommyStreeter,4500,WR
423,DavidNelson,4500,WR
426,DevinHester,4500,WR
427,JuniorHemingway,4500,WR
428,MatthewSlater,4500,WR
430,GregJennings,4500,WR
432,DarrenWaller,4500,WR
433,BrittanGolden,4500,WR
434,CordarrellePatterson,4500,WR
436,HakeemNicks,4500,WR
437,JacobyJones,4500,WR
445,AdamThielen,4500,WR
451,AldrickRobinson,4500,WR
452,ChrisGivens,4500,WR
453,KeshawnMartin,4500,WR
454,TrindonHolliday,4500,WR
459,KevinOgletree,4500,WR
