,Name,Salary,Position
1,AaronRodgers,9100,QB
2,AndrewLuck,9000,QB
6,TomBrady,8700,QB
9,BenRoethlisberger,8500,QB
10,RussellWilson,8400,QB
11,DrewBrees,8400,QB
15,MattRyan,8300,QB
19,PeytonManning,8200,QB
21,JoeFlacco,8100,QB
22,CarsonPalmer,8100,QB
23,RyanTannehill,8000,QB
25,CamNewton,7900,QB
26,ColinKaepernick,7900,QB
31,PhilipRivers,7700,QB
40,MatthewStafford,7400,QB
43,MarcusMariota,7300,QB
46,SamBradford,7200,QB
49,JayCutler,7200,QB
50,AndyDalton,7100,QB
58,TyrodTaylor,7000,QB
60,RyanFitzpatrick,6800,QB
61,TeddyBridgewater,6800,QB
62,JohnnyManziel,6800,QB
67,BlakeBortles,6700,QB
73,DerekCarr,6600,QB
77,BrandonWeeden,6500,QB
81,AlexSmith,6500,QB
84,NickFoles,6500,QB
85,JameisWinston,6500,QB
92,RyanMallett,6300,QB
96,BrianHoyer,6300,QB
102,MarkSanchez,6100,QB
109,MichaelVick,6000,QB
114,JoshMcCown,6000,QB
115,MattCassel,6000,QB
122,ChadHenne,5900,QB
129,MattFlynn,5700,QB
131,BrockOsweiler,5600,QB
134,ZachMettenberger,5600,QB
143,EJManuel,5500,QB
144,MattMcGloin,5500,QB
145,ChaseDaniel,5400,QB
147,AustinDavis,5400,QB
148,BlaineGabbert,5400,QB
158,MattMoore,5400,QB
176,JimmyClausen,5300,QB
181,MattSchaub,5300,QB
188,ChristianPonder,5200,QB
196,DerekAnderson,5200,QB
197,DanOrlovsky,5200,QB
203,LukeMcCown,5200,QB
204,TarvarisJackson,5200,QB
205,KellenClemens,5200,QB
208,DrewStanton,5200,QB
215,MikeGlennon,5100,QB
217,AJMcCarron,5100,QB
218,ScottTolzien,5100,QB
220,ShaunHill,5100,QB
224,TJYates,5100,QB
227,JimmyGaroppolo,5000,QB
228,TimTebow,5000,QB
235,ThaddeusLewis,5000,QB
239,RyanLindley,5000,QB
265,RyanGriffin,4800,QB
266,DavidFales,4800,QB
267,LoganThomas,4800,QB
268,MattBarkley,4800,QB
270,GarrettGrayson,4800,QB
271,SeanMannion,4800,QB
272,CaseKeenum,4800,QB
274,AaronMurray,4800,QB
275,DustinVaughan,4800,QB
280,SeanRenfree,4800,QB
281,JoshJohnson,4800,QB
284,BrycePetty,4800,QB
285,MattHasselbeck,4800,QB
286,TylerBray,4800,QB
289,ChandlerHarnish,4800,QB
290,BrettHundley,4800,QB
297,JoeWebb,4800,QB
