,Name,Salary,Position
13,RobGronkowski,8400,TE
88,TravisKelce,6400,TE
94,JimmyGraham,6300,TE
106,JasonWitten,6000,TE
120,TylerEifert,5900,TE
121,GregOlsen,5900,TE
123,HeathMiller,5800,TE
132,MartellusBennett,5600,TE
139,LadariusGreen,5600,TE
150,JordanCameron,5400,TE
151,CrockettGillmore,5400,TE
160,VernonDavis,5400,TE
161,JaredCook,5400,TE
169,KyleRudolph,5300,TE
170,JuliusThomas,5300,TE
175,JermaineGresham,5300,TE
184,DwayneAllen,5200,TE
202,AustinSeferianJenkins,5200,TE
207,DelanieWalker,5200,TE
209,ZachErtz,5200,TE
213,EricEbron,5100,TE
242,AnthonyFasano,5000,TE
244,CobyFleener,4900,TE
252,RichardRodgers,4900,TE
254,ScottChandler,4900,TE
255,DarrenFells,4900,TE
258,JoshHill,4900,TE
259,MychalRivera,4900,TE
262,JacobTamme,4900,TE
263,CharlesClay,4900,TE
294,AndrewQuarless,4800,TE
313,JeffCumberland,4700,TE
316,MarcedesLewis,4700,TE
318,OwenDaniels,4700,TE
325,VirgilGreen,4700,TE
332,LanceKendricks,4600,TE
341,ChaseFord,4600,TE
342,JosephFauria,4600,TE
349,GarrettGraham,4600,TE
353,MichaelHoomanawanui,4600,TE
355,DionSims,4600,TE
359,DavidJohnson,4500,TE
360,RoryAnderson,4500,TE
363,JoeDonDuncan,4500,TE
371,JusticeCunningham,4500,TE
373,CoryHarkey,4500,TE
374,CraigStevens,4500,TE
375,MattSpaeth,4500,TE
382,MaxxWilliams,4500,TE
385,MarQueisGray,4500,TE
388,GaryBarnidge,4500,TE
394,CooperHelfet,4500,TE
399,RobHousler,4500,TE
406,LukeStocker,4500,TE
410,CameronBrate,4500,TE
411,BrandonPettigrew,4500,TE
422,GavinEscobar,4500,TE
427,JeffHeuerman,4500,TE
428,BlakeBell,4500,TE
433,AlexBayer,4500,TE
440,DeonButler,4500,TE
441,TreyBurton,4500,TE
442,GarrettCelek,4500,TE
444,BlakeAnnen,4500,TE
445,EricFrohnapfel,4500,TE
446,VanceMcDonald,4500,TE
451,BrandonWilliams,4500,TE
453,CliveWalford,4500,TE
454,LukeWillson,4500,TE
466,EdDickson,4500,TE
468,JamesOShaughnessy,4500,TE
469,NickBoyle,4500,TE
470,MyColePruitt,4500,TE
472,CJUzomah,4500,TE
477,JamesCasey,4500,TE
479,ChrisGragg,4500,TE
488,KellenDavis,4500,TE
489,KyleMiller,4500,TE
490,BrianParker,4500,TE
492,BrianLeonhardt,4500,TE
497,JimDray,4500,TE
500,CJFiedorowicz,4500,TE
505,BrandonBostick,4500,TE
506,TylerKroft,4500,TE
510,JackDoyle,4500,TE
512,JohnPhillips,4500,TE
516,TimWright,4500,TE
519,DavidPaulson,4500,TE
520,BenjaminWatson,4500,TE
523,TaylorSloat,4500,TE
526,AnthonyEzeakunne,4500,TE
531,ClayHarbor,4500,TE
532,DanLight,4500,TE
533,BrandonMyers,4500,TE
534,JamesHanna,4500,TE
539,LevineToilolo,4500,TE
543,BrentCelek,4500,TE
544,ChaseCoffman,4500,TE
546,EvanRodriguez,4500,TE
552,RichardGordon,4500,TE
554,TroyNiklas,4500,TE
555,JesseJames,4500,TE
560,RhettEllison,4500,TE
