,Name,Team,Games,RunAtt,RunYards,RunTD,Targets,Rec,RecYards,RecTD,FFP,FFPPG,Season,Week
8562,AaronBrown,DET,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,2009.0,1
8669,AaronBrown,DET,1.0,4.0,10.0,0.0,2.0,1.0,3.0,0.0,1.3,1.3,2009.0,2
8752,AaronBrown,DET,1.0,5.0,6.0,0.0,1.0,1.0,9.0,0.0,1.5,1.5,2009.0,3
8851,AaronBrown,DET,1.0,1.0,3.0,0.0,1.0,1.0,14.0,0.0,1.7,1.7,2009.0,4
8974,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,5
9052,AaronBrown,DET,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,2009.0,6
9236,AaronBrown,DET,1.0,2.0,15.0,0.0,4.0,2.0,13.0,0.0,2.8,2.8,2009.0,8
9335,AaronBrown,DET,1.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,2009.0,9
9521,AaronBrown,DET,1.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,8.6,8.6,2009.0,11
9678,AaronBrown,DET,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2009.0,12
9779,AaronBrown,DET,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2009.0,13
9863,AaronBrown,DET,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,2009.0,14
9961,AaronBrown,DET,1.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.9,0.9,2009.0,15
10081,AaronBrown,DET,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2009.0,16
10134,AaronBrown,DET,1.0,3.0,21.0,0.0,3.0,3.0,19.0,0.0,4.0,4.0,2009.0,17
10284,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,1
10346,AaronBrown,DET,1.0,3.0,13.0,0.0,3.0,2.0,10.0,0.0,2.3,2.3,2010.0,2
10483,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,3
11240,AaronBrown,DET,1.0,1.0,9.0,0.0,2.0,2.0,6.0,0.0,1.5,1.5,2010.0,11
11318,AaronBrown,DET,1.0,13.0,36.0,0.0,8.0,4.0,29.0,0.0,6.5,6.5,2010.0,12
11476,AaronBrown,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,13
13244,AaronBrown,DET,1.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,0.9,0.9,2011.0,14
133,AaronStecker,NO,1.0,15.0,41.0,0.0,7.0,6.0,19.0,0.0,6.0,6.0,2004.0,2
206,AaronStecker,NO,1.0,18.0,106.0,1.0,7.0,4.0,20.0,0.0,18.6,18.6,2004.0,3
327,AaronStecker,NO,1.0,8.0,23.0,0.0,9.0,6.0,71.0,0.0,9.4,9.4,2004.0,4
439,AaronStecker,NO,1.0,4.0,27.0,0.0,4.0,4.0,15.0,0.0,4.2,4.2,2004.0,5
557,AaronStecker,NO,1.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,1.2,1.2,2004.0,6
975,AaronStecker,NO,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.2,0.2,2004.0,10
1083,AaronStecker,NO,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.3,0.3,2004.0,11
1179,AaronStecker,NO,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2004.0,12
1367,AaronStecker,NO,1.0,1.0,3.0,0.0,2.0,2.0,10.0,0.0,1.3,1.3,2004.0,14
1450,AaronStecker,NO,1.0,1.0,9.0,0.0,3.0,3.0,26.0,0.0,3.5,3.5,2004.0,15
1560,AaronStecker,NO,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2004.0,16
1635,AaronStecker,NO,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,6.7,6.7,2004.0,17
