,Name,Team,Games,Targets,Rec,RecYards,RecTD,FFP,FFPPG,Season,Week
2937,AaronHalterman,MIA,1.0,1.0,1.0,7.0,0.0,0.7,0.7,2007.0,8
5114,AaronHernandez,NE,1.0,2.0,1.0,45.0,0.0,4.5,4.5,2010.0,1
5156,AaronHernandez,NE,1.0,6.0,6.0,101.0,0.0,10.1,10.1,2010.0,2
5214,AaronHernandez,NE,1.0,7.0,6.0,65.0,0.0,7.8,7.8,2010.0,3
5274,AaronHernandez,NE,1.0,5.0,5.0,29.0,0.0,2.9,2.9,2010.0,4
5359,AaronHernandez,NE,1.0,6.0,4.0,61.0,0.0,7.9,7.9,2010.0,6
5409,AaronHernandez,NE,1.0,8.0,5.0,54.0,0.0,5.4,5.4,2010.0,7
5466,AaronHernandez,NE,1.0,3.0,2.0,33.0,0.0,3.3,3.3,2010.0,8
5500,AaronHernandez,NE,1.0,9.0,5.0,48.0,2.0,16.8,16.8,2010.0,9
5609,AaronHernandez,NE,1.0,1.0,1.0,8.0,1.0,6.8,6.8,2010.0,11
5684,AaronHernandez,NE,1.0,1.0,1.0,18.0,0.0,1.8,1.8,2010.0,12
5703,AaronHernandez,NE,1.0,5.0,3.0,51.0,1.0,11.1,11.1,2010.0,13
5776,AaronHernandez,NE,1.0,4.0,2.0,19.0,0.0,1.9,1.9,2010.0,14
5801,AaronHernandez,NE,1.0,5.0,4.0,31.0,2.0,16.7,16.7,2010.0,15
5951,AaronHernandez,NE,1.0,10.0,7.0,103.0,1.0,16.3,16.3,2011.0,1
6004,AaronHernandez,NE,1.0,8.0,7.0,62.0,1.0,12.2,12.2,2011.0,2
6165,AaronHernandez,NE,1.0,9.0,5.0,56.0,0.0,5.6,5.6,2011.0,5
6200,AaronHernandez,NE,1.0,14.0,8.0,68.0,1.0,12.8,12.8,2011.0,6
6310,AaronHernandez,NE,1.0,4.0,2.0,9.0,1.0,7.1,7.1,2011.0,8
6357,AaronHernandez,NE,1.0,5.0,4.0,35.0,1.0,9.5,9.5,2011.0,9
6415,AaronHernandez,NE,1.0,5.0,4.0,41.0,0.0,4.1,4.1,2011.0,10
6469,AaronHernandez,NE,1.0,7.0,4.0,44.0,0.0,4.4,4.4,2011.0,11
6512,AaronHernandez,NE,1.0,7.0,6.0,62.0,0.0,6.2,6.2,2011.0,12
6567,AaronHernandez,NE,1.0,9.0,7.0,43.0,0.0,4.3,4.3,2011.0,13
6609,AaronHernandez,NE,1.0,7.0,5.0,84.0,0.0,8.4,8.4,2011.0,14
6651,AaronHernandez,NE,1.0,11.0,9.0,129.0,1.0,20.5,20.5,2011.0,15
6723,AaronHernandez,NE,1.0,6.0,4.0,36.0,0.0,3.7,3.7,2011.0,16
6751,AaronHernandez,NE,1.0,11.0,7.0,138.0,1.0,22.4,22.4,2011.0,17
6802,AaronHernandez,NE,1.0,7.0,6.0,59.0,1.0,12.4,12.4,2012.0,1
7055,AaronHernandez,NE,1.0,9.0,6.0,30.0,1.0,9.0,9.0,2012.0,6
7109,AaronHernandez,NE,1.0,7.0,5.0,54.0,0.0,5.4,5.4,2012.0,7
7375,AaronHernandez,NE,1.0,3.0,2.0,36.0,0.0,3.6,3.6,2012.0,12
7401,AaronHernandez,NE,1.0,13.0,8.0,97.0,0.0,9.7,9.7,2012.0,13
7442,AaronHernandez,NE,1.0,11.0,8.0,58.0,2.0,17.8,17.8,2012.0,14
7493,AaronHernandez,NE,1.0,19.0,10.0,92.0,1.0,15.2,15.2,2012.0,15
7577,AaronHernandez,NE,1.0,5.0,1.0,13.0,0.0,1.3,1.3,2012.0,16
7608,AaronHernandez,NE,1.0,8.0,5.0,44.0,0.0,4.4,4.4,2012.0,17
156,AaronShea,CLE,1.0,5.0,2.0,28.0,1.0,8.8,8.8,2004.0,4
219,AaronShea,CLE,1.0,2.0,1.0,35.0,0.0,3.5,3.5,2004.0,5
256,AaronShea,CLE,1.0,4.0,3.0,25.0,1.0,8.5,8.5,2004.0,6
314,AaronShea,CLE,1.0,6.0,6.0,45.0,0.0,4.5,4.5,2004.0,7
423,AaronShea,CLE,1.0,4.0,2.0,20.0,0.0,2.0,2.0,2004.0,9
460,AaronShea,CLE,1.0,4.0,1.0,7.0,1.0,6.7,6.7,2004.0,10
