,Name,Team,Games,Targets,Rec,RecYards,RecTD,RunAtt,RunYards,RunTD,FFP,FFPPG,Season,Week
11938,AJGreen,CIN,1.0,4.0,1.0,41.0,1.0,0.0,0.0,0.0,11.1,11.1,2011.0,1
12004,AJGreen,CIN,1.0,14.0,10.0,124.0,1.0,0.0,0.0,0.0,28.4,28.4,2011.0,2
12159,AJGreen,CIN,1.0,5.0,4.0,29.0,0.0,0.0,0.0,0.0,6.9,6.9,2011.0,3
12218,AJGreen,CIN,1.0,10.0,4.0,118.0,0.0,1.0,6.0,0.0,16.4,16.4,2011.0,4
12313,AJGreen,CIN,1.0,8.0,5.0,90.0,1.0,0.0,0.0,0.0,20.0,20.0,2011.0,5
12410,AJGreen,CIN,1.0,7.0,5.0,51.0,1.0,0.0,0.0,0.0,16.1,16.1,2011.0,6
12616,AJGreen,CIN,1.0,10.0,4.0,63.0,1.0,0.0,0.0,0.0,16.3,16.3,2011.0,8
12715,AJGreen,CIN,1.0,7.0,7.0,83.0,0.0,0.0,0.0,0.0,15.3,15.3,2011.0,9
12833,AJGreen,CIN,1.0,2.0,1.0,36.0,1.0,1.0,7.0,0.0,11.3,11.3,2011.0,10
13023,AJGreen,CIN,1.0,4.0,3.0,110.0,0.0,0.0,0.0,0.0,14.0,14.0,2011.0,12
13107,AJGreen,CIN,1.0,11.0,6.0,87.0,1.0,1.0,15.0,0.0,22.2,22.2,2011.0,13
13241,AJGreen,CIN,1.0,7.0,5.0,59.0,0.0,0.0,0.0,0.0,10.9,10.9,2011.0,14
13313,AJGreen,CIN,1.0,9.0,6.0,115.0,0.0,0.0,0.0,0.0,17.5,17.5,2011.0,15
13458,AJGreen,CIN,1.0,8.0,2.0,25.0,0.0,2.0,25.0,0.0,7.0,7.0,2011.0,16
13572,AJGreen,CIN,1.0,9.0,2.0,26.0,0.0,0.0,0.0,0.0,4.6,4.6,2011.0,17
13640,AJGreen,CIN,1.0,11.0,5.0,70.0,0.0,0.0,0.0,0.0,12.0,12.0,2012.0,1
13711,AJGreen,CIN,1.0,12.0,7.0,58.0,1.0,0.0,0.0,0.0,18.8,18.8,2012.0,2
13800,AJGreen,CIN,1.0,11.0,9.0,183.0,1.0,1.0,11.0,0.0,34.4,34.4,2012.0,3
13907,AJGreen,CIN,1.0,9.0,6.0,117.0,1.0,0.0,0.0,0.0,23.7,23.7,2012.0,4
14012,AJGreen,CIN,1.0,13.0,9.0,65.0,1.0,0.0,0.0,0.0,21.5,21.5,2012.0,5
14102,AJGreen,CIN,1.0,11.0,7.0,135.0,2.0,0.0,0.0,0.0,32.5,32.5,2012.0,6
14244,AJGreen,CIN,1.0,6.0,1.0,8.0,1.0,0.0,0.0,0.0,7.8,7.8,2012.0,7
14401,AJGreen,CIN,1.0,9.0,7.0,99.0,1.0,1.0,6.0,0.0,23.5,23.5,2012.0,9
14504,AJGreen,CIN,1.0,10.0,7.0,85.0,1.0,0.0,0.0,0.0,21.5,21.5,2012.0,10
14608,AJGreen,CIN,1.0,12.0,6.0,91.0,1.0,0.0,0.0,0.0,21.1,21.1,2012.0,11
14720,AJGreen,CIN,1.0,9.0,3.0,111.0,0.0,2.0,21.0,0.0,16.2,16.2,2012.0,12
14816,AJGreen,CIN,1.0,13.0,9.0,85.0,0.0,0.0,0.0,0.0,17.5,17.5,2012.0,13
14956,AJGreen,CIN,1.0,8.0,3.0,44.0,0.0,0.0,0.0,0.0,7.4,7.4,2012.0,14
15011,AJGreen,CIN,1.0,10.0,6.0,57.0,1.0,0.0,0.0,0.0,17.7,17.7,2012.0,15
15109,AJGreen,CIN,1.0,18.0,10.0,116.0,0.0,0.0,0.0,0.0,21.6,21.6,2012.0,16
15273,AJGreen,CIN,1.0,2.0,2.0,26.0,0.0,0.0,0.0,0.0,4.6,4.6,2012.0,17
15300,AJGreen,CIN,1.0,13.0,9.0,162.0,2.0,0.0,0.0,0.0,37.2,37.2,2013.0,1
15444,AJGreen,CIN,1.0,14.0,6.0,41.0,0.0,0.0,0.0,0.0,10.1,10.1,2013.0,2
15523,AJGreen,CIN,1.0,8.0,4.0,46.0,1.0,0.0,0.0,0.0,14.6,14.6,2013.0,3
15632,AJGreen,CIN,1.0,15.0,7.0,51.0,0.0,0.0,0.0,0.0,12.1,12.1,2013.0,4
15735,AJGreen,CIN,1.0,8.0,5.0,61.0,0.0,0.0,0.0,0.0,11.1,11.1,2013.0,5
15805,AJGreen,CIN,1.0,11.0,6.0,103.0,1.0,0.0,0.0,0.0,22.3,22.3,2013.0,6
15903,AJGreen,CIN,1.0,8.0,6.0,155.0,1.0,0.0,0.0,0.0,27.5,27.5,2013.0,7
16018,AJGreen,CIN,1.0,7.0,3.0,115.0,0.0,0.0,0.0,0.0,14.5,14.5,2013.0,8
16104,AJGreen,CIN,1.0,19.0,11.0,128.0,0.0,0.0,0.0,0.0,23.8,23.8,2013.0,9
16198,AJGreen,CIN,1.0,15.0,8.0,151.0,1.0,0.0,0.0,0.0,29.1,29.1,2013.0,10
16371,AJGreen,CIN,1.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,2.7,2.7,2013.0,11
16506,AJGreen,CIN,1.0,7.0,5.0,83.0,1.0,0.0,0.0,0.0,19.3,19.3,2013.0,13
16608,AJGreen,CIN,1.0,8.0,6.0,72.0,1.0,0.0,0.0,0.0,19.2,19.2,2013.0,14
16708,AJGreen,CIN,1.0,18.0,9.0,93.0,0.0,0.0,0.0,0.0,18.3,18.3,2013.0,15
16797,AJGreen,CIN,1.0,12.0,7.0,97.0,2.0,0.0,0.0,0.0,28.7,28.7,2013.0,16
16911,AJGreen,CIN,1.0,10.0,4.0,61.0,1.0,0.0,0.0,0.0,16.1,16.1,2013.0,17
16996,AJGreen,CIN,1.0,9.0,6.0,131.0,1.0,1.0,5.0,0.0,25.6,25.6,2014.0,1
17214,AJGreen,CIN,1.0,9.0,6.0,102.0,0.0,0.0,0.0,0.0,16.2,16.2,2014.0,3
17404,AJGreen,CIN,1.0,7.0,5.0,81.0,1.0,0.0,0.0,0.0,19.1,19.1,2014.0,5
17819,AJGreen,CIN,1.0,6.0,3.0,44.0,1.0,1.0,-3.0,0.0,13.1,13.1,2014.0,9
17947,AJGreen,CIN,1.0,10.0,3.0,23.0,0.0,0.0,0.0,0.0,5.3,5.3,2014.0,10
17998,AJGreen,CIN,1.0,8.0,6.0,127.0,1.0,0.0,0.0,0.0,24.7,24.7,2014.0,11
18099,AJGreen,CIN,1.0,16.0,12.0,121.0,0.0,0.0,0.0,0.0,24.1,24.1,2014.0,12
18218,AJGreen,CIN,1.0,8.0,4.0,57.0,1.0,0.0,0.0,0.0,15.7,15.7,2014.0,13
18295,AJGreen,CIN,1.0,15.0,11.0,224.0,1.0,0.0,0.0,0.0,39.4,39.4,2014.0,14
18435,AJGreen,CIN,1.0,11.0,5.0,49.0,0.0,0.0,0.0,0.0,9.9,9.9,2014.0,15
