,Name,2015 Projection,Value Above Baseline
1,DeMarcoMurray,15.5167881452,8.79364296668
2,LeVeonBell,14.9985171234,8.27537194488
3,MattForte,13.147424887,6.42427970852
4,MarshawnLynch,13.0020778918,6.2789327133
5,LeSeanMcCoy,12.0374412314,5.31429605294
6,EddieLacy,11.9521040099,5.22895883138
7,ArianFoster,11.918932,5.19578682147
8,JamaalCharles,11.764224459,5.04107928046
9,JoiqueBell,10.1142794645,3.391134286
10,AlfredMorris,9.65517178782,2.93202660931
11,LamarMiller,9.3997267799,2.67658160139
12,JustinForsett,9.14563191173,2.42248673322
13,FrankGore,9.10019412897,2.37704895046
14,GiovaniBernard,9.05776076772,2.33461558921
15,AndreEllington,9.0514504236,2.3283052451
16,MarkIngram,8.84066938701,2.11752420851
17,RashadJennings,8.45774615069,1.73460097219
18,CJAnderson,8.40925463681,1.68610945831
19,FredJackson,8.37690951977,1.65376434126
20,MattAsiata,7.86148278974,1.13833761123
21,RyanMathews,7.72686129056,1.00371611205
22,AhmadBradshaw,7.67533565819,0.952190479681
23,AdrianPeterson,7.23913618792,0.515991009413
24,JonathanStewart,7.20284409223,0.479698913725
25,ChrisIvory,7.11842423629,0.39527905778
26,KnowshonMoreno,7.11273032185,0.389585143346
27,StevenJackson,6.90554894244,0.182403763938
28,ReggieBush,6.89614479808,0.172999619575
29,RonnieHillman,6.7450752197,0.0219300411984
30,DarrenSproles,6.72314517851,0.0
31,ChrisJohnson,6.53632576595,-0.186819412554
32,ShaneVereen,6.43001464423,-0.29313053428
33,StevanRidley,6.38975471025,-0.333390468259
34,PierreThomas,6.22282673556,-0.500318442948
35,TrentRichardson,6.21823556301,-0.504909615497
36,RoyHelu,6.12622523028,-0.596919948231
37,BobbyRainey,6.01968920032,-0.70345597819
38,ZacStacy,5.91104154172,-0.812103636791
39,LeGarretteBlount,5.89296834477,-0.830176833739
40,DougMartin,5.69063284965,-1.03251232886
41,DeAngeloWilliams,5.6683211379,-1.05482404061
42,CJSpiller,5.52009151316,-1.20305366535
43,DarrenMcFadden,5.39668125046,-1.32646392804
44,BenTate,5.32111235766,-1.40203282085
45,DenardRobinson,5.25677333424,-1.46637184427
46,KnileDavis,5.23616042199,-1.48698475652
47,MonteeBall,5.1069885453,-1.61615663321
48,AntoneSmith,5.09888024188,-1.62426493662
49,DanHerron,5.06947003259,-1.65367514592
50,KhiryRobinson,5.00433498596,-1.71881019255
51,BennyCunningham,4.65605901768,-2.06708616083
52,TobyGerhart,4.55935702582,-2.16378815269
53,JamesStarks,4.51347909794,-2.20966608057
54,ChrisPolk,4.44840848612,-2.27473669239
55,DonaldBrown,4.33756792286,-2.38557725565
56,BryceBrown,4.22152514679,-2.50162003172
57,JosephRandle,4.18285343633,-2.54029174218
58,ShonnGreene,4.16191443154,-2.56123074697
59,AnthonyDixon,4.1303886526,-2.59275652591
60,JonathanGrimes,4.0928350633,-2.63031011521
61,JonathanDwyer,4.07038983501,-2.6527553435
62,PeytonHillis,3.92110135876,-2.80204381975
63,BernardPierce,3.79450952563,-2.92863565287
64,MauriceJonesDrew,3.7499916004,-2.97315357811
65,DexterMcCluster,3.74378281433,-2.97936236418
66,RobertTurbin,3.69644355409,-3.02670162442
67,DannyWoodhead,3.69346405024,-3.02968112827
68,BilalPowell,3.65546932966,-3.06767584885
69,JacquizzRodgers,3.51539913445,-3.20774604406
70,FozzyWhittaker,3.48023638722,-3.24290879128
71,JordanTodman,3.40064966321,-3.3224955153
72,MarcelReece,3.37807788169,-3.34506729682
73,ChrisOgbonnaya,3.36031045408,-3.36283472443
74,DanielThomas,3.3502257482,-3.37291943031
75,StepfanTaylor,3.29114493273,-3.43200024577
76,LanceDunbar,3.27413575823,-3.44900942028
77,TheoRiddick,3.2414586771,-3.48168650141
78,MikeTolbert,3.03910825742,-3.68403692108
79,TommyBohanon,3.03038719409,-3.69275798442
80,BrandonBolden,2.99111755817,-3.73202762033
81,EdwinBaker,2.9891455046,-3.73399967391
82,TravarisCadet,2.97919022616,-3.74395495235
83,CyrusGray,2.7965709737,-3.9265742048
84,BruceMiller,2.76279025721,-3.9603549213
85,DarrelYoung,2.75157477334,-3.97157040517
86,ChristineMichael,2.75021930641,-3.97292587209
87,MichaelCox,2.65923631277,-4.06390886573
88,LeonWashington,2.63302048145,-4.09012469705
89,BrianLeonard,2.56525080571,-4.1578943728
90,JackieBattle,2.5086007514,-4.2145444271
91,ShaunDraughn,2.48155021137,-4.24159496714
92,RonnieBrown,2.38933653802,-4.33380864048
93,MikeJames,2.37380125593,-4.34934392258
94,AlfonsoSmith,2.28090410963,-4.44224106887
95,JohnConner,2.25063116464,-4.47251401387
96,KyleJuszczyk,2.23985407299,-4.48329110552
97,CedricPeerman,2.19463302415,-4.52851215436
98,JohnKuhn,2.15597266474,-4.56717251376
99,FrankSummers,2.07747457,-4.64567060851
100,AnthonySherman,1.96801205612,-4.75513312239
101,LaMichaelJames,1.86993118134,-4.85321399716
102,JedCollins,1.84656326687,-4.87658191164
103,JeromeFelton,1.82504753874,-4.89809763976
104,TylerClutts,1.81025625214,-4.91288892637
105,HenryHynoski,1.74911262941,-4.97403254909
106,ErikLorig,1.73982422322,-4.98332095529
107,WillJohnson,1.46429802633,-5.25884715218
