,Name,2015 Projection,Value Above Baseline
1,JimmyGraham,9.55187779623,4.16831681735
2,RobGronkowski,9.08827126518,3.70471028631
3,GregOlsen,7.80391997151,2.42035899264
4,JuliusThomas,7.48050809374,2.09694711487
5,AntonioGates,7.06613337397,1.6825723951
6,DelanieWalker,7.0525696062,1.66900862732
7,MartellusBennett,6.94301955691,1.55945857804
8,JasonWitten,6.50270930912,1.11914833025
9,CobyFleener,6.28266764824,0.899106669372
10,CharlesClay,5.64439592474,0.260834945866
11,JordanCameron,5.5629757043,0.179414725428
12,HeathMiller,5.38356097887,0.0
13,ZachErtz,5.3492359483,-0.0343250305703
14,JaredCook,5.17475793475,-0.208803044118
15,OwenDaniels,4.86005389624,-0.523507082629
16,VernonDavis,4.84013157632,-0.543429402553
17,DwayneAllen,4.77669211701,-0.606868861858
18,JordanReed,4.5732253477,-0.810335631169
19,JermaineGresham,4.34749345465,-1.03606752422
20,MychalRivera,4.23928065913,-1.14428031975
21,TimWright,4.17302389133,-1.21053708754
22,ScottChandler,4.03351890239,-1.35004207648
23,KyleRudolph,4.02888273543,-1.35467824344
24,NilesPaul,4.01351580856,-1.37004517031
25,MarcedesLewis,3.75090936504,-1.63265161384
26,LukeWillson,3.60993889107,-1.7736220878
27,GarrettGraham,3.58765994584,-1.79590103303
28,BrentCelek,3.56760903429,-1.81595194458
29,ClayHarbor,3.40682991578,-1.97673106309
30,DennisPitta,3.40246522198,-1.9810957569
31,JamesCasey,3.34768381053,-2.03587716835
32,AndrewQuarless,3.22436282383,-2.15919815504
33,JosephFauria,3.20270045432,-2.18086052455
34,LanceKendricks,3.19152771774,-2.19203326113
35,ZachMiller,3.1555928162,-2.22796816267
36,AnthonyFasano,3.1553462606,-2.22821471827
37,JohnPhillips,3.14191720998,-2.24164376889
38,JeffCumberland,3.11152316387,-2.272037815
39,LadariusGreen,3.0350487986,-2.34851218027
40,DionSims,2.98148026935,-2.40208070952
41,MattSpaeth,2.95749951832,-2.42606146055
42,JohnCarlson,2.89624099699,-2.48731998188
43,BrandonMyers,2.85759059931,-2.52597037956
44,TylerEifert,2.80512930585,-2.57843167302
45,GavinEscobar,2.72628315549,-2.65727782338
46,JimDray,2.63144722876,-2.75211375011
47,BrandonBostick,2.62438915123,-2.75917182765
48,RhettEllison,2.62155854918,-2.7620024297
49,MichaelPalmer,2.61707558268,-2.76648539619
50,LevineToilolo,2.47905553294,-2.90450544593
51,RyanGriffin,2.41436743945,-2.96919353942
52,ChrisGragg,2.40763221843,-2.97592876044
53,CraigStevens,2.3310183039,-3.05254267497
54,JackDoyle,2.30416879076,-3.07939218811
55,GaryBarnidge,2.28087837077,-3.1026826081
56,VirgilGreen,2.24948313165,-3.13407784722
57,ZachSudfeld,2.24788221656,-3.13567876232
58,JacobTamme,2.14924546811,-3.23431551076
59,LoganPaulsen,2.11539102362,-3.26816995525
60,TaylorThompson,2.07256895803,-3.31099202084
61,RobertHousler,2.05412295051,-3.32943802836
62,BrandonPettigrew,2.0351157398,-3.34844523907
63,DanteRosario,1.96578022453,-3.41778075434
64,BenWatson,1.96018628391,-3.42337469496
65,EdDickson,1.9476629473,-3.43589803157
66,LeeSmith,1.93261465229,-3.45094632659
67,JamesHanna,1.78989607966,-3.59366489921
68,KevinBrock,1.78148667582,-3.60207430305
69,BearPascoe,1.771822689,-3.61173828987
70,MichaelHoomanawanui,1.74248567437,-3.6410753045
71,VanceMcDonald,1.57875396454,-3.80480701434
