,Name,2015 Projection,Value Above Baseline
1,AntonioBrown,12.6780287585,6.90011019612
2,DemaryiusThomas,12.0684041413,6.29048557887
3,DezBryant,11.6891928806,5.91127431819
4,JordyNelson,11.3758666764,5.59794811401
5,AlshonJeffery,10.3951439912,4.61722542877
6,RandallCobb,10.3644891868,4.58657062445
7,CalvinJohnson,10.0864709065,4.3085523441
8,JulioJones,9.91024262143,4.13232405904
9,EmmanuelSanders,9.7821723821,4.00425381971
10,AJGreen,9.52723060332,3.74931204093
11,TYHilton,9.28922094785,3.51130238545
12,DeSeanJackson,8.72624783669,2.94832927429
13,GoldenTate,8.5397607949,2.7618422325
14,BrandonMarshall,8.53794342904,2.76002486665
15,JulianEdelman,8.37687398644,2.59895542404
16,EricDecker,8.18513976856,2.40722120617
17,MikeWallace,8.12378694805,2.34586838566
18,AnquanBoldin,8.07568073216,2.29776216976
19,TorreySmith,7.80322888335,2.02531032096
20,AndreJohnson,7.63845489525,1.86053633285
21,RoddyWhite,7.62916001743,1.85124145504
22,DeAndreHopkins,7.62327742913,1.84535886673
23,BrandonLaFell,7.50063672907,1.72271816668
24,SteveSmith,7.4693271079,1.6914085455
25,KeenanAllen,7.17979568783,1.40187712544
26,JoshGordon,7.1356892791,1.35777071671
27,VincentJackson,7.12355436754,1.34563580515
28,MarquesColston,7.01639265701,1.23847409462
29,KendallWright,6.99786823858,1.21994967619
30,EddieRoyal,6.89584926142,1.11793069902
31,MichaelFloyd,6.774703639,0.996785076608
32,PierreGarcon,6.74010357327,0.962185010874
33,LarryFitzgerald,6.70128464264,0.923366080249
34,GregJennings,6.3122783278,0.534359765408
35,RuebenRandle,6.24760952969,0.469690967298
36,JamesJones,6.20752365335,0.429605090954
37,TerranceWilliams,6.18599856937,0.40808000697
38,KennyStills,6.16152877752,0.383610215122
39,DougBaldwin,5.97789199211,0.199973429716
40,MalcomFloyd,5.97545572327,0.197537160872
41,MohamedSanu,5.92714472382,0.149226161423
42,RobertWoods,5.7779185624,0.0
43,ReggieWayne,5.72519634139,-0.0527222210021
44,VictorCruz,5.59263344932,-0.185285113075
45,HarryDouglas,5.57724720179,-0.200671360608
46,RileyCooper,5.4737634906,-0.304155071799
47,MichaelCrabtree,5.42044421427,-0.357474348127
48,WesWelker,5.39826712137,-0.379651441028
49,AndreHolmes,5.2175088505,-0.560409711895
50,CecilShorts,5.17280076356,-0.605117798835
51,DwayneBowe,5.15492536073,-0.62299320167
52,AndrewHawkins,5.10700735572,-0.670911206678
53,JerrichoCotchery,4.94543653768,-0.832482024711
54,BrianQuick,4.93353215064,-0.844386411758
55,NateWashington,4.91249258859,-0.865425973808
56,SteveJohnson,4.75819667721,-1.01972188518
57,RodStreater,4.7326082026,-1.04531035979
58,JustinHunter,4.65963101696,-1.11828754543
59,BrianHartline,4.64467289579,-1.13324566661
60,PercyHarvin,4.60983797683,-1.16808058556
61,JariusWright,4.55280898126,-1.22510958114
62,HakeemNicks,4.52859322161,-1.24932534079
63,KennyBritt,4.48634876582,-1.29156979658
64,MilesAustin,4.47511546628,-1.30280309612
65,MarkusWheaton,4.15829545909,-1.6196231033
66,JeremyKerley,4.1113155435,-1.66660301889
67,ColeBeasley,4.08111818928,-1.69680037312
68,AustinPettis,4.07138465477,-1.70653390763
69,JermaineKearse,3.98359986157,-1.79431870083
70,DonnieAvery,3.85039277489,-1.9275257875
71,AndreRoberts,3.8144081387,-1.96351042369
72,LouisMurphy,3.72580597963,-2.05211258276
73,MikeWilliams,3.64325562484,-2.13466293756
74,NickToon,3.60501672839,-2.172901834
75,BrandonGibson,3.49546696504,-2.28245159736
76,TavonAustin,3.49176808451,-2.28615047789
77,DevinHester,3.42718956154,-2.35072900086
78,MarlonBrown,3.423995478,-2.35392308439
79,SantanaMoss,3.40905487594,-2.36886368646
80,DenariusMoore,3.4043009202,-2.3736176422
81,LanceMoore,3.36992920727,-2.40798935512
82,AaronDobson,3.32841432411,-2.44950423828
83,JasonAvant,3.32110723703,-2.45681132537
84,RishardMatthews,3.30861686186,-2.46930170053
85,TravisBenjamin,3.29456229266,-2.48335626974
86,KenbrellThompkins,3.29291290744,-2.48500565495
87,MikeBrown,3.27061230189,-2.50730626051
88,EricWeems,3.26762602354,-2.51029253885
89,DannyAmendola,3.26542716197,-2.51249140042
90,GriffWhalen,3.2092365592,-2.56868200319
91,TedGinnJr,3.18833847537,-2.58958008703
92,GregLittle,3.1329609089,-2.64495765349
93,DeVierPosey,3.11202437266,-2.66589418974
94,LeonardHankerson,3.10001294135,-2.67790562105
95,ChrisOwusu,3.07746845492,-2.70045010747
96,VincentBrown,3.07621330357,-2.70170525883
97,QuintonPatton,3.06411241394,-2.71380614845
98,SantonioHolmes,3.05780110707,-2.72011745533
99,KrisDurham,3.0509965803,-2.7269219821
100,MarquessWilson,3.01553603756,-2.76238252484
101,JarrettBoykin,3.00488412204,-2.77303444035
102,StedmanBailey,2.99359570134,-2.78432286106
103,ChrisGivens,2.98972393594,-2.78819462646
104,JoshCribbs,2.9729878586,-2.80493070379
105,DavidNelson,2.93690418265,-2.84101437974
106,TJGraham,2.93671787169,-2.8412006907
107,RicardoLockette,2.9139023067,-2.8640162557
108,KevinOgletree,2.90447781852,-2.87344074388
109,DamianWilliams,2.86833849235,-2.90958007004
110,BriceButler,2.79406373792,-2.98385482447
111,JerrelJernigan,2.78661002603,-2.99130853637
112,MarquiseGoodwin,2.76872397625,-3.00919458614
113,AldrickRobinson,2.75511947517,-3.02279908723
114,JoeWebb,2.7354629071,-3.04245565529
115,DarriusHeywardBey,2.71998259863,-3.05793596376
116,AceSanders,2.69293226416,-3.08498629823
117,JoshMorgan,2.68748338704,-3.09043517535
118,DamarisJohnson,2.68343244772,-3.09448611468
119,JeffMaehl,2.67735798019,-3.10056058221
120,GregSalas,2.63994275133,-3.13797581107
121,JacobyJones,2.62027247899,-3.15764608341
122,BrandonTate,2.59202416514,-3.18589439725
123,DaneSanzenbacher,2.5900610844,-3.187857478
124,KassimOsgood,2.56609273747,-3.21182582492
125,AJJenkins,2.52862297852,-3.24929558387
126,RyanBroyles,2.52447352247,-3.25344503993
127,SeyiAjirotutu,2.42140005423,-3.35651850817
128,JuniorHemingway,2.38334738811,-3.39457117428
129,AndreCaldwell,2.3799565936,-3.3979619688
130,KeshawnMartin,2.35111955656,-3.42679900584
131,RobertMeachem,2.31285408465,-3.46506447774
132,DwayneHarris,2.22309194625,-3.55482661614
133,CordarrellePatterson,1.78983253537,-3.98808602703
